,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,106.16,99.49,82.35,93.17,85.33,87.91,80.42,65.42,75.99,73.42,51.15,51.4,51.4,34.38,34.38
1,Other Revenue,-1.57,1.57,-,5.39,-2.91,2.91,-,4.63,-2.26,2.26,-,0.6,0.6,0.62,0.62
2,Revenue,104.59,101.06,82.35,98.56,82.42,90.82,80.42,70.05,73.73,75.68,51.15,52,52,34.99,34.99
3,Revenue Growth (YoY),26.89%,11.28%,2.40%,40.70%,11.78%,20.01%,57.23%,34.72%,41.80%,116.26%,46.17%,-,-,-,-
4,Cost of Revenue,67.2,70.91,52.79,69.78,50.36,57.94,51.5,44.03,47.57,46.71,32.35,23.71,23.71,16.34,16.34
5,Gross Profit,37.39,30.15,29.56,28.78,32.06,32.88,28.92,26.02,26.17,28.96,18.79,28.29,28.29,18.65,18.65
6,"Selling, General & Admin",8.69,8.07,7.85,9,8.32,8.72,6.69,9.35,5.39,4.85,4.64,4.31,4.31,3.47,3.47
7,Research & Development,5.47,5.41,4.13,6.6,4.78,4.67,3.77,4.93,3.07,3.41,3.66,2.59,2.59,1.58,1.58
8,Other Operating Expenses,1.63,-2.75,0.32,1.25,-0.31,0.54,0.27,3.39,0.52,-0.26,-0.52,0.43,0.43,0.52,0.52
9,Operating Expenses,14.64,12.74,11.07,18.67,11.85,15.17,10.96,18.37,9.85,9.78,7.99,7.63,7.63,5.5,5.5
10,Operating Income,22.75,17.42,18.49,10.11,20.21,17.71,17.97,7.65,16.31,19.18,10.8,20.66,20.66,13.16,13.16
11,Interest Expense,-1.37,-,-,-0.02,-,-,-0.04,-0.47,-0.5,-0.58,-0.44,-,-,-0.02,-0.02
12,Interest & Investment Income,-,2.4,2.41,4.79,1.35,2.06,1.74,0.13,0.04,0.13,0.25,0.42,0.42,0.42,0.42
13,Currency Exchange Gain (Loss),-0.27,0.27,-,2.33,-2.48,2.48,-,6.23,-3.14,3.14,-,-1.76,-1.76,0.24,0.24
14,Other Non Operating Income (Expenses),3.77,-0.15,-0.05,-2.29,6.75,0.94,-0.86,-5.88,6.25,0.06,-0.16,-0.09,-0.09,-0.03,-0.03
15,EBT Excluding Unusual Items,24.88,19.94,20.84,14.92,25.83,23.19,18.8,7.65,18.97,21.93,10.45,19.23,19.23,13.76,13.76
16,Gain (Loss) on Sale of Investments,-0.11,0.23,0.42,-0.67,-1.63,1.26,1.04,0.74,-0.83,0.1,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.02,0.01,-0.01,-0,-,0,-,-,-,-,-,0,0,-0.01,-0.01
18,Asset Writedown,-4.56,1.4,-1.42,2.88,-2.88,0.51,-0.54,0.4,-0.51,0.6,-0.6,-0,-0,-0,-0
19,Other Unusual Items,1.36,0.16,0.34,7.38,0.63,-,-,4.33,-,-,-,1.25,1.25,0.8,0.8
20,Pretax Income,21.55,21.74,20.17,24.49,21.95,24.96,19.3,13.12,17.62,22.63,9.86,20.48,20.48,14.55,14.55
21,Income Tax Expense,2.43,2.44,2.51,2.66,2.61,3,2.36,1.15,2.15,2.97,0.74,2.85,2.85,2.08,2.08
22,Net Income,19.12,19.3,17.66,21.83,19.34,21.97,16.94,11.97,15.47,19.67,9.12,17.63,17.63,12.47,12.47
23,Net Income to Common,19.12,19.3,17.66,21.83,19.34,21.97,16.94,11.97,15.47,19.67,9.12,17.63,17.63,12.47,12.47
24,Net Income Growth,-1.15%,-12.14%,4.25%,82.38%,25.01%,11.69%,85.74%,-32.08%,-12.21%,57.66%,-26.89%,-,-,-,-
25,Shares Outstanding (Basic),80,80,80,80,80,80,80,59,60,60,60,60,60,60,60
26,Shares Outstanding (Diluted),80,80,80,80,80,80,80,59,60,60,60,60,60,60,60
27,Shares Change (YoY),0.00%,0.04%,-0.04%,35.48%,33.34%,33.33%,33.36%,-0.82%,0.35%,-0.37%,-0.36%,-,-,-,-
28,EPS (Basic),0.24,0.24,0.22,0.27,0.24,0.27,0.21,0.20,0.26,0.33,0.15,0.29,0.29,0.21,0.21
29,EPS (Diluted),0.24,0.24,0.22,0.27,0.24,0.27,0.21,0.20,0.26,0.33,0.15,0.29,0.29,0.21,0.21
30,EPS Growth,-1.16%,-12.17%,4.30%,34.62%,-6.24%,-16.23%,39.28%,-31.51%,-12.52%,58.25%,-26.62%,-,-,-,-
31,Free Cash Flow,-1.79,-56.29,-30.75,51.15,-35.89,-35.12,1.77,-11.26,-8.81,-14.8,-5.71,6.49,6.49,7.33,7.33
32,Free Cash Flow Per Share,-0.02,-0.70,-0.38,0.64,-0.45,-0.44,0.02,-0.19,-0.15,-0.25,-0.10,0.11,0.11,0.12,0.12
33,Dividend Per Share,-,-,-,0.350,-,-,-,0.315,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,11.11%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,35.75%,29.84%,35.89%,29.20%,38.90%,36.21%,35.97%,37.15%,35.49%,38.27%,36.75%,54.40%,54.40%,53.31%,53.31%
36,Operating Margin,21.76%,17.23%,22.45%,10.25%,24.52%,19.50%,22.34%,10.92%,22.13%,25.35%,21.12%,39.74%,39.74%,37.59%,37.59%
37,Profit Margin,18.28%,19.10%,21.45%,22.15%,23.47%,24.19%,21.06%,17.09%,20.98%,25.99%,17.83%,33.90%,33.90%,35.65%,35.65%
38,Free Cash Flow Margin,-1.72%,-55.70%,-37.34%,51.90%,-43.55%,-38.67%,2.20%,-16.08%,-11.95%,-19.55%,-11.16%,12.49%,12.49%,20.94%,20.94%
39,EBITDA,28.97,24.21,24.7,16.32,26,23.97,23.76,13.44,20.5,25.14,14.98,23.53,23.53,15.54,15.54
