,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,124.44,66.79,320.02,551.86,285.65,187.42,231.48,637.49,-,41.83,-,48.35,48.35,20.79,20.79
1,Trading Asset Securities,322.53,374.64,204.42,-,253.69,363.32,352.05,1.01,-,6.12,-,34.18,34.18,50.51,50.51
2,Cash & Short-Term Investments,446.97,441.43,524.44,551.86,539.33,550.74,583.53,638.51,-,47.95,74.49,82.53,82.53,71.3,71.3
3,Cash Growth,-17.12%,-19.85%,-10.13%,-13.57%,-,1048.52%,683.34%,673.68%,-,-32.74%,4.48%,-,-,-,-
4,Accounts Receivable,179.05,173.22,178.95,178.59,158.41,163.18,141.89,138.17,-,106.85,-,48.19,48.19,39.71,39.71
5,Other Receivables,1.35,1.95,0.59,0.33,0.34,0.81,0.35,4.77,-,0.5,-,3.99,3.99,1.04,1.04
6,Receivables,180.4,175.17,179.54,178.91,158.75,163.99,142.25,142.94,-,107.35,-,52.17,52.17,40.75,40.75
7,Inventory,76.37,72.96,73.32,66.35,66.79,60.79,55.34,62.45,-,51.35,-,30.28,30.28,25.27,25.27
8,Other Current Assets,1.68,0.79,0.18,0.4,0.31,0.19,0.03,0.28,-,4.85,-,2.68,2.68,0.17,0.17
9,Total Current Assets,705.42,690.35,777.48,797.53,765.17,775.7,781.14,844.18,-,211.5,-,167.66,167.66,137.5,137.5
10,"Property, Plant & Equipment",349.58,336.94,319.48,294.39,277.29,276.73,248.04,249.74,-,247.83,-,184.04,184.04,128.18,128.18
11,Other Intangible Assets,106.3,106.68,107.24,28.02,26.68,26.97,27.04,27.35,-,26.17,-,27.34,27.34,27.38,27.38
12,Long-Term Deferred Tax Assets,3.21,2.49,2.17,2.36,3.13,2.51,2.08,2.11,-,1.72,-,1.48,1.48,1.22,1.22
13,Other Long-Term Assets,16.5,13.23,14.43,20.68,24.22,22.46,14.21,9.05,-,12.57,-,18.18,18.18,16.6,16.6
14,Total Assets,1181,1150,1221,1143,1096,1104,1073,1132,-,499.79,-,398.7,398.7,310.88,310.88
15,Accounts Payable,68.67,52.89,66.79,56.5,41.99,39.28,39.58,45.66,-,53.13,-,76.25,76.25,26.45,26.45
16,Accrued Expenses,9.16,9.39,6.3,13.55,6.76,7.63,6.54,11.3,-,6.55,-,6.31,6.31,3.33,3.33
17,Short-Term Debt,-,-,-,-,-,-,-,46.64,-,46.8,-,-,-,-,-
18,Current Portion of Long-Term Debt,-,-,-,-,-,-,0.01,-,-,-,-,-,-,-,-
19,Current Portion of Leases,0.07,-,-,-,-,-,-,0.03,-,0.08,-,-,-,-,-
20,Current Income Taxes Payable,5.11,1.64,1.85,3.48,4.99,2.17,3.88,3.23,-,2.89,-,1.09,1.09,1.52,1.52
21,Current Unearned Revenue,2.21,1.67,1.16,1.03,0.27,0.13,0.68,1.12,-,0.69,-,8.91,8.91,12.89,12.89
22,Other Current Liabilities,0.71,12.85,64.36,5.75,0.11,11.71,0.92,20.18,-,9.59,-,6.57,6.57,3.62,3.62
23,Total Current Liabilities,85.94,78.44,140.46,80.3,54.13,60.92,51.62,128.17,-,119.72,-,99.14,99.14,47.81,47.81
24,Long-Term Unearned Revenue,12.71,8.75,9.18,9.6,9.88,4.93,3.85,4.08,-,3.17,-,4.35,4.35,3.72,3.72
25,Long-Term Deferred Tax Liabilities,-,-,-,-,0.97,1.24,1.09,0.96,-,0.83,-,0.96,0.96,-,-
26,Total Liabilities,98.65,87.19,149.64,89.9,64.98,67.1,56.56,133.21,-,123.72,-,104.45,104.45,51.53,51.53
27,Common Stock,80,80,80,80,80,80,80,80,-,60,-,60,60,60,60
28,Additional Paid-In Capital,659.86,659.86,659.86,659.86,659.86,659.86,659.86,659.86,-,83.54,-,83.54,83.54,83.54,83.54
29,Retained Earnings,338.37,319.25,327.95,310.29,288.46,294.31,272.35,255.41,-,227.96,-,145.53,145.53,110.28,110.28
30,Comprehensive Income & Other,4.14,3.4,3.36,2.92,3.19,3.09,3.75,3.96,-,4.58,-,5.18,5.18,5.54,5.54
31,Shareholders' Equity,1082,1063,1071,1053,1032,1037,1016,999.22,-,376.07,348.36,294.25,294.25,259.35,259.35
32,Total Liabilities & Equity,1181,1150,1221,1143,1096,1104,1073,1132,-,499.79,-,398.7,398.7,310.88,310.88
33,Total Debt,0.07,-,-,-,-,-,0.01,46.67,-,46.88,54.38,-,-,-,-
34,Net Cash (Debt),446.9,441.43,524.44,551.86,539.33,550.74,583.52,591.84,-,1.07,20.11,82.53,82.53,71.3,71.3
35,Net Cash Growth,-17.14%,-19.85%,-10.12%,-6.75%,-,51185.72%,2801.33%,617.13%,-,-98.49%,-71.79%,-,-,-,-
36,Net Cash Per Share,5.59,5.52,6.56,6.87,6.74,6.89,7.29,9.98,-,0.02,0.34,1.38,1.38,1.18,1.18
37,Filing Date Shares Outstanding,80,80,80,80,80,80,80,80,59.99,60,60,60,60,60,60
38,Total Common Shares Outstanding,80,80,80,80,80,80,80,80,59.99,60,60,60,60,60,60
39,Working Capital,619.48,611.91,637.02,717.22,711.04,714.78,729.53,716.01,-,91.78,-,68.52,68.52,89.69,89.69
40,Book Value Per Share,13.53,13.28,13.39,13.16,12.89,12.97,12.70,12.49,-,6.27,5.81,4.90,4.90,4.32,4.32
41,Tangible Book Value,976.06,955.83,963.93,1025,1005,1010,988.92,971.87,-,349.9,321.72,266.91,266.91,231.98,231.98
42,Tangible Book Value Per Share,12.20,11.95,12.05,12.81,12.56,12.63,12.36,12.15,-,5.83,5.36,4.45,4.45,3.87,3.87
43,Buildings,-,121.19,-,119.41,-,119.33,-,119.33,-,119.28,-,92.02,92.02,26.3,26.3
44,Machinery,-,274.4,-,220.7,-,210.08,-,201.18,-,179.05,-,93.74,93.74,80.73,80.73
45,Construction In Progress,-,54.92,-,55.32,-,36.77,-,8.42,-,18.94,-,42.02,42.02,59.82,59.82
