,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,332.03,304.31,246.02,226.08,178.87,223.84,261.56,299.21,308.14,349.13
1,Short-Term Investments,-,3.54,-,3.56,-,-,-,2.9,2.73,1.44
2,Trading Asset Securities,-,-,-,-,-,-,-,-,40,61.12
3,Cash & Short-Term Investments,332.03,307.85,246.02,229.64,178.87,223.84,261.56,302.11,350.87,411.68
4,Cash Growth,34.96%,34.06%,37.54%,2.59%,-31.62%,-25.91%,-25.45%,-26.62%,-7.76%,-15.11%
5,Accounts Receivable,77.9,78.29,73.84,62.3,84.53,173.98,163.95,164.2,154.96,168.96
6,Other Receivables,17.72,2.32,3.84,14.41,-8.17,9.86,20.21,5.77,5.17,5.09
7,Receivables,95.64,80.76,104.89,77.6,106.73,206.47,208.44,194.8,182.12,194.34
8,Inventory,19.75,25.55,27.56,29.63,18.68,25.56,17.33,19.58,14.5,15.69
9,Restricted Cash,-,20,-,-,-,-,-,-,-,-
10,Other Current Assets,-,9.34,-,6.78,45.76,5.56,-,8.75,8.68,7.44
11,Total Current Assets,447.42,443.49,378.47,343.65,350.03,461.43,487.34,525.25,556.17,629.15
12,"Property, Plant & Equipment",223.79,240.12,266.86,291.55,316.83,385.94,444.82,507.68,509.06,529.14
13,Long-Term Investments,13.51,12.19,12.97,12.63,20.18,1.81,1.99,2.58,12.99,12.99
14,Goodwill,124.24,124.24,124.24,124.24,124.24,157.84,157.84,157.84,157.84,392.33
15,Other Intangible Assets,115.88,119.53,122.14,125.77,197.73,255.15,260.25,266.49,275.04,300.58
16,Long-Term Deferred Tax Assets,0.9,0.86,1.34,0.69,0.64,0.6,0.76,0.5,0.04,2.24
17,Other Long-Term Assets,7.93,3.96,3.53,2.86,7.24,8.13,9.93,10.71,8.55,10.25
18,Total Assets,933.69,944.39,909.55,901.38,1017,1271,1367,1471,1520,1877
19,Accounts Payable,40.1,46.43,45.44,44.64,33.31,30.11,31.29,27.62,27.42,28.33
20,Accrued Expenses,177.29,74.66,209.59,91.71,202.88,57.24,192.4,46.88,54.05,67.08
21,Current Portion of Leases,59.2,56.97,36.43,35.91,47.07,36.74,34.55,39.84,43.73,39.75
22,Current Income Taxes Payable,3.41,16.38,14.04,9.78,3.53,5.85,6.86,8.11,5.02,7.54
23,Current Unearned Revenue,26.21,27.53,18.96,19.48,26.23,30.4,29.58,30.54,34.29,45.16
24,Other Current Liabilities,0.05,114.01,0.02,132.29,40.98,130.84,0.37,126.51,113.75,106.6
25,Total Current Liabilities,306.26,335.98,324.48,333.81,354.02,291.18,295.04,279.51,278.26,294.46
26,Long-Term Leases,135.3,149.1,164.02,181.11,187.7,243.5,289.66,321.26,314.92,316.65
27,Long-Term Unearned Revenue,-,-,-,-,-,-,0.17,2.64,-,-
28,Long-Term Deferred Tax Liabilities,8.67,7.55,23.97,25.11,42.8,51.98,53.85,55.79,54,32.03
29,Total Liabilities,450.23,492.63,512.47,540.03,584.52,586.66,638.72,659.19,647.18,643.14
30,Common Stock,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
31,Additional Paid-In Capital,2590,2606,2606,2606,2606,2606,2606,2606,2606,2606
32,Retained Earnings,-559.97,-551.05,-646.23,-635.22,-605.24,-337.48,-319.83,-236.02,-203.3,135.36
33,Comprehensive Income & Other,-1499,-1533,-1500,-1533,-1499,-1532,-1503,-1532,-1499,-1531
34,Total Common Equity,530.87,522.28,461.05,438.26,502.91,737.46,784.26,838.63,904.36,1211
35,Minority Interest,-47.41,-70.53,-63.97,-76.91,-70.54,-53.22,-56.11,-26.78,-31.86,22.72
36,Shareholders' Equity,483.46,451.76,397.08,361.35,432.37,684.24,728.15,811.85,872.5,1234
37,Total Liabilities & Equity,933.69,944.39,909.55,901.38,1017,1271,1367,1471,1520,1877
38,Total Debt,194.5,206.07,200.45,217.02,234.77,280.24,324.21,361.1,358.65,356.4
39,Net Cash (Debt),137.53,101.78,45.57,12.63,-55.91,-56.4,-62.65,-58.99,-7.78,55.28
40,Net Cash Growth,201.80%,706.14%,-,-,-,-,-,-,-,-88.60%
41,Net Cash Per Share,0.28,0.21,0.09,0.03,-0.12,-0.12,-0.13,-0.12,-0.02,0.11
42,Filing Date Shares Outstanding,483.18,490.03,483.18,490.03,483.31,490.03,483.33,490.03,485.24,490.03
43,Total Common Shares Outstanding,483.18,490.03,483.18,490.03,483.31,490.03,483.33,490.03,485.24,490.03
44,Working Capital,141.16,107.51,53.99,9.84,-3.98,170.25,192.3,245.74,277.91,334.69
45,Book Value Per Share,1.10,1.07,0.95,0.89,1.04,1.50,1.62,1.71,1.86,2.47
46,Tangible Book Value,290.75,278.51,214.67,188.26,180.94,324.47,366.17,414.3,471.49,517.9
