,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,10159,9154,6643,6035,7009,9858,9667,13701,16932,10034,10579,11683,8527,-,-,-,-
1,Market Cap Growth,-7.14%,-7.14%,-31.28%,-55.95%,-58.61%,-1.76%,-8.63%,17.27%,98.56%,-,-,-,-,-,-,-,-
2,Enterprise Value,9330,8326,5814,5232,5766,8615,8301,12059,14801,7904,8353,9434,8477,-,-,-,-
3,Last Close Price,30.74,27.70,20.10,18.21,20.86,29.34,28.77,40.69,50.06,29.67,31.28,34.36,25.08,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,81.23,91.23,97.21,-,-,-,-
5,Forward PE,-,26.33,26.33,26.33,25.91,46.56,31.42,78.20,68.50,45.44,47.65,58.83,-,-,-,-,-
6,PS Ratio,17.76,15.94,12.22,12.31,14.25,20.67,16.73,25.55,27.71,20.18,22.75,24.53,19.78,-,-,-,-
7,PB Ratio,4.71,4.07,2.95,2.61,2.97,4.04,3.77,5.22,6.13,3.56,3.72,4.16,3.04,-,-,-,-
8,P/TBV Ratio,4.31,4.31,3.13,2.76,3.13,4.27,3.96,5.50,6.40,3.69,3.88,4.31,3.15,-,-,-,-
9,P/FCF Ratio,-,-,-24.98,-16.30,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-61.17,-26.66,-,-,-,-54.83,-,-,484.32,-,-,-,-,-,-
11,EV/Sales Ratio,16.25,14.50,10.70,10.67,11.72,18.07,14.37,22.49,24.22,15.89,17.96,19.81,19.67,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,100.50,101.38,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,134.97,129.25,-,-,-,-,-
14,EV/FCF Ratio,-,-,-21.86,-14.13,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.08,0.08,0.08,0.07,0.08,0.02,0.02,0.03,0.07,0.01,0.00,0.00,0.00,0.01,-,0.07,0.05
16,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,0.09,0.05,-,0.72,-,0.34,-
17,Debt / FCF Ratio,-,-,-0.65,-0.47,-,-,-,-,-,-,-,-,-,1.54,-,-8.78,-
18,Asset Turnover,-,0.26,0.11,0.24,0.10,0.20,0.11,0.21,0.23,0.15,0.21,0.07,-,-,-,-,
19,Inventory Turnover,-,-,1.63,0.45,1.39,0.69,1.09,0.64,1.71,2.51,1.23,1.98,0.76,-,-,-,-
20,Quick Ratio,-,-,1.44,1.38,2.41,2.75,3.87,4.22,5.31,9.70,12.35,11.95,23.51,17.38,-,2.47,-
21,Current Ratio,-,-,2.64,2.62,4.23,4.49,5.94,6.19,6.87,11.85,14.25,13.21,25.69,18.59,-,3.90,-
22,Return on Equity (ROE),-8.64%,-7.86%,-6.20%,-7.72%,-17.51%,-3.37%,-1.55%,-3.58%,-3.06%,5.05%,8.66%,0.04%,-,-,17.23%,-,
23,Return on Assets (ROA),-,-5.80%,-4.89%,-6.24%,-12.71%,-3.12%,-3.79%,-2.45%,-7.15%,2.22%,3.39%,-1.01%,-,-,-,-,
24,Return on Capital (ROIC),-5.44%,-7.70%,-6.06%,-7.28%,-14.87%,-3.57%,-4.21%,-2.66%,-7.71%,2.39%,3.59%,-1.06%,-,-,10.29%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,2.16%,2.59%,-,1.62%,-,0.28%,-
26,Earnings Yield,-1.73%,-1.92%,-3.57%,-3.55%,-2.68%,-1.69%,-0.82%,-0.16%,0.29%,0.75%,1.23%,1.10%,1.03%,-,-,-,-
27,FCF Yield,-,-4.00%,-6.13%,-8.58%,-5.62%,-6.45%,-4.18%,-2.69%,-3.69%,-0.92%,-0.82%,-0.43%,-,-,-,-,
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,0.61%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,168.65%,0.09%,46.97%,2.89%,-,-,-
30,Buyback Yield / Dilution,1.68%,11.22%,6.12%,-14.90%,7.31%,0.11%,-14.13%,14.84%,-4.58%,-51.47%,1.45%,-66.18%,-41.52%,-,-,-,-
31,Total Shareholder Return,1.68%,11.22%,6.12%,-14.90%,7.31%,0.11%,-14.13%,14.84%,-4.58%,-50.87%,1.45%,-66.18%,-41.52%,-,-,-,-
