,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,104.62,208.19,82.83,178.57,73.03,155.63,83.6,163.57,162.85,115.44,157.16,49.81,136.72,129.24,109.34,26.16
1,Other Revenue,-,-0,0,-,1.01,-0.97,0.97,-,12.1,-2.27,2.27,-,5.93,-4.78,4.78,-
2,Revenue,104.62,208.18,82.83,178.57,74.04,154.66,84.57,163.57,174.95,113.17,159.43,49.81,142.65,124.46,114.12,26.16
3,Revenue Growth (YoY),41.30%,34.61%,-2.06%,9.17%,-57.68%,36.66%,-46.96%,228.42%,22.65%,-9.07%,39.71%,90.37%,-,-,-,-
4,Cost of Revenue,-382.66,175.98,48.43,158.25,80.26,117,60.62,129.48,133.86,51.24,73.53,27.17,55.05,52.92,66.88,18.22
5,Gross Profit,487.28,32.2,34.4,20.31,-6.21,37.66,23.95,34.09,41.09,61.93,85.9,22.64,87.6,71.54,47.24,7.94
6,"Selling, General & Admin",-70.91,25.27,23.92,21.72,38.55,21.89,24.65,20.31,27.8,15.39,16.87,15.04,29.15,16.11,12.46,14.72
7,Research & Development,-225.4,81.27,72.39,71.74,105.85,67.46,57.71,52.35,63.1,31.86,35.06,22.18,32.55,20.15,17.89,18.87
8,Other Operating Expenses,836.23,0.16,0.31,0.14,0.03,-14.45,-14.9,-6.03,27.94,-11.56,-9.75,-4.8,13.91,-2.19,-6.38,-2.96
9,Operating Expenses,539.94,107.65,95.36,93.88,146.17,75.68,71.54,64.88,128.82,34.87,45.47,34.61,81.23,33.38,26.55,27.25
10,Operating Income,-52.66,-75.45,-60.95,-73.56,-152.39,-38.02,-47.59,-30.79,-87.72,27.06,40.43,-11.97,6.37,38.17,20.68,-19.31
11,Interest Expense,-14.08,-0.92,-1.7,-0.48,-0.48,-0.48,-0.74,-0.23,-0.16,-0.03,-,-0.47,-0.33,-0.25,-0.24,-0.25
12,Interest & Investment Income,3.1,5.5,2.02,6.56,18.78,5.02,11.39,6.59,14.87,12.7,21.23,7.01,0.1,0.07,0.06,0.05
13,Currency Exchange Gain (Loss),-,0.29,-0.29,-,1.29,-0.64,0.64,-,-1.47,0.38,-0.38,-,-0.23,0.08,-0.08,-
14,Other Non Operating Income (Expenses),0.76,-0.51,0.32,-0.64,-12.21,1.24,0.38,-0.64,-12.15,-0.24,5.2,6.2,-0.86,0.49,-0.34,0.04
15,EBT Excluding Unusual Items,-62.89,-71.1,-60.59,-68.13,-145,-32.88,-35.92,-25.08,-86.64,39.87,66.48,0.77,5.04,38.56,20.07,-19.47
16,Gain (Loss) on Sale of Investments,-4.57,-0.39,3.65,1.32,-2.58,2.06,2.62,-,1.06,-,-,-,-0.31,-0.53,-1.06,-1.71
17,Gain (Loss) on Sale of Assets,-0.04,-,-,0.04,-,-,-,-0.06,-,-,-0,-,-0.02,-,-,-
18,Asset Writedown,-0.62,0.62,-1.61,1.61,1.91,-1.91,-0.1,0.1,3.31,-3.31,0.31,-0.31,0.91,-0.91,0.44,-0.44
19,Other Unusual Items,-11.31,5.43,3.61,2.28,1.25,-0.46,0.46,-,41.72,-0.37,0.37,-,32.28,-0.38,0.38,-
20,Pretax Income,-79.43,-65.44,-54.94,-62.89,-144.42,-33.2,-32.93,-25.04,-40.56,36.2,67.16,0.45,37.9,36.73,19.83,-21.62
21,Income Tax Expense,-30.87,-20.7,-18.73,-16.55,-34.89,-11.32,-22.52,-0.04,-18.88,0.59,6.43,0.14,4.31,3.29,-0.55,-4.41
22,Net Income,-48.56,-44.75,-36.21,-46.35,-109.53,-21.87,-10.41,-25,-21.67,35.61,60.73,0.31,33.59,33.44,20.38,-17.21
23,Net Income to Common,-48.56,-44.75,-36.21,-46.35,-109.53,-21.87,-10.41,-25,-21.67,35.61,60.73,0.31,33.59,33.44,20.38,-17.21
24,Net Income Growth,-,-,-,-,-,-,-,-,-,6.50%,198.00%,-,-,-,-,-
25,Shares Outstanding (Basic),322,345,329,331,363,367,287,357,363,322,337,342,240,326,203,241
26,Shares Outstanding (Diluted),322,345,329,331,363,367,287,357,363,322,337,342,240,326,203,241
27,Shares Change (YoY),-11.22%,-6.12%,14.90%,-7.31%,-0.11%,14.13%,-14.84%,4.58%,51.47%,-1.45%,66.18%,41.52%,-,-,-,-
28,EPS (Basic),-0.15,-0.13,-0.11,-0.14,-0.30,-0.06,-0.04,-0.07,-0.06,0.11,0.18,0.00,0.14,0.10,0.10,-0.07
29,EPS (Diluted),-0.15,-0.13,-0.11,-0.14,-0.30,-0.06,-0.04,-0.07,-0.06,0.11,0.18,0.00,0.14,0.10,0.10,-0.07
30,EPS Growth,-,-,-,-,-,-,-,-,-,8.06%,79.32%,-,-,-,-,-
31,Free Cash Flow,-,10.95,91.39,-229.84,-138.47,-93.22,-139.96,-182.33,-207.64,-42.1,-23.2,-97.44,65.27,-40.1,35.77,-39.67
32,Free Cash Flow Per Share,-,0.03,0.28,-0.69,-0.38,-0.25,-0.49,-0.51,-0.57,-0.13,-0.07,-0.29,0.27,-0.12,0.18,-0.16
33,Dividend Per Share,-,-,-,-,-,-,-,-,0.179,-,-,-,0.178,-,-,-
34,Dividend Growth,-,-,-,-,-,-,-,-,0.73%,-,-,-,-,-,-,-
35,Gross Margin,465.76%,15.47%,41.54%,11.38%,-8.39%,24.35%,28.32%,20.84%,23.49%,54.72%,53.88%,45.46%,61.41%,57.48%,41.39%,30.34%
36,Operating Margin,-50.34%,-36.24%,-73.59%,-41.20%,-205.80%,-24.58%,-56.27%,-18.83%,-50.14%,23.91%,25.36%,-24.03%,4.46%,30.66%,18.13%,-73.82%
37,Profit Margin,-46.41%,-21.49%,-43.72%,-25.96%,-147.92%,-14.14%,-12.31%,-15.28%,-12.39%,31.47%,38.09%,0.62%,23.55%,26.87%,17.86%,-65.76%
38,Free Cash Flow Margin,-,5.26%,110.33%,-128.71%,-187.00%,-60.27%,-165.50%,-111.47%,-118.68%,-37.20%,-14.55%,-195.63%,45.76%,-32.22%,31.34%,-151.63%
39,EBITDA,-44.55,-67.34,-52.79,-65.45,-144.27,-31.35,-39.3,-24.12,-81.06,32.08,46.62,-6.96,11.38,42.02,25.51,-15.46
40,EBITDA Margin,-42.58%,-32.35%,-63.73%,-36.65%,-194.85%,-20.27%,-46.47%,-14.75%,-46.33%,28.34%,29.24%,-13.97%,7.98%,33.76%,22.36%,-59.09%
41,D&A For EBITDA,8.11,8.11,8.16,8.11,8.11,6.67,8.29,6.67,6.67,5.01,6.18,5.01,5.01,3.86,4.83,3.86
42,EBIT,-52.66,-75.45,-60.95,-73.56,-152.39,-38.02,-47.59,-30.79,-87.72,27.06,40.43,-11.97,6.37,38.17,20.68,-19.31
43,EBIT Margin,-50.34%,-36.24%,-73.59%,-41.20%,-205.80%,-24.58%,-56.27%,-18.83%,-50.14%,23.91%,25.36%,-24.03%,4.46%,30.66%,18.13%,-73.82%
44,Effective Tax Rate,-,-,-,-,-,-,-,-,-,1.62%,9.58%,31.97%,11.37%,8.96%,-,-
45,Revenue as Reported,-,208.18,82.83,178.57,74.04,154.66,84.57,163.57,174.95,113.17,159.43,49.81,142.65,124.46,114.12,26.16
