,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,155.86,196.16,770.07,734.41,636.4,624.25,806.91,1215,1373,1645,1266,2380,-,69.2,-
1,Trading Asset Securities,-,844.57,804.96,221.32,387.11,664.68,822.62,1025,691.06,770,590,990,-,-,15,-
2,Cash & Short-Term Investments,1000,1000,1001,991.39,1122,1301,1447,1832,1906,2143,2235,2256,2380,-,84.2,91.56
3,Cash Growth,-10.80%,-23.11%,-30.81%,-45.89%,-41.15%,-39.27%,-35.27%,-18.77%,-19.94%,-,2554.47%,2363.34%,-,-,-,-
4,Accounts Receivable,-,296.77,333.95,257.69,279.66,351.63,315.93,344.53,333.4,298.41,321.48,244.98,231.62,-,185.26,-
5,Other Receivables,-,19.13,18.91,26.27,19.54,17.53,16.98,18.37,8.97,3.42,2.68,2.61,2.57,-,3.06,-
6,Receivables,-,315.9,352.86,283.96,299.2,369.16,332.92,362.9,342.36,301.83,324.15,247.59,234.19,-,188.32,-
7,Inventory,-,442.47,423.54,435.57,476.5,459.54,396.23,362.43,243.03,183.29,151.04,146.77,139.11,-,119.25,-
8,Prepaid Expenses,-,-,1.5,-,1.5,-,1.5,-,11.13,-,-,-,-,-,0.04,-
9,Other Current Assets,-,649.43,802.14,527.9,416.99,432.47,430.83,278.93,244.78,193.22,116.97,85.13,42.69,-,37.26,-
10,Total Current Assets,-,2408,2581,2239,2316,2562,2608,2836,2747,2821,2827,2735,2796,-,429.06,-
11,"Property, Plant & Equipment",-,43.13,37.77,37.65,33.59,32.15,32.68,29.33,26.14,18.35,19.2,19.82,20.24,-,17.84,-
12,Long-Term Investments,-,157.95,158.25,159.02,159.73,151.27,152.41,108.17,80.75,40.04,40.39,30.66,24.92,-,25.85,-
13,Other Intangible Assets,-,125.55,119.72,122.23,131.02,124.12,131.56,116.76,100.25,115.91,94.91,94.25,84.86,-,64,-
14,Long-Term Deferred Tax Assets,-,157.02,136.65,117.72,100.23,61.88,50.88,29.61,30.52,15.72,16.13,15.63,15.19,-,16.2,-
15,Long-Term Deferred Charges,-,92.38,76.63,79.78,78.74,80.04,90.05,80.02,78.85,48.97,33.62,35.67,26.69,-,25.38,-
16,Other Long-Term Assets,-,199.28,207.3,163.39,159.61,6.33,4.1,4.21,12.54,-,6.05,-,9.68,-,20.92,-
17,Total Assets,-,3184,3317,2919,2979,3018,3070,3205,3076,3060,3038,2931,2978,-,599.25,-
18,Accounts Payable,-,95.53,125.18,60.67,47.62,49.38,49.69,63.87,49.9,21.79,47.53,22.93,45.91,-,17.25,-
19,Accrued Expenses,-,0.58,1.85,10.55,33.28,0.44,2.58,15.81,37.57,0.18,9.68,-0.18,29.76,-,14.31,-
20,Short-Term Debt,-,155.44,155.13,170,44.92,44.91,66.6,176.6,2.73,6.58,3.26,-,25,-,25,-
21,Current Portion of Leases,-,5.7,5.64,5.31,5.4,4.53,5.26,4.26,4.92,1.39,1.77,2.41,3.52,-,3.37,-
22,Current Income Taxes Payable,-,2.49,-,1.03,1.98,1.08,-,-1.42,1.16,2.51,6.31,6.86,4.03,-,-,-
23,Current Unearned Revenue,-,580.42,633.04,246.16,352.85,302.65,272.7,129.9,120.99,140.85,77.45,71.91,39.3,-,42.91,-
24,Other Current Liabilities,-,72.86,63.84,36.09,29.99,28.38,24.45,24.04,14.47,24.61,68.09,2.52,2.86,-,7.27,-
25,Total Current Liabilities,-,913.01,984.68,529.82,516.05,431.35,421.28,413.07,231.74,197.91,214.09,106.45,150.39,-,110.11,-
26,Long-Term Leases,-,10.79,11.83,13.07,9.3,8.51,9.53,8.91,8.29,4,4.34,4.28,4.27,-,5.91,-
27,Long-Term Unearned Revenue,-,7.9,8.07,9.17,11,11.94,16.44,20.24,14.21,17.24,14.05,15.97,18.99,-,8.56,-
