,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,6678,4448,2835,2293,970,995,756,907,-,-,-
1,Market Cap Growth,93.96%,93.96%,192.21%,130.38%,28.33%,9.72%,-,-,-,-,-
2,Enterprise Value,6493,4196,2630,2081,741,772,532,793,-,-,-
3,Last Close Price,5.30,3.53,2.25,1.82,0.77,0.79,0.60,0.72,-,-,-
4,PE Ratio,-,-,-,-,-,137.35,29.08,17.76,-,-,-
5,PS Ratio,11.43,7.61,8.11,21.05,6.40,5.20,3.71,4.05,-,-,-
6,PB Ratio,19.74,13.15,8.15,6.62,2.63,2.50,1.84,2.26,-,-,-
7,P/TBV Ratio,13.17,13.17,8.16,6.63,2.64,2.51,1.85,2.27,-,-,-
8,P/FCF Ratio,-,-,57.29,-365.28,-,98.56,-,-,-,-,-
9,P/OCF Ratio,-,-,55.38,467.77,52.87,30.23,25.12,10.07,-,-,-
10,EV/Sales Ratio,11.11,7.18,7.52,19.10,4.89,4.03,2.61,3.53,-,-,-
11,EV/EBITDA Ratio,462.92,448.46,449.83,-,-,29.33,10.20,9.05,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,115.04,16.40,11.49,-,-,-
13,EV/FCF Ratio,-543.13,-,53.15,-331.43,-,76.40,-,-,-,-,-
14,Debt / Equity Ratio,0.13,0.13,0.13,0.01,-,-,-,-,0.06,0.06,0.10
15,Debt / FCF Ratio,-,-,0.91,-0.64,-,-,-,-,0.16,0.50,0.40
16,Return on Capital Employed (ROCE),-,-,-,-,-,1.68%,7.84%,17.11%,27.86%,22.37%,28.13%
17,Earnings Yield,-0.09%,-0.13%,-0.39%,-0.91%,-1.04%,0.73%,3.44%,5.63%,-,-,-
18,FCF Yield,-0.18%,-0.27%,1.75%,-0.27%,0.65%,1.01%,-1.74%,7.75%,-,-,-
19,Buyback Yield / Dilution,-,-,-,0.01%,-1.69%,-33.35%,-31.12%,-7.45%,-11.11%,-,
20,Total Shareholder Return,-,-,-,0.01%,-1.69%,-33.35%,-31.12%,-7.45%,-11.11%,-,
