,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,212.36,268.98,193.41,187.91,195.51,182.29,186.46,109.48,47.29,38.48
1,Short-Term Investments,0.23,0.23,0.04,0.04,-,-,-,-,-,-
2,Cash & Short-Term Investments,212.59,269.21,193.45,187.95,195.51,182.29,186.46,109.48,47.29,38.48
3,Cash Growth,9.90%,43.24%,-1.06%,3.10%,4.85%,66.50%,294.32%,184.52%,-,-
4,Accounts Receivable,86.4,85.04,13.67,12.34,22.1,27.09,25.03,20.62,47.49,32.28
5,Other Receivables,0.73,0.77,0,0,0.09,1.01,1.02,3.06,-,0.21
6,Receivables,87.13,85.8,13.67,12.34,22.19,28.11,26.05,23.68,47.49,32.49
7,Inventory,7.11,6.3,9.15,7.96,11.26,9.74,8.83,9.27,6.03,9.92
8,Other Current Assets,12.38,1.95,0.74,0.54,0.92,0.61,0.86,6.95,4.56,2.46
9,Total Current Assets,319.21,363.26,217.01,208.77,229.88,220.75,222.2,149.38,105.36,83.35
10,"Property, Plant & Equipment",122.97,128.34,137.37,145.12,150.03,150.12,156.19,149.37,142.58,149.64
11,Other Intangible Assets,0.5,0.45,0.51,0.74,0.99,1.24,0.78,0.65,0.78,0.83
12,Other Long-Term Assets,-,0.12,0.27,0.31,0.73,8.12,0.55,0.62,3.15,0.61
13,Total Assets,442.67,492.18,355.16,354.94,381.63,380.22,379.73,300.02,251.87,234.42
14,Accounts Payable,68.16,108.79,15.41,10.1,17.1,20.22,13.9,10.71,14.62,14.06
15,Accrued Expenses,8.25,15.91,4.28,5.98,5.69,5.71,6.28,6.19,8.73,7.67
16,Short-Term Debt,37.24,36.85,3.7,-,-,-,-,13,13,18
17,Current Portion of Leases,1.4,1.36,-,-,-,-,-,-,-,-
18,Current Income Taxes Payable,4.85,4.76,3.78,4.95,5.25,5.45,5.38,10.19,5.92,6.85
19,Current Unearned Revenue,0.5,0.22,0.29,0.37,0.55,0.59,3.38,3.44,0.3,1.31
20,Other Current Liabilities,3.64,3.97,5.3,5.67,11.35,11.53,15.42,31.67,7.25,5.24
21,Total Current Liabilities,124.05,171.86,32.75,27.07,39.94,43.5,44.36,75.19,49.82,53.13
22,Long-Term Leases,1.83,2.53,-,-,-,-,-,-,-,-
23,Long-Term Deferred Tax Liabilities,0.68,0.53,0.54,0.55,0.52,0.54,0.43,0.35,0.12,0.43
24,Other Long-Term Liabilities,1.35,1.37,1.4,1.43,1.45,1.48,1.51,1.53,1.56,1.59
25,Total Liabilities,127.91,176.29,34.69,29.05,41.91,45.51,46.29,77.07,51.5,55.16
26,Common Stock,10.51,10.51,10.51,10.51,10.51,10.51,10.51,-,-,0.14
27,Additional Paid-In Capital,80.08,80.08,80.08,80.08,80.08,80.08,80.08,-,-,-
28,Retained Earnings,119.69,120.64,125.18,130.73,144.56,139.67,138.38,118.48,95.91,74.66
29,Comprehensive Income & Other,104.49,104.66,104.7,104.58,104.57,104.45,104.47,104.47,104.47,104.47
30,Shareholders' Equity,314.77,315.88,320.47,325.9,339.73,334.71,333.44,222.95,200.37,179.27
31,Total Liabilities & Equity,442.67,492.18,355.16,354.94,381.63,380.22,379.73,300.02,251.87,234.42
32,Total Debt,40.47,40.73,3.7,-,-,-,-,13,13,18
33,Net Cash (Debt),172.12,228.48,189.74,187.95,195.51,182.29,186.46,96.48,34.29,20.48
34,Net Cash Growth,-9.29%,21.57%,-2.95%,3.10%,4.85%,88.94%,443.83%,371.11%,-,-
35,Net Cash Per Share,0.14,0.18,0.15,0.15,0.16,0.14,0.15,0.10,0.04,0.02
36,Filing Date Shares Outstanding,1260,1260,1260,1260,1260,1260,1260,1260,945,945
37,Total Common Shares Outstanding,1260,1260,1260,1260,1260,1260,1260,945,945,945
38,Working Capital,195.16,191.4,184.26,181.7,189.94,177.25,177.84,74.19,55.55,30.22
39,Book Value Per Share,0.25,0.25,0.25,0.26,0.27,0.27,0.26,0.24,0.21,0.19
40,Tangible Book Value,314.27,315.43,319.96,325.16,338.74,333.47,332.65,222.31,199.6,178.44
41,Tangible Book Value Per Share,0.25,0.25,0.25,0.26,0.27,0.26,0.26,0.24,0.21,0.19
42,Buildings,43.71,43.71,42.78,42.78,42.56,42.48,41.09,41.09,41.09,41
43,Machinery,293.15,291.85,298.24,297.23,294.83,286.47,292.74,269.79,264.29,263.71
44,Construction In Progress,0.1,0.1,0.55,1.3,-,-,-,8.27,1.54,1.51
