,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,612,506,491,662,787,919,908,966,943,1091,1461,Upgrade
1,Market Cap Growth,-23.53%,-23.53%,-37.62%,-27.97%,-13.30%,-4.84%,-3.72%,-11.43%,-35.47%,-41.54%,-12.59%,Upgrade
2,Enterprise Value,519,281,567,735,489,1373,1550,1657,1603,1898,1692,Upgrade
3,Last Close Price,1.57,1.30,1.20,1.63,1.83,2.14,2.04,2.17,2.04,2.36,3.06,Upgrade
4,PE Ratio,-,-,17.72,-12.76,-,3.90,2.14,2.40,5.07,9.87,10.95,Upgrade
5,PS Ratio,2.00,1.66,2.10,3.61,2.49,2.10,1.95,2.02,1.97,2.51,5.44,Upgrade
6,PB Ratio,0.14,0.12,0.11,0.16,0.18,0.21,0.21,0.23,0.24,0.29,0.39,Upgrade
7,P/FCF Ratio,-,-,-,21.15,4.85,8.99,-,4.16,4.26,6.42,17.23,Upgrade
8,P/OCF Ratio,-,-,-,21.15,4.85,8.99,-,4.16,4.26,6.42,17.23,Upgrade
9,EV/Sales Ratio,1.70,0.92,2.42,4.01,1.55,3.14,3.34,3.47,3.36,4.37,6.30,Upgrade
10,EV/EBITDA Ratio,9.15,-,40.04,-,-,7.37,6.78,5.60,5.43,7.28,10.83,Upgrade
11,EV/EBIT Ratio,19.83,-,-135.63,-,-,7.86,7.13,5.82,5.63,7.46,10.94,Upgrade
12,EV/FCF Ratio,-,-,-,23.47,3.02,13.43,-,7.14,7.24,11.17,19.95,Upgrade
13,Debt / Equity Ratio,0.09,0.09,0.09,0.15,0.15,0.15,0.29,0.31,0.33,0.31,0.33,Upgrade
14,Debt / FCF Ratio,-,-,-,19.88,4.05,6.47,-,5.61,5.88,6.98,14.84,Upgrade
15,Earnings Yield,-0.68%,-0.82%,5.64%,-7.83%,3.58%,25.63%,46.78%,41.66%,19.70%,10.13%,9.13%,Upgrade
16,FCF Yield,-21.09%,-21.09%,-0.82%,4.73%,20.62%,11.12%,10.34%,24.04%,23.48%,15.59%,5.81%,Upgrade
17,Total Shareholder Return,3.82%,-,-,-,-,-,-,-,-,-,-,Upgrade
