,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Investments in Debt Securities,-,-,-,-,380000,-,-,-,380000,-,355000,-,305000,-,260000,-,230000,-,154204,-,Upgrade
1,Investments in Equity & Preferred Securities,1350,1350,1350,1350,113783,1350,1350,1350,102497,1350,110433,1350,118382,1350,114953,1350,122569,1350,116768,-,Upgrade
2,Other Investments,4722474,4569361,4326906,4284538,3625082,3902828,3935646,3725095,3096082,3554668,2988000,3472723,2875315,3504847,2884315,3240534,2738000,3053936,2658000,-,Upgrade
3,Total Investments,4723824,4570711,4328256,4285888,4167173,3904178,3936996,3779493,3631305,3630841,3575476,3549646,3433229,3582520,3394185,3319205,3229370,3133657,3062220,-,Upgrade
4,Cash & Equivalents,150044,144484,176734,171880,143523,189991,117689,64199,109294,92596,108359,133988,100709,125757,127519,117075,109761,157894,172478,-,Upgrade
5,Reinsurance Recoverable,2327331,2535216,1860361,1880009,1961345,1661360,1816576,1833182,1910507,1939207,2130941,1995961,1732375,2068608,1813633,2062478,1585239,1657570,1742141,-,Upgrade
6,Other Receivables,332380,298291,301847,344516,185485,503847,293401,343007,189858,256476,347081,278788,281816,249021,329736,279506,249969,253157,347164,-,Upgrade
7,"Property, Plant & Equipment",355338,362656,360304,368611,371851,370417,379388,380279,388726,357303,366006,356463,359265,324002,324854,320737,323497,314250,314093,-,Upgrade
8,Other Intangible Assets,267755,268967,262959,266076,271183,270340,256144,260454,230416,175575,170877,172514,174153,174254,177513,178257,181062,186465,180495,-,Upgrade
9,Other Current Assets,169595,188299,185898,152126,276375,155913,183553,185201,263598,173629,202390,226326,253780,251712,321771,360864,405498,432530,380496,-,Upgrade
10,Long-Term Deferred Tax Assets,3445,3490,3427,3438,2864,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
11,Other Long-Term Assets,95098,86965,88246,74725,68920,47111,28441,29813,38269,31908,31705,34372,31202,24970,27346,31051,34124,37075,30977,-,Upgrade
12,Total Assets,8424811,8459079,7568032,7547270,7448720,7103158,7012188,6875628,6761973,6657535,6932835,6748057,6366530,6800844,6516557,6669172,6118518,6172598,6230065,-,Upgrade
13,Accounts Payable,49345,31039,41432,38057,40215,29124,26463,59731,26696,11107,25748,40441,50204,103478,25658,18789,11431,24980,36591,-,Upgrade
14,Accrued Expenses,432841,446221,447695,391110,397433,326162,327895,313293,369332,311561,330144,244509,290057,272964,294405,235745,283898,226883,246701,-,Upgrade
