,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Market Capitalization,1877,1684,1726,1887,2413,2001,1920,1836,1933,1690,1970,2288,-,-,-,-,-
1,Market Cap Growth,-15.83%,-15.83%,-10.08%,2.81%,24.85%,18.38%,-2.57%,-19.77%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2476,2106,2212,2171,2696,2261,2191,2057,2154,1861,2026,2525,-,-,-,-,-
3,Last Close Price,39.29,35.24,36.13,39.14,50.04,41.49,39.82,37.87,39.87,34.87,40.65,46.66,-,-,-,-,-
4,PE Ratio,62.26,55.84,53.96,41.96,64.95,43.64,53.36,65.43,56.03,51.01,41.89,37.69,-,-,-,-,-
5,PS Ratio,1.16,1.04,1.09,1.23,1.63,1.42,1.47,1.47,1.48,1.26,1.46,1.68,-,-,-,-,-
6,PB Ratio,2.18,1.98,2.17,2.33,3.03,2.51,2.45,2.35,2.49,2.21,2.59,2.94,-,-,-,-,-
7,P/TBV Ratio,2.09,2.09,2.32,2.48,3.14,2.56,2.50,2.40,2.55,2.27,2.66,3.02,-,-,-,-,-
8,P/FCF Ratio,-,-,-16.19,-,-,-,-,-18.33,-,-10.59,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,219.14,-,-,365.88,-,-115.47,-,-20.78,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.53,1.30,1.40,1.42,1.83,1.60,1.67,1.65,1.65,1.39,1.50,1.86,-,-,-,-,-
11,EV/EBITDA Ratio,36.54,30.20,31.77,25.71,37.12,28.25,33.44,37.64,33.06,34.07,27.10,27.99,-,-,-,-,-
12,EV/EBIT Ratio,60.11,46.05,47.10,34.14,50.75,36.54,45.69,53.16,43.26,46.65,33.35,33.12,-,-,-,-,-
13,EV/FCF Ratio,-14.43,-,-20.74,-,-,-,-,-20.54,-,-11.66,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.90,0.90,0.74,0.79,0.72,0.64,0.56,0.55,0.54,0.51,0.56,0.55,0.96,-,0.81,0.96,0.69
15,Debt / EBITDA Ratio,11.28,8.30,15.89,6.70,10.61,5.59,4.59,8.90,5.01,11.53,8.07,4.74,10.58,-,3.02,3.37,3.59
16,Debt / FCF Ratio,-,-,-5.53,-,-,-,-,-4.33,-,-2.42,-,-,-,-,-,-,59.20
17,Asset Turnover,0.94,0.98,0.80,1.07,1.00,0.98,0.80,1.06,0.81,0.80,0.96,-,-,-,-,-,
18,Inventory Turnover,5.20,5.69,5.75,4.52,6.03,5.18,5.47,4.45,5.31,4.21,4.70,5.09,-,-,-,-,-
19,Quick Ratio,1.27,1.27,1.13,1.12,1.20,1.21,1.47,1.52,1.55,1.39,1.55,1.43,1.08,-,1.26,-,1.18
20,Current Ratio,1.94,1.94,1.50,1.52,1.55,1.63,1.90,2.08,2.01,2.02,1.97,1.81,1.48,-,1.59,-,1.51
21,Return on Equity (ROE),4.75%,-2.11%,6.37%,0.15%,6.37%,5.96%,2.68%,5.99%,1.71%,2.61%,8.46%,-,-,18.36%,-,-,
22,Return on Assets (ROA),2.42%,0.32%,2.69%,1.19%,3.01%,3.19%,1.36%,2.95%,0.84%,1.58%,3.33%,-,-,-,-,-,
23,Return on Capital (ROIC),2.90%,0.39%,3.25%,1.46%,3.67%,3.85%,1.64%,3.53%,1.00%,1.99%,4.51%,-,-,8.12%,-,-,
24,Return on Capital Employed (ROCE),3.35%,3.72%,5.19%,6.93%,6.06%,7.22%,5.48%,4.21%,5.71%,4.72%,7.32%,8.90%,14.70%,-,12.22%,-,3.88%
25,Earnings Yield,1.61%,1.79%,1.85%,2.38%,1.54%,2.29%,1.87%,1.53%,1.78%,1.96%,2.39%,2.65%,-,-,-,-,-
26,FCF Yield,-9.14%,-10.19%,-6.18%,-12.40%,-5.52%,-3.99%,-3.23%,-5.46%,-7.02%,-9.44%,-11.77%,-6.70%,-,-,-,-,-
27,Dividend Yield,0.91%,-,-,-,0.74%,-,-,-,0.50%,-,-,-,-,-,-,-,-
28,Payout Ratio,90.22%,43.02%,32639.45%,34.50%,-,103.45%,100.13%,44.97%,36.82%,122.59%,532.15%,27.25%,35.50%,19.21%,19.98%,19.30%,27.43%
29,Buyback Yield / Dilution,0.01%,-0.03%,0.03%,0.00%,0.02%,-0.00%,-33.32%,-0.02%,-33.34%,-33.36%,-0.03%,-33.34%,-0.01%,-,-,-,-
30,Total Shareholder Return,0.92%,-0.03%,0.03%,0.00%,0.76%,-0.00%,-33.32%,-0.02%,-32.83%,-33.36%,-0.03%,-33.34%,-0.01%,-,-,-,-
