,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,94.09,116.94,105.44,201.95,153.57,161.2,149.23,157.83,165.29,204.51,374.61,91.49,-,109.23,-,87.1
1,Short-Term Investments,-,40.98,-,-,-,15.1,-,50.75,-,50,-,-,-,-,-,-
2,Trading Asset Securities,60.12,-,40.22,-,70.31,-,10.01,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,154.21,157.92,145.66,201.95,223.88,176.3,159.23,208.59,165.29,254.51,374.61,91.49,-,109.23,110.56,87.1
4,Cash Growth,-31.12%,-10.43%,-8.53%,-3.18%,35.45%,-30.73%,-57.49%,128.00%,-,133.01%,238.83%,5.04%,-,-,-,-
5,Accounts Receivable,733.22,695.62,757,751.69,685.53,696.41,679.2,640.32,587.86,646.5,695.86,646.45,-,560.27,-,426.53
6,Other Receivables,6.34,8.72,7.19,5.88,7.91,6.18,6.09,9.1,4.71,4.92,3.55,2.07,-,2.3,-,0.02
7,Receivables,739.56,704.34,764.2,757.57,693.44,702.59,685.29,649.42,592.57,651.42,699.41,648.52,-,562.57,-,426.55
8,Inventory,281.93,251.7,287.87,250.08,285.89,238.34,230.26,240.59,259.46,217.63,253.39,239.52,-,166.02,-,137.39
9,Prepaid Expenses,-,1.89,-,1.71,-,0.8,-,-,-,-,-,4.31,-,3.36,-,-
10,Other Current Assets,184.36,28.45,41.85,32.78,37.63,15.1,80.13,11.33,82.76,27.33,28.17,26.03,-,8.59,-,7.99
11,Total Current Assets,1360,1144,1240,1244,1241,1133,1155,1110,1100,1151,1356,1010,-,849.77,-,659.03
12,"Property, Plant & Equipment",441.13,404.51,372.79,368.14,323.59,296.34,284.28,274.34,251.37,227.3,220.49,200.1,-,173.38,-,100.47
13,Long-Term Investments,-,36.29,-,10.24,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,57.52,57.96,58.4,38.16,19.9,19.82,19.95,20.08,20.21,20.34,20.48,20.61,-,20.87,-,21.37
15,Long-Term Deferred Tax Assets,4.27,4.42,3.82,4.03,4.35,4.39,4.42,4.73,5.26,5.15,5.62,5.62,-,5.45,-,3.82
16,Long-Term Deferred Charges,7.54,6.63,5.04,5.24,5.31,4.42,4.62,3.87,3.26,2.67,2.16,2.43,-,2.65,-,2.26
17,Other Long-Term Assets,59.74,12.22,51.94,7.7,23.42,15.09,7.9,11.32,8.83,7.58,3.08,4.84,-,3.98,-,5.08
18,Total Assets,1930,1666,1732,1678,1617,1473,1476,1424,1389,1414,1607,1243,-,1056,-,792.04
19,Accounts Payable,281.49,246.52,246.19,280.12,278.48,213.71,215.59,169.06,183.22,167.9,239.28,184.98,-,161.23,-,110.59
20,Accrued Expenses,5.94,6.19,4.4,10.89,5.07,10.28,4.56,9.28,5.24,6.09,4.03,12.5,-,6.96,-,6.84
21,Short-Term Debt,335,415.39,394.16,356.45,320.65,249,281.8,319.54,308.03,315.46,315.53,322.4,-,247.98,-,204.87
22,Current Portion of Long-Term Debt,65.28,78.49,151.86,147.33,145.39,115.1,27.38,17.59,13.84,56.21,52.56,30.32,-,18.54,-,29.88
23,Current Income Taxes Payable,2.51,-,1.1,-,4.13,0.59,3.17,-,3.37,-,0.77,-,-,1.39,-,2.49
24,Current Unearned Revenue,2.98,3.34,2.97,1.49,2.64,1.96,1.34,1.13,4.04,1.48,3.29,3.1,-,3.65,-,3.35
25,Other Current Liabilities,8.76,11.91,13.17,5.13,4.33,7.03,22.45,36.39,26.69,36.51,135.1,130.65,-,93.59,-,77.1
26,Total Current Liabilities,701.96,761.84,813.85,801.41,760.69,597.68,556.28,552.99,544.43,583.65,750.57,683.95,-,533.34,-,435.14
27,Long-Term Debt,364.32,95.7,96.26,67.25,46.81,77.63,124.5,81.16,65.12,54.46,61.65,86.61,-,79.79,-,-
28,Long-Term Unearned Revenue,14.47,14.98,12.24,12.65,13.06,13.27,13.82,14.37,14.86,15.41,15.97,16.52,-,15.45,-,15.81
29,Total Liabilities,1081,872.53,922.35,881.3,820.56,688.58,694.6,648.52,624.41,653.53,828.18,787.08,-,628.58,-,450.95
30,Common Stock,47.78,47.78,47.78,47.78,47.78,47.78,47.78,47.78,47.78,47.78,47.78,35.83,-,35.83,-,35.83
31,Additional Paid-In Capital,495.77,495.77,495.77,495.77,495.77,495.77,495.77,495.77,495.62,495.62,495.62,198.48,-,198.48,-,198.48
32,Retained Earnings,268.67,256.91,274.52,260.07,256.19,242.6,239.1,232.47,219.91,216.18,234.93,221.87,-,193.03,-,106.6
33,Comprehensive Income & Other,49.05,3.08,1.93,1.8,2.65,3,1.99,1.49,1.86,0.94,0.89,0.21,-,0.18,-,0.19
34,Total Common Equity,861.28,803.54,820,805.42,802.39,789.15,784.65,777.52,765.17,760.52,779.23,456.38,-,427.52,392.01,341.09
35,Minority Interest,-11.76,-9.76,-10.8,-9.13,-5.55,-4.54,-3.16,-1.76,-0.57,-0.11,-,-,-,-,-,-
36,Shareholders' Equity,849.52,793.78,809.2,796.29,796.85,784.61,781.48,775.76,764.6,760.41,779.23,456.38,-,427.52,392.01,341.09
37,Total Liabilities & Equity,1930,1666,1732,1678,1617,1473,1476,1424,1389,1414,1607,1243,-,1056,-,792.04
38,Total Debt,764.6,589.58,642.29,571.02,512.85,441.74,433.69,418.29,386.99,426.13,429.75,439.33,-,346.31,376.63,234.76
39,Net Cash (Debt),-610.38,-431.66,-496.63,-369.07,-288.97,-265.44,-274.45,-209.7,-221.7,-171.62,-55.14,-347.85,-,-237.08,-266.07,-147.66
40,Net Cash Per Share,-12.77,-9.04,-10.39,-7.73,-6.05,-5.56,-5.74,-4.39,-4.64,-4.79,-1.15,-9.71,-,-6.62,-7.43,-4.12
41,Filing Date Shares Outstanding,47.78,47.78,47.78,47.78,47.78,47.78,47.78,47.78,47.78,47.78,47.78,35.83,35.83,35.83,35.83,35.83
42,Total Common Shares Outstanding,47.78,47.78,47.78,47.78,47.78,47.78,47.78,47.78,47.78,47.78,47.78,35.83,35.83,35.83,35.83,35.83
43,Working Capital,658.1,382.45,425.72,442.68,480.15,535.45,598.63,556.95,555.66,567.24,605.02,325.91,-,316.43,-,223.89
44,Book Value Per Share,18.03,16.82,17.16,16.86,16.79,16.52,16.42,16.27,16.01,15.92,16.31,12.74,-,11.93,10.94,9.52
45,Tangible Book Value,803.75,745.58,761.6,767.26,782.5,769.34,764.7,757.44,744.96,740.17,758.75,435.78,-,406.65,370.94,319.72
