,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Revenue,424.1,417.74,340.67,440.55,385.82,361.49,289.53,373.49,284.54,302.74,342.75,411.64,295.46,308.75,287.23,171.96
1,Revenue Growth (YoY),9.92%,15.56%,17.66%,17.96%,35.59%,19.41%,-15.53%,-9.27%,-3.70%,-1.95%,19.33%,139.38%,-,-,-,-
2,Cost of Revenue,379.74,387.78,304.06,404.26,339.15,320.49,261.77,332.04,251.28,276.51,313.83,368.1,257.11,269.73,250.29,148.03
3,Gross Profit,44.36,29.96,36.61,36.3,46.67,41,27.76,41.44,33.26,26.23,28.92,43.54,38.35,39.02,36.95,23.93
4,"Selling, General & Admin",15.01,15.34,15.17,16.76,10.94,10.57,10.35,10.64,12.63,10.2,7.08,9.94,5.99,6.27,6.81,6.03
5,Research & Development,12.99,13.47,11.89,15.54,16.18,11.79,9.94,13.74,14.59,8.03,8.11,17.14,7.69,8.46,8.22,4.26
6,Other Operating Expenses,-1.78,-1.52,-8.73,-3.87,0.41,-1.5,0.08,0.33,-0.31,-0.98,-6.4,9.54,-1.35,0.17,-3.68,0.46
7,Operating Expenses,26.98,27.77,18.27,28.48,28.05,22.19,19.88,24.87,28.57,16.69,9.94,36.85,12.82,13.97,11.99,10.08
8,Operating Income,17.38,2.19,18.34,7.82,18.62,18.81,7.88,16.57,4.7,9.54,18.98,6.68,25.53,25.05,24.96,13.85
9,Interest Expense,-4.58,-4.79,-4.87,-3.56,-4.37,-4.27,-3.67,-0.58,-7.43,-3.53,-5.71,-5.28,-4.83,-4.87,-5.35,-3.31
10,Interest & Investment Income,0.86,0.17,0.58,-,0.54,0.87,0.91,0.86,0.91,1.33,0.24,0.24,0.21,0.21,0.24,0.12
11,Currency Exchange Gain (Loss),0.34,-0.34,-,-0.96,0.45,-0.45,-,-1.74,1.29,-1.29,-,0.05,0.02,-0.02,-,0.03
12,Other Non Operating Income (Expenses),0.57,-1.3,-0.12,0.78,1.38,-2.14,0.07,-1.55,0.68,-0.51,0.89,-0.19,-0.1,-0.15,-0.12,-0.07
13,EBT Excluding Unusual Items,14.56,-4.07,13.93,4.08,16.62,12.82,5.19,13.56,0.15,5.54,14.41,1.51,20.82,20.22,19.72,10.64
14,Gain (Loss) on Sale of Investments,0.25,-0.05,0.22,-0.17,0.31,0.09,0.03,-,0.04,-,-,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,0.05,-0.13,0,0.05,-0.02,0.02,-0.06,0,-,0.01,-,-0.07,-,-,0.01,-
16,Asset Writedown,-4.34,-0.22,0.22,-0.05,0.05,-0.45,0.45,-1.53,1.53,-0.1,0.1,2.12,-2.12,1.15,-1.15,-
17,Other Unusual Items,0.01,-0.98,-0.01,-3.98,-1.25,1.25,-,0.97,-0.19,0.19,-,7.42,0.89,-0.89,-,0.59
18,Pretax Income,10.53,-5.46,14.36,-0.07,15.71,13.72,5.61,13,1.52,5.64,14.51,10.98,19.59,20.48,18.58,11.23
