,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,527.31,534.61,588.31,497.55,444.42,646.84,714.45,694.61,410.49,736.27,Upgrade
1,Revenue Growth (YoY),-10.37%,7.45%,32.38%,-23.08%,-37.80%,-6.88%,74.05%,-5.66%,-45.90%,-2.08%,Upgrade
2,Cost of Revenue,434.19,448.86,456.29,444.81,425.02,513.06,552.39,502.39,364.22,565.11,Upgrade
3,Gross Profit,93.12,85.75,132.01,52.74,19.4,133.78,162.06,192.22,46.27,171.16,Upgrade
4,Other Operating Expenses,35.06,32.59,36.28,40,33.96,39.22,42.16,25.53,18.22,24.44,Upgrade
5,Operating Expenses,79.74,75.14,79.83,93.64,91.74,103.44,106.59,94,90.74,95.93,Upgrade
6,Operating Income,13.38,10.61,52.18,-40.91,-72.34,30.34,55.47,98.23,-44.47,75.23,Upgrade
7,Interest Expense,-5.5,-5.13,-5.65,-6.19,-7.71,-8.66,-9.96,-11.45,-12.99,-13.21,Upgrade
8,Interest & Investment Income,1.22,2.06,1.41,2.19,2.3,3.13,2.18,4.14,1.62,3.59,Upgrade
9,Earnings From Equity Investments,0.21,-1.5,-2.07,-1.09,-1.33,-0.56,0.37,0.01,-2.23,-2.99,Upgrade
10,Currency Exchange Gain (Loss),-,-0.58,-,-1.73,-,0.7,-,-3.67,-,-0.92,Upgrade
11,EBT Excluding Unusual Items,9.3,5.45,45.87,-47.73,-79.08,24.94,48.06,87.25,-58.07,61.7,Upgrade
12,Gain (Loss) on Sale of Investments,-,0.49,-,-4.26,0.6,2.97,-,-1.2,-,-,Upgrade
13,Gain (Loss) on Sale of Assets,-,-0.25,-,-2.34,-,-2.08,-,-1.16,-,-0.35,Upgrade
14,Asset Writedown,-0.42,-3.31,-,-9.96,-8.5,-6.31,-,-1.6,-6.71,-1.96,Upgrade
15,Other Unusual Items,-,-,-,-2.59,2.59,-1.26,1.26,-,-,-,Upgrade
16,Pretax Income,8.88,2.38,45.87,-66.87,-84.39,18.27,49.32,83.3,-64.78,59.4,Upgrade
17,Income Tax Expense,5.23,2,3.99,-1.04,2.1,10.76,16.8,12.69,2.68,18.59,Upgrade
18,Earnings From Continuing Operations,3.65,0.39,41.88,-65.83,-86.48,7.51,32.52,70.62,-67.46,40.81,Upgrade
19,Minority Interest in Earnings,-0.27,-0.26,-0.31,0.2,1.18,0.69,-0.14,0.26,0.96,-0.74,Upgrade
20,Net Income,3.38,0.13,41.56,-65.63,-85.31,8.2,32.38,70.88,-66.5,40.07,Upgrade
21,Net Income to Common,3.38,0.13,41.56,-65.63,-85.31,8.2,32.38,70.88,-66.5,40.07,Upgrade
22,Net Income Growth,-91.87%,-,-,-,-,-88.44%,-,76.87%,-,-36.35%,Upgrade
23,Shares Outstanding (Basic),1076,1076,1076,1076,1075,1076,1076,1076,1076,1074,Upgrade
24,Shares Outstanding (Diluted),1076,1076,1076,1076,1075,1076,1076,1076,1076,1074,Upgrade
25,Shares Change (YoY),-,-0.00%,0.13%,0.00%,-0.13%,0.05%,0.02%,0.15%,0.58%,0.49%,Upgrade
26,EPS (Basic),0.00,0.00,0.04,-0.06,-0.08,0.01,0.03,0.07,-0.06,0.04,Upgrade
27,EPS (Diluted),0.00,0.00,0.04,-0.06,-0.08,0.01,0.03,0.07,-0.06,0.04,Upgrade
28,EPS Growth,-91.87%,-,-,-,-,-88.44%,-,76.61%,-,-36.66%,Upgrade
29,Free Cash Flow,33.01,13.83,98.45,-41.31,-25.63,19.23,117.19,78.05,17.41,105.22,Upgrade
30,Free Cash Flow Per Share,0.03,0.01,0.09,-0.04,-0.02,0.02,0.11,0.07,0.02,0.10,Upgrade
31,Dividend Per Share,-,0.014,-,-,-,0.020,-,0.025,-,-,Upgrade
32,Dividend Growth,-,-,-,-,-,-19.37%,-,-,-,-,Upgrade
33,Operating Margin,2.54%,1.99%,8.87%,-8.22%,-16.28%,4.69%,7.76%,14.14%,-10.83%,10.22%,Upgrade
34,Profit Margin,0.64%,0.02%,7.07%,-13.19%,-19.19%,1.27%,4.53%,10.20%,-16.20%,5.44%,Upgrade
35,Free Cash Flow Margin,6.26%,2.59%,16.73%,-8.30%,-5.77%,2.97%,16.40%,11.24%,4.24%,14.29%,Upgrade
36,EBITDA,30.74,26.67,70.2,-19.11,-48.85,53.76,78.13,122.52,-19.47,98.73,Upgrade
37,D&A For EBITDA,17.36,16.05,18.02,21.8,23.49,23.42,22.66,24.29,25,23.5,Upgrade
38,EBIT,13.38,10.61,52.18,-40.91,-72.34,30.34,55.47,98.23,-44.47,75.23,Upgrade
39,Advertising Expenses,9.3,-,7.79,-,9.07,-,9.95,-,6.75,-,Upgrade
