,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,210,409,535,573,573,595,753,958,979,775,1267,Upgrade
1,Market Cap Growth,-28.63%,-28.63%,-6.60%,-3.64%,-23.93%,-37.92%,-23.08%,23.61%,-22.73%,-42.74%,3.11%,Upgrade
2,Enterprise Value,80,307,291,499,428,417,495,838,951,751,1143,Upgrade
3,Last Close Price,0.20,0.38,0.48,0.49,0.47,0.48,0.59,0.73,0.72,0.55,0.91,Upgrade
4,PE Ratio,55.69,108.51,11.65,-22.03,-,-,15.13,7.71,188.29,-,12.41,Upgrade
5,Forward PE,-,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,8.08,Upgrade
6,PS Ratio,0.18,0.36,0.43,0.49,0.54,0.47,0.45,0.57,0.75,0.62,0.76,Upgrade
7,PB Ratio,0.80,1.55,2.02,1.84,2.06,1.53,1.47,1.77,1.97,1.95,2.64,Upgrade
8,P/TBV Ratio,1.56,1.56,2.03,1.84,2.07,1.54,1.48,1.79,1.99,1.98,2.69,Upgrade
9,P/FCF Ratio,4.17,8.13,4.33,9.28,-,-,4.50,4.08,8.64,5.76,5.63,Upgrade
10,P/OCF Ratio,3.69,3.69,3.29,6.91,-,-,3.46,3.55,6.47,4.02,4.35,Upgrade
11,EV/Sales Ratio,0.07,0.27,0.24,0.43,0.40,0.33,0.30,0.49,0.72,0.60,0.68,Upgrade
12,EV/EBITDA Ratio,0.67,4.97,2.73,9.05,-,-,3.06,3.47,7.77,-,4.75,Upgrade
13,EV/EBIT Ratio,3.26,11.89,4.21,40.99,-,-,4.70,4.54,14.89,-,6.12,Upgrade
14,EV/FCF Ratio,1.58,6.09,2.35,8.09,-,-,2.95,3.57,8.39,5.58,5.08,Upgrade
15,Debt / Equity Ratio,0.83,0.83,0.94,0.52,0.77,0.74,0.66,0.62,0.79,0.97,0.91,Upgrade
16,Debt / FCF Ratio,4.35,4.35,2.02,2.63,-,-,2.02,1.42,3.47,2.88,1.94,Upgrade
17,Return on Capital Employed (ROCE),6.12%,6.12%,15.04%,3.05%,-,-,14.90%,26.08%,9.06%,-,25.02%,Upgrade
18,Earnings Yield,1.80%,0.92%,8.58%,-4.54%,-29.78%,-15.19%,6.61%,12.97%,0.53%,-3.74%,8.06%,Upgrade
19,FCF Yield,23.98%,12.31%,23.11%,10.77%,-13.21%,-1.26%,22.23%,24.52%,11.58%,17.37%,17.77%,Upgrade
20,Dividend Yield,7.69%,-,3.15%,-,-,-,4.23%,-,4.17%,-,-,Upgrade
21,Buyback Yield / Dilution,0.00%,-,0.00%,-0.13%,-0.00%,0.13%,-0.05%,-0.02%,-0.15%,-0.58%,-0.49%,Upgrade
22,Total Shareholder Return,7.69%,-,3.15%,-0.13%,-0.00%,0.13%,4.18%,-0.02%,4.02%,-0.58%,-0.49%,Upgrade
