,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5744,6283,4362,3726,4213,4040,3445,2862,2569,-,-,-,-,-,-,-
1,Market Cap Growth,55.54%,55.54%,26.60%,30.18%,64.00%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6347,6750,4493,3999,4487,4204,3351,3584,3291,-,-,-,-,-,-,-
3,Last Close Price,28.06,30.67,21.29,18.03,20.39,19.84,16.92,18.58,16.68,-,-,-,-,-,-,-
4,PE Ratio,197.73,216.38,75.56,66.20,-,95.09,111.03,33.42,-,-,-,-,-,-,-,-
5,PS Ratio,0.85,0.93,0.69,0.61,0.73,0.73,0.62,0.50,0.40,-,-,-,-,-,-,-
6,PB Ratio,3.69,4.04,2.82,2.40,2.73,2.62,2.29,1.91,1.71,-,-,-,-,-,-,-
7,P/TBV Ratio,4.04,4.04,2.82,2.40,2.74,2.62,2.29,1.91,1.71,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-108.99,-,-,-,13.11,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-149.62,-,-,-,12.97,-,-,-,-,-,-,-
10,EV/Sales Ratio,0.94,1.00,0.71,0.65,0.78,0.76,0.60,0.63,0.51,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,83.76,101.43,36.95,40.42,-,37.76,47.33,26.06,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,97.99,103.24,37.29,40.83,-,38.07,49.33,26.60,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-24.65,-,-,-,-116.07,-,-,-,16.79,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.62,0.62,0.62,0.50,0.46,0.53,0.56,0.49,0.45,1.12,0.98,1.41,1.41,-,1.73,1.73
15,Debt / EBITDA Ratio,12.77,7.58,6.56,8.52,-,2.35,16.49,7.03,-,4.65,2.23,4.34,4.36,-,3.75,3.75
16,Debt / FCF Ratio,-,-,-,-,-18.51,-,-,-,3.49,-,1.81,-,-4.81,-,-,-
17,Asset Turnover,2.82,2.52,2.30,2.08,2.38,2.44,1.96,2.11,3.22,-,-,-,-,3.49,-,
18,Inventory Turnover,10.53,11.99,10.55,9.89,8.71,10.21,11.38,8.68,7.32,8.83,-,-,-,-,11.14,-
19,Quick Ratio,1.60,1.60,1.54,1.64,1.71,1.64,1.71,1.89,1.81,1.03,1.01,-,0.86,-,0.93,0.93
20,Current Ratio,2.15,2.15,2.11,2.19,2.31,2.27,2.26,2.49,2.43,1.65,1.57,-,1.39,-,1.35,1.35
21,Return on Equity (ROE),2.75%,3.86%,1.22%,-0.33%,10.33%,3.59%,1.15%,-5.15%,14.84%,40.13%,11.40%,-,-,35.43%,-,
22,Return on Assets (ROA),2.78%,2.79%,2.07%,-1.90%,8.11%,0.88%,2.57%,-1.23%,5.66%,-,-,-,-,7.76%,-,
23,Return on Capital (ROIC),3.15%,3.26%,2.46%,-2.21%,9.20%,0.98%,2.91%,-1.44%,7.18%,12.81%,8.06%,-,-,10.52%,-,
24,Return on Capital Employed (ROCE),4.15%,4.19%,7.79%,6.31%,-,7.13%,4.49%,8.94%,-,27.59%,32.95%,-,38.32%,-,22.48%,11.24%
25,Earnings Yield,0.51%,0.46%,1.32%,1.51%,1.33%,1.05%,0.90%,2.99%,3.86%,-,-,-,-,-,-,-
26,FCF Yield,-4.48%,-4.10%,-5.87%,-8.69%,-0.92%,-5.71%,-9.16%,16.33%,7.63%,-,-,-,-,-,-,-
27,Dividend Yield,0.47%,-,-,-,0.68%,-,-,-,0.86%,-,-,-,-,-,-,-
28,Payout Ratio,282.28%,156.56%,278.53%,243.51%,-,32.43%,297.33%,218.27%,-,30.97%,9.50%,26.21%,8.90%,9.19%,7.40%,7.40%
29,Buyback Yield / Dilution,-5.41%,-1.30%,-2.78%,-0.08%,-19.66%,-33.96%,-31.45%,-34.23%,-13.49%,0.40%,-1.03%,0.84%,-,-,-,-
30,Total Shareholder Return,-4.94%,-1.30%,-2.78%,-0.08%,-18.99%,-33.96%,-31.45%,-34.23%,-12.63%,0.40%,-1.03%,0.84%,-,-,-,-
