,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,2009,1778,1566,1397,1594,1558,1226,1183,1572,1707,1933,1605,1730,1753,1753
1,Other Revenue,-0.11,0.11,-,0.32,-0.11,0.11,-,0.29,-0.05,0.05,-,-,-,-,-
2,Revenue,2009,1778,1566,1397,1594,1558,1226,1183,1572,1707,1933,1605,1730,1753,1753
3,Revenue Growth (YoY),26.05%,14.13%,27.70%,18.09%,1.43%,-8.73%,-36.57%,-26.31%,-9.17%,-2.60%,10.31%,-,-,-,-
4,Cost of Revenue,1927,1696,1496,1358,1516,1496,1160,1141,1493,1623,1830,1523,1625,1650,1650
5,Gross Profit,81.84,82.14,70.48,39.53,77.88,62.6,66.8,42.01,78.1,84.01,103.1,82.52,105.69,102.25,102.25
6,"Selling, General & Admin",39.88,40.91,37.33,48.53,35.83,32.88,30.39,40.74,24.58,24.65,24.87,27.39,22.9,23.05,23.05
7,Research & Development,8.51,8.71,7.62,12.32,9.57,9.87,8.99,11.91,8.82,10.25,11.95,11.35,10.74,9.51,9.51
8,Other Operating Expenses,0.73,0.49,0.57,0.53,0.43,0.2,-0.01,2.26,0.39,-0.89,0.43,0.72,0.66,0.49,0.49
9,Operating Expenses,50.17,50.64,47.89,59.91,-8.88,53.63,41.11,53.01,33.82,8.27,54.38,34.06,34.24,39.9,39.9
10,Operating Income,31.67,31.5,22.59,-20.38,86.77,8.97,25.69,-11,44.28,75.74,48.72,48.46,71.45,62.35,62.35
11,Interest Expense,-13.58,-14.27,-13.03,-13.42,-13,-11.14,-9.87,-10.18,-9.07,-6.32,-5.17,-4.63,-4.55,-4.2,-4.2
12,Interest & Investment Income,1.62,3.06,3.08,3.57,3.65,2.71,3.84,2.2,0.81,0.29,0.26,0.28,0.13,0.12,0.12
13,Currency Exchange Gain (Loss),6.43,-6.43,-,2.77,-2.25,2.25,-,-10.79,8.31,-8.31,-,0.13,0.47,-0.24,-0.24
14,Other Non Operating Income (Expenses),-10.26,-0.65,-2.15,-3.13,-1.07,-0.1,-3.22,8.4,-12.54,0.01,-2.88,-1.1,-3.77,-1.79,-1.79
15,EBT Excluding Unusual Items,15.87,13.2,10.48,-30.59,74.1,2.67,16.44,-21.36,31.79,61.4,40.94,43.14,63.72,56.24,56.24
16,Gain (Loss) on Sale of Assets,-0.04,-0,-0.01,0.01,-0.01,-,-,-0,-,0.13,-,0.1,0,-0,-0
17,Asset Writedown,-4.68,4.64,-4.64,26.08,-26.08,11.01,-11.01,0.07,-0.07,19.5,-19.5,8.18,-8.22,-,-
18,Other Unusual Items,0.05,-0.13,0.23,0.49,-,-,-,2.72,-,-,-,0.26,-0.09,0.04,0.04
19,Pretax Income,11.19,17.71,6.07,-3.66,47.66,14.03,5.43,-18.18,31.52,81.23,21.44,51.68,55.42,56.29,56.29
20,Income Tax Expense,0.53,2.77,1.36,-2.39,8.31,0.54,1.13,-3.51,3.62,13.13,3.54,7.29,9.34,8.28,8.28
21,Net Income,10.66,14.94,4.71,-1.27,39.35,13.5,4.3,-14.66,27.89,68.1,17.9,44.39,46.08,48.01,48.01
22,Net Income to Common,10.66,14.94,4.71,-1.27,39.35,13.5,4.3,-14.66,27.89,68.1,17.9,44.39,46.08,48.01,48.01
23,Net Income Growth,-72.91%,10.69%,9.48%,-,41.06%,-80.18%,-75.95%,-,-39.46%,41.84%,-62.72%,-,-,-,-
24,Shares Outstanding (Basic),205,207,202,204,202,202,202,171,151,153,151,151,151,152,152
25,Shares Outstanding (Diluted),205,207,202,204,202,202,202,171,151,153,151,151,151,152,152
26,Shares Change (YoY),1.30%,2.78%,0.08%,19.66%,33.96%,31.45%,34.23%,13.49%,-0.40%,1.03%,-0.84%,-,-,-,-
27,EPS (Basic),0.05,0.07,0.02,-0.01,0.19,0.07,0.02,-0.09,0.19,0.44,0.12,0.29,0.30,0.32,0.32
28,EPS (Diluted),0.05,0.07,0.02,-0.01,0.19,0.07,0.02,-0.09,0.19,0.44,0.12,0.29,0.30,0.32,0.32
29,EPS Growth,-73.26%,7.70%,9.39%,-,5.30%,-84.92%,-82.09%,-,-39.22%,40.39%,-62.41%,-,-,-,-
30,Free Cash Flow,-108.11,-136.79,-351.08,338.5,-106.51,-204.5,-66.15,146.62,-191.44,578.34,-337.55,247.46,-93.6,-168.88,-168.88
31,Free Cash Flow Per Share,-0.53,-0.66,-1.74,1.66,-0.53,-1.01,-0.33,0.86,-1.27,3.77,-2.24,1.64,-0.62,-1.11,-1.11
32,Dividend Per Share,-,-,-,0.138,-,-,-,0.143,-,-,-,-,-,-,-
33,Dividend Growth,-,-,-,-3.36%,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,4.07%,4.62%,4.50%,2.83%,4.89%,4.02%,5.45%,3.55%,4.97%,4.92%,5.33%,5.14%,6.11%,5.83%,5.83%
35,Operating Margin,1.58%,1.77%,1.44%,-1.46%,5.44%,0.58%,2.09%,-0.93%,2.82%,4.44%,2.52%,3.02%,4.13%,3.56%,3.56%
36,Profit Margin,0.53%,0.84%,0.30%,-0.09%,2.47%,0.87%,0.35%,-1.24%,1.77%,3.99%,0.93%,2.77%,2.66%,2.74%,2.74%
37,Free Cash Flow Margin,-5.38%,-7.69%,-22.42%,24.23%,-6.68%,-13.12%,-5.39%,12.39%,-12.18%,33.88%,-17.46%,15.41%,-5.41%,-9.64%,-9.64%
38,EBITDA,31.93,31.88,22.85,-20.12,86.98,9.23,25.9,-10.78,46.47,75.93,50.91,50.64,71.77,62.67,62.67
39,EBITDA Margin,1.59%,1.79%,1.46%,-1.44%,5.46%,0.59%,2.11%,-0.91%,2.96%,4.45%,2.63%,3.15%,4.15%,3.58%,3.58%
40,D&A For EBITDA,0.26,0.38,0.26,0.26,0.21,0.26,0.21,0.21,2.18,0.19,2.18,2.18,0.32,0.32,0.32
41,EBIT,31.67,31.5,22.59,-20.38,86.77,8.97,25.69,-11,44.28,75.74,48.72,48.46,71.45,62.35,62.35
42,EBIT Margin,1.58%,1.77%,1.44%,-1.46%,5.44%,0.58%,2.09%,-0.93%,2.82%,4.44%,2.52%,3.02%,4.13%,3.56%,3.56%
43,Effective Tax Rate,4.75%,15.66%,22.41%,-,17.44%,3.83%,20.81%,-,11.50%,16.17%,16.52%,14.10%,16.85%,14.70%,14.70%
44,Revenue as Reported,2009,1778,1566,1397,1594,1558,1226,1183,1572,1707,1933,1605,1730,1753,1753
