,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,258.31,326.34,357.69,560.7,369.73,453.54,720.47,796.98,142.25,263.24,-,221.84,-,127.08,127.08
1,Trading Asset Securities,106.8,163.7,289.7,233.7,174,232,102,102,-,-,-,-,-,2,2
2,Cash & Short-Term Investments,365.11,490.04,647.39,794.4,543.73,685.54,822.47,898.98,142.25,263.24,221.84,221.84,-,129.08,129.08
3,Cash Growth,-32.85%,-28.52%,-21.29%,-11.63%,282.23%,160.43%,270.76%,305.24%,-,103.94%,71.86%,-,-,-,-
4,Accounts Receivable,1680,1514,1375,1094,1359,1242,983.83,950.88,1043,969.8,-,1114,-,1228,1228
5,Other Receivables,4.51,14.45,5.27,13.33,1.76,2.38,2.13,3.31,3.51,2.05,-,0.71,-,1.21,1.21
6,Receivables,1685,1529,1380,1107,1361,1244,985.96,954.19,1047,971.85,-,1115,-,1229,1229
7,Inventory,596.59,689.96,595.86,613.74,633.32,554.37,496.72,571.6,674.83,678.42,-,791.16,-,592.83,592.83
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,3.31,-,2.77,-,1.81,1.81
9,Other Current Assets,104.36,63.18,77.69,57.13,93.91,71.4,80.04,69.06,36.49,11.2,-,17.95,-,16.97,16.97
10,Total Current Assets,2751,2772,2701,2573,2632,2555,2385,2494,1900,1928,-,2149,-,1970,1970
11,"Property, Plant & Equipment",13.94,10.51,12.12,14.89,17.89,18.59,15.02,16.88,19.24,19.59,-,18.73,-,19.46,19.46
12,Long-Term Investments,43,43,43,43,43,43,43,5,5,5,-,5,-,5,5
13,Other Intangible Assets,0.37,0.41,0.42,0.48,0.54,0.61,0.67,0.73,0.4,0.45,-,0.54,-,0.57,0.57
14,Long-Term Deferred Tax Assets,27.65,25.95,22.65,21.42,14.43,22.91,19.87,17.89,14.31,13.43,-,12.18,-,13.04,13.04
