,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Aug '21 Aug 31, 2021","Feb '21 Feb 28, 2021","Aug '20 Aug 31, 2020","Feb '20 Feb 29, 2020"
0,Market Capitalization,170,180,220,293,237,197,260,340,567,887,-
1,Market Cap Growth,-38.64%,-38.64%,-7.04%,49.15%,-8.97%,-42.16%,-54.12%,-61.65%,-,-,-
2,Enterprise Value,1124,1050,921,1117,923,1087,935,1078,1080,1723,-
3,Last Close Price,0.26,0.27,0.33,0.44,0.27,0.22,0.30,0.39,0.65,1.01,-
4,PE Ratio,7.74,-,4.48,4.71,3.44,3.08,3.63,5.43,10.78,18.50,-
5,PS Ratio,0.48,0.51,0.69,0.98,0.81,0.72,0.91,1.44,2.87,5.02,-
6,PB Ratio,0.17,0.18,0.21,0.30,0.22,0.19,0.24,0.33,0.57,0.98,-
7,P/TBV Ratio,0.18,0.18,0.22,0.30,0.22,0.19,0.24,0.33,0.58,0.98,-
8,P/FCF Ratio,7.15,7.57,-,3.12,-,6.06,-,-9.70,-,-6.40,-
9,P/OCF Ratio,0.90,0.90,-,1.24,1.27,1.31,-,1.64,5.38,24.60,-
10,EV/Sales Ratio,3.16,2.96,2.87,3.75,3.15,4.00,3.28,4.56,5.47,9.76,-
11,EV/EBITDA Ratio,7.61,7.28,7.74,9.43,7.23,9.89,7.16,8.69,9.62,15.36,-
12,EV/EBIT Ratio,13.58,12.69,14.47,16.40,11.51,16.17,11.32,13.20,13.33,20.63,-
13,EV/FCF Ratio,47.29,44.20,-,11.88,-,33.46,-,-30.76,-,-12.43,-
14,Debt / Equity Ratio,1.31,1.31,1.20,1.02,0.97,0.94,0.99,1.03,1.04,1.03,1.57
15,Debt / FCF Ratio,56.41,56.41,-,10.65,-,30.01,-,-30.16,-,-6.70,-
16,Return on Capital Employed (ROCE),4.42%,4.42%,3.73%,4.26%,4.32%,3.82%,4.34%,4.38%,4.41%,4.60%,5.71%
17,Earnings Yield,12.91%,12.20%,22.33%,21.22%,29.05%,32.45%,27.55%,18.42%,9.27%,5.41%,-
18,FCF Yield,13.98%,13.20%,32.32%,32.05%,27.40%,16.51%,-22.90%,-10.30%,-19.78%,-15.63%,-
19,Buyback Yield / Dilution,-,-,-,-,-,-,-27.29%,-33.33%,-,-,
20,Total Shareholder Return,-,-,-,-,-,-,-27.29%,-33.33%,-,-,
