,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Aug '21 Aug 31, 2021","Feb '21 Feb 28, 2021","Aug '20 Aug 31, 2020","Feb '20 Feb 29, 2020"
0,Revenue,152.14,170.76,123.64,152.13,106.51,131.76,98.2,97.94,66.95,89.15
1,Revenue Growth (YoY),23.05%,12.25%,16.09%,15.46%,8.46%,34.52%,46.67%,9.87%,8.99%,16.10%
2,Cost of Revenue,98.15,105.88,91.79,78.62,57.32,79.85,47.95,49.23,31.4,39.66
3,Gross Profit,53.99,64.88,31.85,73.51,49.19,51.91,50.25,48.71,35.55,49.49
4,"Selling, General & Admin",22.32,21.29,17,25.32,26.5,15.59,19.83,11.31,5.34,5.9
5,Operating Expenses,22.32,21.29,17,25.32,26.5,15.59,19.83,11.31,5.34,5.9
6,Operating Income,31.67,43.59,14.85,48.18,22.69,36.31,30.42,37.4,30.22,43.59
7,Interest Expense,-42.68,-19.55,-0.26,-6.67,-2.7,-4.29,-6.62,-6.75,-3.23,-
8,Interest & Investment Income,0.89,0.45,0.13,0.13,0.56,0.02,0.12,0.11,0.05,0.14
9,Earnings From Equity Investments,-0,-0.01,-0.12,-,-,-,-,-,-,-
10,Currency Exchange Gain (Loss),-0.54,-,-0.94,-,-1.85,-,-3.29,-,-0.24,-
11,Other Non Operating Income (Expenses),2.17,3.31,2.85,-0.57,1.14,4.13,0.86,-0.23,0.3,-0.13
12,EBT Excluding Unusual Items,-8.5,27.79,16.52,41.07,19.84,36.18,21.48,30.53,27.1,43.6
13,Gain (Loss) on Sale of Investments,-,-,-,-,-0.17,0.17,-,-,-,-
14,Gain (Loss) on Sale of Assets,-,0.78,-,-,-,-,-,-,-,-
15,Other Unusual Items,-,-,-,-,-,-,-,-,-13.78,-13.09
16,Pretax Income,-8.5,28.57,16.52,41.07,19.67,36.35,21.48,30.53,13.33,30.51
17,Income Tax Expense,0.12,-,-,-,-,-,-,-,-,-
18,Earnings From Continuing Operations,-8.62,28.57,16.52,41.07,19.67,36.35,21.48,30.53,13.33,30.51
19,Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-1.48
20,Net Income to Company,-8.62,28.57,16.52,41.07,19.67,36.35,21.48,30.53,13.33,29.03
21,Minority Interest in Earnings,-,0.01,0.02,-,-,-,-,-,-,-
22,Net Income,-8.62,28.57,16.54,41.07,19.67,36.35,21.48,30.53,13.33,29.03
23,Net Income to Common,-8.62,28.57,16.54,41.07,19.67,36.35,21.48,30.53,13.33,29.03
24,Net Income Growth,-,-30.42%,-15.94%,12.96%,-8.43%,19.08%,61.21%,5.16%,-53.75%,-29.87%
25,Shares Outstanding (Basic),667,667,667,667,667,667,667,667,524,500
26,Shares Outstanding (Diluted),667,667,667,667,667,667,667,667,524,500
27,Shares Change (YoY),-,-,-,-,-,-,27.29%,33.33%,-,-
28,EPS (Basic),-0.01,0.04,0.02,0.06,0.03,0.05,0.03,0.05,0.03,0.06
29,EPS (Diluted),-0.01,0.04,0.02,0.06,0.03,0.05,0.03,0.05,0.03,0.06
30,EPS Growth,-,-30.42%,-15.94%,12.97%,-8.38%,19.08%,26.76%,-21.13%,-,-
31,Free Cash Flow,130.31,-108.71,174.02,-87.02,144.31,-115.8,67.73,-96.83,3.32,-125.78
32,Free Cash Flow Per Share,0.20,-0.16,0.26,-0.13,0.22,-0.17,0.10,-0.15,0.01,-0.25
33,Operating Margin,20.82%,25.53%,12.01%,31.67%,21.31%,27.56%,30.97%,38.19%,45.13%,48.90%
34,Profit Margin,-5.66%,16.73%,13.37%,27.00%,18.47%,27.59%,21.88%,31.17%,19.90%,32.57%
35,Free Cash Flow Margin,85.65%,-63.66%,140.75%,-57.20%,135.49%,-87.89%,68.97%,-98.86%,4.95%,-141.09%
36,EBITDA,61.45,69.64,39.72,69.98,42.84,53.6,51.83,51.15,42.55,56.58
37,D&A For EBITDA,29.78,26.05,24.87,21.8,20.15,17.28,21.41,13.75,12.33,12.99
38,EBIT,31.67,43.59,14.85,48.18,22.69,36.31,30.42,37.4,30.22,43.59
