,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,7475,8339,7553,8692,9674,9281,11838,12270,13842,12360,12927,15079,17631,16394,18160,16574,11973,8979,5760,5502,6256,Upgrade
1,Market Cap Growth,-10.16%,-10.16%,-36.20%,-29.16%,-30.11%,-24.91%,-8.42%,-18.63%,-21.49%,-24.61%,-28.81%,-9.02%,47.26%,82.59%,215.27%,201.23%,91.39%,30.49%,-38.19%,-29.57%,16.19%,Upgrade
2,Enterprise Value,6878,7437,6629,7769,8751,8377,10622,11425,12998,11871,12794,14932,17484,15640,17331,15359,10758,7988,5116,4978,5311,Upgrade
3,Last Close Price,5.71,6.24,5.45,6.27,6.86,6.58,8.45,8.51,9.61,8.58,8.75,10.20,11.93,11.09,12.06,11.01,7.95,5.99,3.80,3.63,4.13,Upgrade
4,PE Ratio,14.28,17.65,14.63,17.05,-,12.92,15.60,14.31,15.58,13.59,15.20,16.54,20.87,20.58,24.74,25.12,22.57,17.98,13.18,16.21,17.81,Upgrade
5,Forward PE,10.68,11.53,10.12,9.53,11.17,10.57,11.54,11.71,13.48,11.51,12.68,14.62,18.24,17.15,22.72,24.91,22.42,18.06,17.67,12.72,15.58,Upgrade
6,PS Ratio,0.40,0.58,0.61,0.77,-,0.64,0.73,0.66,0.63,0.48,0.47,0.57,0.71,0.79,1.04,1.01,0.85,0.70,0.47,0.53,0.61,Upgrade
7,PB Ratio,1.23,1.35,1.26,1.42,-,-,2.00,1.98,2.30,2.10,2.28,2.66,3.25,3.17,3.48,3.39,2.55,1.98,1.31,1.29,1.50,Upgrade
8,P/TBV Ratio,1.84,1.84,1.73,1.94,-,-,3.16,3.04,3.63,3.39,3.84,4.46,5.62,5.50,5.18,5.15,3.95,3.10,2.04,2.05,2.39,Upgrade
9,P/FCF Ratio,-,-49.38,-,-,-,11.81,-,8.74,9.73,9.67,14.19,33.08,104.31,-120.46,-,-,-,10.34,8.50,23.63,25.75,Upgrade
10,P/OCF Ratio,-,-58.77,235.99,-,-,11.23,11.51,8.57,9.52,9.21,13.42,28.57,68.85,-187.39,-,-,-,9.91,8.05,20.40,22.20,Upgrade
11,PEG Ratio,1.06,1.06,0.93,1.68,1.92,1.82,0.82,0.46,0.55,0.47,0.36,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,Upgrade
12,EV/Sales Ratio,0.37,0.52,0.53,0.69,-,0.58,0.65,0.61,0.59,0.46,0.47,0.56,0.71,0.75,0.99,0.94,0.76,0.62,0.42,0.48,0.52,Upgrade
13,EV/EBITDA Ratio,8.99,10.55,9.64,12.31,-,9.06,10.58,10.14,11.41,9.47,10.66,10.90,13.96,13.61,16.10,16.28,13.74,10.71,8.06,9.88,10.18,Upgrade
14,EV/EBIT Ratio,10.54,11.39,10.52,13.63,-,10.04,11.58,11.03,12.36,10.16,11.42,11.51,14.73,14.34,17.02,17.34,14.82,11.59,8.89,11.20,11.55,Upgrade
15,EV/FCF Ratio,-22.02,-44.04,-,-,-,10.66,-,8.14,9.14,9.28,14.04,32.75,103.43,-114.92,-,-,-,9.20,7.55,21.37,21.87,Upgrade
16,Debt / Equity Ratio,0.12,0.12,0.12,0.10,-,-,0.16,0.20,0.23,0.23,0.25,0.24,0.26,0.21,0.14,0.09,0.07,0.11,0.11,0.17,0.13,Upgrade
17,Debt / EBITDA Ratio,0.93,0.65,0.86,0.65,-,-,1.50,0.88,1.43,1.03,1.25,0.93,1.04,0.98,0.44,0.42,0.45,0.58,0.42,1.98,0.93,Upgrade
18,Debt / FCF Ratio,-,-4.21,-,-,-,-,-,0.89,0.97,1.08,1.58,3.00,8.42,-8.12,-,-,-,0.56,0.72,3.10,2.31,Upgrade
19,Asset Turnover,2.24,1.93,-,-,-,1.54,1.22,1.67,2.13,2.34,2.42,3.27,3.03,2.61,2.37,2.32,1.85,2.52,1.34,2.02,Upgrade,
20,Inventory Turnover,-,283.94,258.91,-,-,-,363.57,401.77,1972.95,4002.14,1616.37,893.53,754.27,427.43,524.04,1637.50,1382.26,1149.86,363.54,115.79,80.24,Upgrade
21,Quick Ratio,1.72,1.72,1.73,2.05,-,-,1.91,2.08,1.89,2.29,1.90,2.01,1.82,2.06,1.88,2.05,2.01,1.88,1.86,1.93,1.95,Upgrade
22,Current Ratio,1.86,1.86,1.83,2.14,-,-,2.10,2.21,2.00,2.39,2.03,2.13,1.93,2.16,1.96,2.11,2.07,1.93,1.91,2.00,2.02,Upgrade
23,Return on Equity (ROE),11.56%,9.35%,-,-,-,9.49%,14.84%,11.20%,17.84%,16.65%,19.09%,15.90%,17.08%,24.75%,16.36%,12.50%,12.82%,20.83%,6.09%,10.50%,Upgrade,
24,Return on Assets (ROA),6.15%,4.50%,-,-,-,3.08%,8.59%,3.87%,7.62%,5.61%,8.35%,6.84%,7.47%,12.62%,7.83%,5.87%,6.81%,10.20%,2.97%,5.69%,Upgrade,
25,Return on Capital (ROIC),9.39%,6.53%,-,-,-,4.03%,11.20%,5.23%,10.98%,8.30%,12.53%,10.31%,10.92%,18.24%,11.46%,8.64%,9.88%,14.18%,3.98%,7.61%,Upgrade,
26,Return on Capital Employed (ROCE),9.93%,9.94%,9.95%,8.82%,-,-,14.47%,15.49%,16.15%,16.25%,16.10%,18.58%,17.51%,17.15%,18.31%,16.94%,14.26%,14.40%,12.37%,9.84%,10.36%,Upgrade
27,Earnings Yield,7.02%,5.66%,6.83%,5.87%,-,7.74%,6.41%,6.99%,6.42%,7.36%,6.58%,6.04%,4.79%,4.86%,4.04%,3.98%,4.43%,5.56%,7.59%,6.17%,5.62%,Upgrade
