,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,5817,4717,3883,-,3839,3612,2949,4134,5523,6116,6295,8061,6788,5328,4486,4280,3327,4311,2176,3026,Upgrade
1,Other Revenue,-,-,-,-,-,-,-,2.37,-,-,-,4.9,-,-,-,-,-,-,-,-,Upgrade
2,Revenue,5817,4717,3883,-,3839,3612,2949,4136,5523,6116,6295,8066,6788,5328,4486,4280,3327,4311,2176,3026,Upgrade
3,Revenue Growth (YoY),51.54%,30.61%,31.67%,-,-30.49%,-40.95%,-53.16%,-48.72%,-18.64%,14.79%,40.33%,88.45%,104.01%,23.59%,106.13%,41.44%,21.75%,78.27%,4.87%,16.86%,Upgrade
4,Cost of Revenue,5258,4231,3360,-,3301,3175,2328,3668,4907,5522,5626,7369,6158,4684,3984,3816,2929,3785,1915,2672,Upgrade
5,Gross Profit,558.9,486.18,523.13,-,537.2,436.96,620.92,467.58,615.44,594.38,669.44,696.7,630.1,644.65,501.87,463.48,398.47,526.06,261.43,354.38,Upgrade
6,"Selling, General & Admin",285.84,324.02,299.21,-,298.58,317.03,290.49,295.46,309.39,350.09,316.26,388.25,355,229.03,262.19,270.67,202.74,248.45,183,211.29,Upgrade
7,Research & Development,5.92,4.26,2.54,-,6.84,7.86,4.08,8.59,3.56,5.5,5.54,19.45,11.24,3.47,3.65,6.5,3.15,3.36,5.27,7.31,Upgrade
8,Other Operating Expenses,3.1,2.28,-0.14,-,-1.2,-1.99,-6.3,12.55,-12.48,0.46,-0.65,14.65,-2.89,-3.16,-0.28,6.15,-1.62,-5.88,-0.4,5.37,Upgrade
