,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,1414,1726,1653,-,-,2071,2647,2575,2475,2224,1793,1666,1481,1679,1372,1508,1787,1549,1442,1149,Upgrade
1,Cash & Short-Term Investments,1414,1726,1653,-,-,2071,2647,2575,2475,2224,1793,1666,1481,1679,1372,1508,1787,1549,1442,1149,Upgrade
2,Cash Growth,-,-16.64%,-37.55%,-,-,-6.90%,47.63%,54.57%,67.15%,32.50%,30.67%,10.48%,-17.13%,8.36%,-4.83%,31.23%,54.68%,32.87%,23.38%,-7.60%,Upgrade
3,Accounts Receivable,4630,3928,3154,-,-,2888,2974,3169,3735,4332,4505,4834,4231,3812,3251,3108,2707,2754,2411,2518,Upgrade
4,Other Receivables,858.28,1023,1103,-,-,467.6,396.44,417.22,416.11,403.79,370.37,351.18,188.98,367.66,329.37,221.9,169.89,231.11,182.82,182.7,Upgrade
5,Receivables,5488,4951,4257,-,-,3356,3371,3587,4151,4736,4875,5185,4420,4180,3580,3330,2877,2985,2594,2700,Upgrade
6,Inventory,72.6,75.55,55.18,-,-,34.06,35.8,10.56,4.32,5.49,21.84,28.53,49.63,65.63,5.87,13.59,8.5,11.88,71.41,60.88,Upgrade
7,Prepaid Expenses,-,4,-,-,-,6.73,-,5.79,-,8.85,-,4.07,-,9.81,-,7.87,-,6.1,-,8.29,Upgrade
8,Other Current Assets,470.81,312.63,224.55,-,-,490.62,344.7,346.13,282.17,448.22,375.18,368.95,243.35,179.17,143.4,134.44,104.84,114.17,87.43,53.01,Upgrade
9,Total Current Assets,7446,7070,6190,-,-,5958,6398,6524,6913,7422,7065,7253,6193,6113,5102,4994,4777,4666,4195,3972,Upgrade
10,"Property, Plant & Equipment",704.32,716,726.48,-,-,763.45,742.89,758.03,717.22,745.24,777.12,801.39,666.37,649.14,628.58,628.35,628.79,619.17,626.81,634.8,Upgrade
11,Long-Term Investments,750.2,742.33,752.49,-,-,341.24,312.07,340.08,306.81,308.38,295.64,288.35,263.31,256.05,251.71,198.57,195.05,197.33,190.81,188.35,Upgrade
12,Goodwill,1374,1374,1374,-,-,1729,1729,1729,1729,1729,1729,1729,1779,1374,1374,1374,1381,1326,1326,1326,Upgrade
13,Other Intangible Assets,159.95,162.39,164.47,-,-,261.58,266.26,270.67,263.16,266.98,272.6,274.61,175.94,175.84,177.82,179.77,169.18,171.69,172.98,174.84,Upgrade
14,Long-Term Accounts Receivable,4.18,3.01,4.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
