,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,7170,5389,52931,10765,41390,21872,22989,26599,11825,64714,66548,3784,102040,25948,5624,3392,4596,18739,40100,49918,Upgrade
1,Cash & Short-Term Investments,7170,5389,52931,10765,41390,21872,22989,26599,11825,64714,66548,3784,102040,25948,5624,3392,4596,18739,40100,49918,Upgrade
2,Cash Growth,-82.68%,-75.36%,130.25%,-59.53%,250.01%,-66.20%,-65.46%,602.90%,-88.41%,149.40%,1083.22%,11.55%,2120.35%,38.47%,-85.97%,-93.20%,-88.78%,58.37%,25.61%,60.27%,Upgrade
3,Accounts Receivable,706000,702307,686026,721147,774753,821131,877902,841794,782700,731052,463729,462846,366222,375697,410147,389264,398049,396087,400574,337342,Upgrade
4,Other Receivables,74.37,68.03,81.12,456.83,501.72,98.73,100.25,108.88,572.39,104.51,376.91,74.7,76.19,209.5,150.75,89.11,118.13,197.75,295.06,612.18,Upgrade
5,Receivables,706075,702375,686107,721603,775254,821230,878002,841902,783272,731157,464106,462921,366298,375906,410298,389353,398168,396285,400869,337954,Upgrade
6,Inventory,20631,29239,34361,36896,16878,61416,70452,180079,378961,346916,153929,161393,198082,122883,185856,210971,240972,285704,268697,298136,Upgrade
7,Prepaid Expenses,107.51,29.15,298.18,458.38,624.96,363.49,333.34,559.51,398,197.11,96.23,707.37,840.24,684.01,702.79,1111,517.46,325.58,585.94,297.81,Upgrade
8,Other Current Assets,5673,5422,14800,9472,6344,23453,13473,50924,53575,58565,16615,52359,29755,22356,22767,26499,27811,33492,29313,30990,Upgrade
