,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,64.47,90.48,126.4,84.46,61.56,140,121.92,199.86,77.42,139.99,73.91,420.04,135,196.51,64.6,327.03,97.47,152.32,33.55
1,Other Revenue,-,-,-,0.03,-0.02,0.02,-,0,-0,0,-,0.02,-,-,-,0,-0,0,-
2,Revenue,64.47,90.48,126.4,84.49,61.55,140.01,121.92,199.87,77.41,139.99,73.91,420.06,135,196.51,64.6,327.03,97.47,152.32,33.55
3,Revenue Growth (YoY),4.74%,-35.38%,3.68%,-57.73%,-20.49%,0.02%,64.95%,-52.42%,-42.66%,-28.76%,14.41%,28.45%,38.51%,29.01%,92.54%,-,-,-,-
4,Cost of Revenue,28.38,21.66,71.8,59.87,24.7,75.59,39.38,65.36,22.23,50.45,24.22,174.16,55.42,79.92,30.87,137.89,34.94,64.15,7.65
5,Gross Profit,36.09,68.82,54.6,24.62,36.85,64.43,82.53,134.51,55.18,89.54,49.69,245.91,79.59,116.59,33.73,189.14,62.53,88.18,25.9
6,"Selling, General & Admin",55.42,58.11,53.7,85.29,56.96,72.69,60.77,52.69,72.59,71.41,53.13,64.16,54.5,53.34,44.24,72.86,37.96,40.43,31.04
7,Research & Development,16.33,18.8,18.77,41.27,26.85,27.78,25.54,40.65,24.85,26.17,22.72,49.67,18.82,18.7,13.3,29.38,11.53,15.69,14.83
8,Other Operating Expenses,-1.02,0.7,-0.82,1.23,-1.18,-1.48,-7.06,2.22,-5.06,-3.91,-6.61,0.81,-3.07,-3.41,-4.78,-4.48,-3.72,-3.35,-3.45
9,Operating Expenses,70.57,85.57,69.83,133.56,82.45,100.08,78.18,107.03,95.37,95.98,71.53,131.29,72.81,73.13,51.86,106.17,40.5,54.64,39.65
10,Operating Income,-34.48,-16.75,-15.23,-108.94,-45.6,-35.65,4.35,27.48,-40.19,-6.44,-21.84,114.62,6.78,43.46,-18.14,82.97,22.03,33.54,-13.75
11,Interest Expense,-2.55,-0.68,-0.11,-0.55,-0.95,-0.16,-0.2,-0.31,-0.21,-0.14,-0.15,-0.37,-0.37,-0.01,-0.03,-0.05,-0.06,-0.06,-0.06
12,Interest & Investment Income,0.67,1.51,2.07,1.76,2.3,3.35,4.31,4.95,4.96,6.16,3.54,5.34,5.04,5.01,1.87,1.29,1.2,1.36,1.48
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,0.55,0.23,0.63,-1.4,0.47,-0.02,0.67,-0.71
14,Other Non Operating Income (Expenses),-0.83,0.99,-0.36,-0.05,-0.23,0.08,-0.03,-0.35,1.07,-1.34,-0.02,-1.13,-1.37,0.47,0.82,6.34,-6.78,4.93,-0.06
15,EBT Excluding Unusual Items,-37.19,-14.94,-13.62,-107.79,-44.49,-32.38,8.44,31.77,-34.38,-1.76,-18.48,119,10.3,49.55,-16.87,91.02,16.38,40.43,-13.09
16,Gain (Loss) on Sale of Investments,-0.47,-0.42,-0.89,0.13,-0.15,0.44,-0.48,0.19,0.33,0.12,-0.64,-,-,-,-,-,-,-,-
