,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4947,4002,3392,3278,3636,4058,6047,6216,6572,4477,3784,4620,3903,3779,4301,4304,4716,-,-,-
1,Market Cap Growth,-1.40%,-1.40%,-43.90%,-47.27%,-44.68%,-9.35%,59.81%,34.55%,68.41%,18.47%,-12.02%,7.34%,-17.24%,-,-,-,-,-,-,-
2,Enterprise Value,4713,3619,2900,2874,3232,3553,5316,5266,5622,3462,2716,3558,2840,2698,3233,3804,4216,-,-,-
3,Last Close Price,26.26,21.24,17.79,16.73,19.71,22.00,32.45,33.35,35.26,24.02,20.30,24.71,20.87,20.77,23.64,23.49,25.73,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-626.32,-194.90,-,-,-,26.72,34.54,39.77,-,43.94,-,-,-
5,Forward PE,262.60,45.68,16.47,12.57,15.22,17.07,24.49,28.08,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,13.75,10.94,9.35,7.95,8.91,7.75,11.21,11.53,13.38,6.29,4.92,5.60,4.78,5.23,6.27,6.71,7.73,-,-,-
7,PB Ratio,4.06,3.15,2.60,2.49,2.95,3.11,4.43,4.45,4.72,3.28,2.75,3.29,2.76,2.95,3.41,3.45,3.72,-,-,-
8,P/TBV Ratio,3.47,3.47,2.83,2.69,3.20,3.30,4.65,4.67,4.95,3.43,2.87,3.43,2.87,3.00,3.47,3.50,3.78,-,-,-
9,P/FCF Ratio,-,-,-,-,-10.28,-,-,-,-73.42,-,-,-,89.70,-,-,-,45.32,-,-,-
10,P/OCF Ratio,-,-,-,-,-31.18,-,-,-,2037.72,-,-,-,30.97,-,31.44,-,42.66,-,-,-
11,EV/Sales Ratio,12.88,9.89,7.99,6.97,7.92,6.79,9.86,9.77,11.44,4.87,3.53,4.31,3.48,3.73,4.71,5.93,6.91,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,-,-,-481.82,-149.91,-,-,-,19.05,23.00,24.41,-,33.28,-,-,-
