,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,313.49,458.23,568.57,697.51,456.58,580.08,798.21,1095,1002,1055,1106,1233,1097,1113,1097,1162,-,514.04,-
1,Short-Term Investments,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,313.49,458.23,568.57,702.51,486.58,580.08,798.21,1095,1002,1055,1106,1233,1097,1113,1097,1162,-,514.04,602.16
4,Cash Growth,-35.57%,-21.01%,-28.77%,-35.84%,-51.45%,-45.00%,-27.84%,-11.18%,-8.61%,-5.21%,0.85%,6.08%,-,116.46%,82.15%,-,-,-,-
5,Accounts Receivable,232.62,247.94,233.36,222.24,308.61,348.45,327.25,294.27,382.84,392.26,377.42,370.78,324.17,330.55,282.62,312.76,-,298.61,-
6,Other Receivables,12.77,40.4,12.56,22.4,17.52,17.38,17.12,17.98,21.52,21.43,19.68,17.95,24.62,20.14,21.08,17.91,-,18.44,-
7,Receivables,245.39,288.34,245.93,244.64,326.12,365.84,344.37,312.26,404.36,413.69,397.1,388.73,348.79,350.68,303.7,330.67,-,317.05,-
8,Inventory,246.34,188.6,180.27,194.02,197.66,157.18,154.33,150.26,146.8,118.45,130.53,107.63,157.02,145.35,152.64,144.6,-,117.13,-
9,Prepaid Expenses,-,0.39,-,2.67,-,-,-,1.04,-,-,-,-,-,-,-,-,-,-,-
10,Other Current Assets,81.76,42.32,62.91,39.79,64.9,64.55,38.65,14.64,23.33,21.78,22.6,14.9,23.89,15.75,13.18,8.27,-,11.04,-
11,Total Current Assets,886.99,977.88,1058,1184,1075,1168,1336,1573,1577,1609,1656,1744,1626,1624,1566,1646,-,959.26,-
12,"Property, Plant & Equipment",408.28,370.87,349.86,343.71,127.52,110.36,78.64,59.84,39.69,28.48,26.29,26.71,22.15,22.31,23.21,7.63,-,7.11,-
13,Long-Term Investments,197.55,198.02,198.04,200.34,24.93,25.16,24.71,25.49,24.79,24.43,24.43,24.95,24.12,23.9,23.27,24.67,-,24.35,-
14,Other Intangible Assets,67.53,60.39,53.68,49.41,30.26,28.69,31.45,28.66,27.93,27.85,27.97,28.24,3.14,3.24,2.91,3,-,2.77,-
15,Long-Term Accounts Receivable,-,5.9,-,6.12,-,-,-,4.99,-,-,-,-,-,-,-,-,-,-,-
16,Long-Term Deferred Tax Assets,47.25,42.53,40.21,38.98,12.25,13.11,14.32,13.07,11.4,12.21,12.54,11.12,10.63,9.62,14.22,14.62,-,13.91,-
17,Long-Term Deferred Charges,4.9,5.18,5.52,5.77,17.45,11.08,4.01,2.39,2.8,3.88,3.13,4.06,23.75,17.37,9.16,6.15,-,7.6,-
18,Other Long-Term Assets,67.77,60.62,55.05,43.33,400.74,401.69,300.94,124.56,77.86,77.86,79.92,48.1,-,-,-,-,-,-,-
19,Total Assets,1680,1721,1760,1871,1688,1758,1790,1832,1761,1783,1831,1887,1710,1701,1639,1702,-,1015,-
20,Accounts Payable,187.09,168.95,165.8,162.39,156.39,162.59,151.94,166.99,142.63,148.08,162.08,173.76,140.91,173.69,179.26,223.97,-,134.04,-
21,Accrued Expenses,23.99,29.15,26.74,35.49,26.38,30.98,24.28,42.58,28.02,35.45,26.58,53.22,27.09,94.65,25.23,56.11,-,35.85,-
22,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,7.2,-,8.82,-,2.6,2.6,-,2.4,-
23,Current Portion of Leases,9.41,9.74,12.35,12.39,10.48,10.52,7.99,9.67,7.51,6.81,-,11.21,-,10.27,-,-,-,-,-
24,Current Income Taxes Payable,5.42,1.17,4.83,0.5,4.61,0.91,5.46,1.86,5.59,1.75,7.29,13.3,6.61,3.45,1.31,6.85,-,4.67,-
25,Current Unearned Revenue,133.8,129.47,155.82,183.91,119.96,98.98,115.82,128.64,137.29,122.92,136.92,134.1,171.51,144.49,165.19,136.64,-,112.89,-
26,Other Current Liabilities,7.92,34.28,33.46,217.69,37.03,59.93,60.5,61.48,63.92,88.28,82.71,83.57,68.31,10.9,6.02,8.2,-,7.52,-
27,Total Current Liabilities,367.63,372.76,399,612.37,354.85,363.92,365.98,411.21,384.96,403.29,422.77,469.15,423.26,437.47,379.61,434.38,-,297.36,-
28,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.6,-
29,Long-Term Leases,18.13,19.39,20.59,25.04,27.4,26.58,24.94,27.06,11.62,2.99,3.5,5.12,3.51,2.54,10.46,-,-,-,-
30,Long-Term Unearned Revenue,3.04,2.79,2.57,1.13,0.92,1.19,0.99,0.66,0.7,0.74,0.89,0.89,0.16,0.17,0.22,0.93,-,0.75,-
31,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,1.42,-,-,-,-,-,-,-,-,-,-,-,-
32,Other Long-Term Liabilities,20.78,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Total Liabilities,409.58,414.95,442.16,638.55,383.16,391.68,393.33,438.94,397.28,407.01,427.16,475.16,426.92,440.17,390.3,435.3,-,300.71,-
34,Common Stock,193.62,195.92,195.92,184.48,184.48,186.35,186.35,186.35,186.35,186.4,186.4,186.4,185.4,185.4,180.4,180.4,-,135.3,-
35,Additional Paid-In Capital,956.77,982.39,982.39,817.19,817.2,855.58,853.62,852.09,861.09,856.51,848.59,838.51,818.24,809.82,751.75,751.75,-,338.67,-
36,Retained Earnings,141.72,181.82,196.69,213.01,286.93,337.99,373.12,370.17,339.32,378.08,414.71,435.51,319.5,308.97,301.05,321.64,-,233.05,-
37,Treasury Stock,-72.72,-100.64,-100.64,-27.92,-28.31,-51.38,-51.38,-51.38,-55.04,-74,-74,-74,-61.67,-61.67,-,-,-,-,-
38,Comprehensive Income & Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.77,-,-1.65,-
39,Total Common Equity,1219,1259,1274,1187,1260,1329,1362,1357,1332,1347,1376,1386,1261,1243,1233,1252,-,705.37,686.7
40,Minority Interest,51.3,46.96,43.52,45.99,44.96,37.51,34.57,36.03,32.23,29.34,27.82,25.75,21.83,18.19,15.66,14.47,-,8.92,-
41,Shareholders' Equity,1271,1306,1318,1233,1305,1366,1396,1393,1364,1376,1404,1412,1283,1261,1249,1266,-,714.29,693.07
42,Total Liabilities & Equity,1680,1721,1760,1871,1688,1758,1790,1832,1761,1783,1831,1887,1710,1701,1639,1702,-,1015,-
43,Total Debt,27.54,29.13,32.94,37.43,37.88,37.1,32.92,36.73,19.13,9.8,10.7,16.33,12.33,12.81,13.06,2.6,-,5,5
44,Net Cash (Debt),285.95,429.09,535.64,665.08,448.71,542.99,765.28,1058,983.15,1045,1095,1217,1084,1100,1084,1160,-,509.04,597.16
45,Net Cash Growth,-36.27%,-20.98%,-30.01%,-37.15%,-54.36%,-48.04%,-30.14%,-13.01%,-9.34%,-5.00%,1.08%,4.91%,-,116.07%,81.49%,-,-,-,-
46,Net Cash Per Share,1.52,2.31,2.63,3.53,2.42,2.61,5.12,6.14,5.79,5.38,6.32,6.38,6.19,6.46,5.86,8.05,-,3.96,4.30
47,Filing Date Shares Outstanding,188.4,190.7,190.7,184.48,184.48,186.35,186.35,186.35,169.8,194.4,186.4,186.4,185.4,170.16,180.4,180.4,131.8,128.54,138.97
48,Total Common Shares Outstanding,188.4,190.7,190.7,184.48,184.48,186.35,186.35,186.35,169.8,194.4,186.4,186.4,185.4,170.16,180.4,180.4,131.8,128.54,138.97
49,Working Capital,519.37,605.11,658.68,571.27,720.42,803.73,969.56,1162,1192,1205,1234,1275,1203,1187,1187,1211,-,661.89,-
50,Book Value Per Share,6.47,6.60,6.68,6.43,6.83,7.13,7.31,7.28,7.84,7.19,7.38,7.44,6.80,7.30,6.84,6.94,-,5.27,5.08
51,Tangible Book Value,1152,1199,1221,1137,1230,1300,1330,1329,1304,1319,1348,1358,1258,1239,1230,1249,-,702.59,684.79
52,Tangible Book Value Per Share,6.11,6.29,6.40,6.17,6.67,6.98,7.14,7.13,7.68,7.04,7.23,7.29,6.79,7.28,6.82,6.92,-,5.25,5.06
53,Buildings,-,196.14,-,1.67,-,1.67,-,1.67,-,1.67,-,1.67,-,1.67,-,1.67,-,1.67,-
54,Machinery,-,38.53,-,36.03,-,31.27,-,26.3,-,23.08,-,18.4,-,16.45,-,15.43,-,14.02,-
55,Construction In Progress,-,124.98,-,284.82,-,50.95,-,6.91,-,2.33,-,0.12,-,-,-,-,-,-,-
