,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q1 2020,Q4 2019,Q1 2019,Q4 2018,Q4 2017,Q4 2016,Q4 2015,Q4 2014
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014"
0,Market Capitalization,87593,99241,92718,102502,104366,73149,100173,79206,81536,92252,79206,79206,73615
1,Market Cap Growth,-7.65%,35.67%,-7.44%,29.41%,28.00%,-20.71%,26.47%,0%,10.76%,-,-,-,-
2,Enterprise Value,3306,69503,99288,109072,110936,52518,89521,68555,70885,88704,75658,-,-
3,Last Close Price,18800.00,19763.94,18464.90,18518.42,18855.12,10667.84,13455.50,10639.23,10013.40,10304.67,8847.44,7210.67,6701.68
4,PE Ratio,9.51,-,15.40,29.44,22.00,1208.93,-,-12.80,-,-,-,310.23,10029.87
5,PS Ratio,0.77,0.41,0.36,0.71,0.61,1.57,2.47,1.78,4.32,5.80,9.66,16.32,29.46
6,PB Ratio,2.51,1.02,0.95,-,-,0.95,1.20,0.99,1.02,1.18,1.13,1.17,-
7,P/TBV Ratio,1.06,1.11,1.03,-,-,1.06,1.33,1.10,1.14,1.31,1.27,1.33,-
8,EV/Sales Ratio,0.02,0.28,0.39,0.75,0.65,1.13,-,1.54,3.76,5.58,9.23,-,-
9,EV/EBIT Ratio,0.19,-,14.16,36.53,27.09,-,-,-19.64,-,-,-,-,-
10,Debt / Equity Ratio,0.20,-,-,-,-,0.20,0.12,-,-,0.06,0.07,0.10,-
11,Asset Turnover,0.04,-,-,-,0.47,-,-,-,-,-,-,-,
12,Inventory Turnover,-,-,-,-,-,0.71,-,-,-,-,-,-,-
13,Quick Ratio,0.50,1.76,1.53,-,-,0.50,1.30,-,2.11,1.78,0.95,0.82,-
14,Current Ratio,1.99,2.12,1.69,-,-,1.99,2.82,-,4.28,3.76,2.01,2.48,-
15,Return on Equity (ROE),-1.33%,-,-,-,4.00%,-,6.69%,-,-,-,-,-,
16,Return on Assets (ROA),-3.70%,-,-,-,-0.47%,-,-,-,-,-,-,-,
17,Return on Capital (ROIC),-6.99%,-,-,-,-0.59%,-,4.14%,-,-,-,-,-,
18,Return on Capital Employed (ROCE),22.42%,-,7.19%,-,-,-,-,-,-,-,-,0.69%,-
19,Earnings Yield,14.65%,4.96%,6.52%,3.42%,4.54%,0.08%,-5.44%,-7.81%,-8.92%,-6.49%,-1.62%,0.32%,0.01%
20,FCF Yield,12.97%,-,-,-,-,-66.87%,-,-35.03%,-,-,-,-,-
21,Dividend Yield,7.98%,17.71%,-,10.80%,-,-,-,-,-,-,-,-,-
22,Payout Ratio,54.46%,-,-,-,-,871.93%,-,524.86%,-,-,-,-,-
23,Buyback Yield / Dilution,-18.51%,54.66%,26.67%,35.97%,-13.52%,-76.42%,-2.55%,-55.52%,-49.06%,-,-,-,-
24,Total Shareholder Return,-10.53%,72.37%,26.67%,46.77%,-13.52%,-76.42%,-2.55%,-55.52%,-49.06%,-,-,-,-
