,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q1 2020,Q4 2019,Q1 2019,Q4 2018,Q4 2017,Q4 2016,Q4 2015,Q4 2014
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014"
0,Revenue,1866,110562,2382,129708,13806,-590.46,27999,5445,7709,3347,2354,2499
1,Revenue Growth (YoY),-86.48%,-,-91.49%,2282.12%,79.10%,-,1089.49%,117.92%,-,-,-,-
2,Cost of Revenue,-5891,88897,-7067,104754,8940,-4278,21293,3982,2745,422.42,-3669,-1156
3,Gross Profit,7757,21665,9449,24953,4867,3687,6706,1463,4964,2924,6023,3655
4,"Selling, General & Admin",10480,19079,9241,20517,5085,5128,5388,4419,5292,4450,5944,3267
5,Operating Expenses,10480,19079,9241,20517,5085,5128,5388,4419,5292,4450,5944,3267
6,Operating Income,-2723,2586,207.92,4437,-218.35,-1441,1318,-2955,-328.37,-1525,78.48,387.87
7,Interest Expense,-,-150.92,-,-58.63,-97.6,-194.39,-155.11,-,-17.32,-63.53,-7.67,-137.87
8,Interest & Investment Income,3141,161.84,1159,303.2,1095,1257,417.06,887.46,339.57,3.71,175.13,355.88
9,Other Non Operating Income (Expenses),-13.12,-412,-371.42,-671.15,0,-330.41,-0.02,606.65,-5883,20.09,71.97,-342.71
10,Pretax Income,405.19,2185,995.23,4010,779.36,-708.47,1580,-1461,-5890,-1565,317.92,263.17
11,Income Tax Expense,729.31,436.94,901.77,607.39,-22.17,84.12,248.01,-181.22,-1185,-28.24,69.94,255.83
12,Net Income,-324.13,1748,93.47,3403,801.53,-792.58,1332,-1280,-4705,-1537,247.97,7.34
13,Preferred Dividends & Other Adjustments,-81.03,-,23.37,-,-,-,-,-,-,-,-,-
14,Net Income to Common,-243.09,1748,70.1,3403,801.53,-792.58,1332,-1280,-4705,-1537,247.97,7.34
15,Net Income Growth,-,-,-92.98%,-,-,-,436.97%,-,-,-,-,-
16,Shares Outstanding (Basic),5,4,5,6,10,6,7,5,6,5,5,4
17,Shares Outstanding (Diluted),5,4,5,6,10,6,7,5,6,5,5,4
18,Shares Change (YoY),-54.66%,-26.67%,-35.97%,13.52%,76.42%,2.55%,55.52%,49.06%,-,-,-,-
19,EPS (Basic),-52.18,424.00,15.05,548.00,78.00,-141.00,183.00,-234.00,-807.70,-280.38,53.00,2.00
20,EPS (Diluted),-52.18,424.00,15.05,548.00,78.00,-141.00,183.00,-234.00,-807.70,-280.38,53.00,2.00
21,EPS Growth,-,-,-91.78%,-,-,-,245.28%,-,-,-,-,-
22,Free Cash Flow,-,-,-,-,-21167,-,-27745,-,-,-,-,-
23,Free Cash Flow Per Share,-,-,-,-,-2059.89,-,-3813.10,-,-,-,-,-
24,Dividend Per Share,1500.000,-,2000.000,-,-,-,-,-,-,-,-,-
25,Gross Margin,415.68%,19.60%,396.66%,19.24%,35.25%,-,23.95%,26.87%,64.40%,87.38%,255.87%,146.28%
26,Operating Margin,-145.91%,2.34%,8.73%,3.42%,-1.58%,-,4.71%,-54.28%,-4.26%,-45.57%,3.33%,15.52%
27,Profit Margin,-13.03%,1.58%,2.94%,2.62%,5.81%,-,4.76%,-23.51%,-61.03%,-45.92%,10.53%,0.29%
28,Free Cash Flow Margin,-,-,-,-,-153.32%,-,-99.09%,-,-,-,-,-
29,EBIT,-2723,2586,207.92,4437,-218.35,-1441,1318,-2955,-328.37,-1525,78.48,387.87
30,EBIT Margin,-145.91%,2.34%,8.73%,3.42%,-1.58%,-,4.71%,-54.28%,-4.26%,-45.57%,3.33%,15.52%
31,Effective Tax Rate,179.99%,20.00%,90.61%,15.15%,-,-,15.70%,-,-,-,22.00%,97.21%
32,Revenue as Reported,1866,110562,2382,129708,13806,-590.46,27999,5445,7709,3347,2354,2499
