,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5778,5197,3755,3170,3280,4655,4759,6911,3737,2957,3148,3586,2984,4201,2516,2816,2384,-,-,-,-
1,Market Cap Growth,11.64%,11.64%,-21.09%,-54.13%,-12.22%,57.44%,51.15%,92.75%,25.23%,-29.62%,25.14%,27.33%,25.18%,-,-,-,-,-,-,-,-
2,Enterprise Value,5749,5168,3633,3090,3057,4527,4468,6673,3456,2672,2831,3267,2662,3879,2196,2438,2378,-,-,-,-
3,Last Close Price,44.67,40.18,28.95,24.34,25.18,35.74,36.53,53.06,28.56,22.60,24.06,27.40,22.65,31.89,19.10,21.37,17.97,-,-,-,-
4,PE Ratio,82.72,74.76,56.94,58.61,70.74,111.76,106.27,132.97,68.42,50.60,53.99,63.49,54.21,80.36,46.76,51.01,36.57,-,-,-,-
5,Forward PE,52.76,51.07,41.32,37.20,42.27,61.79,47.78,76.88,39.58,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,12.91,11.67,8.83,8.24,9.22,13.70,14.47,20.14,10.85,8.59,9.11,10.66,9.21,13.88,8.78,10.06,8.61,-,-,-,-
7,PB Ratio,5.94,5.41,3.91,3.39,3.54,5.10,5.28,7.75,4.22,3.36,3.64,4.23,3.52,5.02,3.05,3.49,2.90,-,-,-,-
8,P/TBV Ratio,6.16,6.16,4.45,3.87,4.05,5.33,5.51,8.11,4.36,3.48,3.77,4.39,3.65,5.21,3.17,3.62,3.01,-,-,-,-
9,P/FCF Ratio,-,-,-,-236.40,-,2013.65,-,-3258.99,-209.02,-,-,-,-2426.93,-139.14,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,55.45,50.71,-,69.38,93.22,120.17,92.40,53.38,40.78,39.98,31.85,55.66,52.19,64.64,50.70,-,-,-,-
11,EV/Sales Ratio,12.90,11.60,8.54,8.03,8.59,13.32,13.59,19.44,10.04,7.76,8.19,9.71,8.21,12.81,7.66,8.71,8.59,-,-,-,-
12,EV/EBITDA Ratio,49.75,41.71,31.35,31.57,39.96,63.79,65.30,93.28,44.81,33.76,36.72,44.46,37.97,60.25,33.76,35.58,30.24,-,-,-,-
13,EV/EBIT Ratio,77.48,69.65,54.89,62.49,83.01,138.96,142.66,183.51,80.14,56.75,60.30,69.55,56.99,86.92,44.88,45.80,36.05,-,-,-,-
14,EV/FCF Ratio,-,-,-,-230.40,-,1958.12,-,-3146.68,-193.29,-,-,-,-2164.96,-128.47,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.16,0.16,0.16,0.16,0.16,0.08,0.04,0.08,0.07,0.02,0.02,0.02,0.03,0.07,0.09,0.15,0.16,0.28,-,0.11,-
16,Debt / EBITDA Ratio,1.36,1.47,1.03,0.89,1.93,0.75,0.48,0.87,1.13,0.23,0.21,0.18,0.41,0.88,0.92,1.40,3.16,1.94,-,0.36,-
17,Debt / FCF Ratio,-,-,-,-11.16,-,30.12,-,-33.25,-3.51,-,-,-,-21.53,-1.98,-,-,-,-,-,-,-
18,Asset Turnover,-,0.38,0.38,0.33,0.35,0.30,0.34,0.30,0.32,0.37,0.36,0.31,0.33,0.34,0.30,0.27,-,-,-,-,
19,Inventory Turnover,-,-,3.27,3.53,3.57,3.61,3.13,3.75,3.40,3.15,3.57,3.74,3.94,4.49,4.38,4.85,3.77,-,-,-,-
20,Quick Ratio,-,-,1.56,1.76,1.84,3.25,2.98,3.12,3.05,3.79,3.34,3.75,3.84,4.15,5.36,5.40,5.67,1.95,-,3.05,-
21,Current Ratio,-,-,2.24,2.14,2.51,3.98,4.85,3.62,3.96,4.53,4.21,4.36,4.67,4.69,6.03,5.86,6.13,2.40,-,3.62,-
22,Return on Equity (ROE),6.02%,9.75%,9.30%,4.49%,4.55%,4.73%,6.21%,2.96%,6.23%,8.40%,7.79%,4.92%,6.49%,7.92%,7.39%,4.91%,-,-,-,-,
23,Return on Assets (ROA),-,5.48%,4.28%,1.99%,1.96%,2.60%,1.99%,1.18%,1.74%,3.98%,3.82%,2.20%,1.73%,3.98%,3.61%,2.01%,-,-,-,-,
24,Return on Capital (ROIC),3.66%,6.29%,4.86%,2.21%,2.17%,2.88%,2.20%,1.32%,1.98%,4.57%,4.36%,2.50%,1.93%,4.39%,3.96%,2.28%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,6.53%,5.05%,3.79%,3.43%,3.38%,4.00%,4.79%,5.25%,5.33%,5.44%,5.35%,5.05%,5.45%,5.84%,7.05%,14.40%,-,9.82%,-
26,Earnings Yield,1.20%,1.34%,1.76%,1.71%,1.41%,0.89%,0.94%,0.75%,1.46%,1.98%,1.85%,1.58%,1.84%,1.24%,2.14%,1.96%,2.73%,-,-,-,-
27,FCF Yield,-,-0.39%,-0.42%,-0.97%,0.05%,-0.23%,-0.03%,-0.48%,-0.40%,0.24%,0.25%,-0.04%,-0.72%,-2.94%,-3.97%,-4.72%,-,-,-,-,
28,Dividend Yield,0.41%,-,-,0.82%,-,0.28%,-,-,-,0.62%,-,-,-,0.39%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,53.84%,3.93%,3.08%,8.12%,2.77%,133.46%,2.14%,1.10%,0.67%,99.18%,5.77%,19.86%,3.72%,146.73%,17.43%,6.66%,3.34%,1.19%,1.52%
30,Buyback Yield / Dilution,1.10%,2.28%,7.76%,-10.86%,4.41%,3.11%,-4.90%,1.74%,-1.05%,-1.19%,-1.84%,4.05%,-36.34%,-34.43%,-29.66%,-36.12%,0.11%,-,-,-,-
31,Total Shareholder Return,1.51%,2.28%,7.76%,-10.04%,4.41%,3.39%,-4.90%,1.74%,-1.05%,-0.57%,-1.84%,4.05%,-36.34%,-34.03%,-29.66%,-36.12%,0.11%,-,-,-,-
