,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,113.66,120.57,117.4,93.89,93.05,79.86,88.88,77.83,82,94.2,89.97,77.88,83.34,84.67,77.9,56.51,67.42,78.04,74.82,48.83
1,Other Revenue,-,-0.23,0.23,-,0.3,-0.15,0.15,-,0.28,-0.15,0.15,-,0.33,-0.01,0.01,-,0.13,-0.07,0.07,-
2,Revenue,113.66,120.34,117.62,93.89,93.35,79.71,89.02,77.83,82.28,94.05,90.13,77.88,83.67,84.66,77.91,56.51,67.56,77.96,74.9,48.83
3,Revenue Growth (YoY),21.76%,50.97%,32.12%,20.64%,13.45%,-15.25%,-1.22%,-0.06%,-1.66%,11.09%,15.68%,37.81%,23.86%,8.59%,4.02%,15.72%,-,-,-,-
4,Cost of Revenue,-204.67,70.47,70.45,63.74,60.46,52.79,63.23,59.54,56.57,62.49,59.99,56.12,59.47,52.56,52.52,38.67,38.87,46.75,42.11,27.08
5,Gross Profit,318.33,49.87,47.17,30.14,32.89,26.92,25.8,18.29,25.72,31.56,30.14,21.76,24.2,32.1,25.38,17.84,28.68,31.21,32.79,21.76
6,"Selling, General & Admin",-34.14,11.6,11.54,11,10.03,8.93,8.56,6.36,7.56,7.15,7.56,5.86,6.43,7.56,6.6,6.34,4.52,4.53,3.31,5.47
7,Research & Development,-33.34,11.07,11.97,10.3,10.23,8.59,7.77,7.56,8.21,7.94,6.79,7.18,4.72,7.38,6.52,6.17,6.54,5.58,4.54,3.32
8,Other Operating Expenses,371.39,-1.57,2.25,-0.76,3.75,-1.88,0.76,0.08,3.19,-0.09,0.05,0.43,5.85,0.12,-3.19,-0.69,6.81,-0.21,-3.57,-2.09
9,Operating Expenses,301.98,22.16,26.14,21.03,24.56,15.95,17.39,13.42,18.64,15.54,14.98,12.92,17.28,16.06,10.47,11.09,17.45,10.89,5.15,7.22
10,Operating Income,16.35,27.71,21.03,9.12,8.33,10.97,8.41,4.87,7.08,16.01,15.17,8.84,6.93,16.04,14.91,6.75,11.24,20.32,27.64,14.54
11,Interest Expense,-5.73,-1.13,-1.09,-0.61,-0.37,-0.5,-0.51,-0.32,-0.16,-0.28,-0.35,-0.8,-1.4,-1.22,-1.11,-0.45,-0.19,-0.02,-,-
12,Interest & Investment Income,2.84,2.14,3.51,0.07,1.41,1.64,1.31,1.11,0.41,0.68,0.66,0.87,0.47,1.54,0.84,0.46,0.53,0.43,1.07,0.16
13,Currency Exchange Gain (Loss),-,-0.83,0.83,-,1,-3.68,3.68,-,1.94,-1.11,1.11,-,0.61,-0.79,0.79,-,-1.76,-0.53,0.53,-
14,Other Non Operating Income (Expenses),1.68,-3.52,-1.13,1.02,-2.66,2.5,0.93,-1,-3.56,3.4,0.07,-0.1,-0.59,0.43,-0.99,1.02,0.28,-0.38,-0.63,0.59
15,EBT Excluding Unusual Items,15.13,24.37,23.16,9.59,7.71,10.93,13.8,4.67,5.71,18.71,16.66,8.8,6.01,16,14.44,7.78,10.1,19.82,28.61,15.29
16,Gain (Loss) on Sale of Investments,-1.59,0.43,-0.3,1.46,0.97,0.76,1.36,1.6,0.72,1.53,1.62,2.17,2.55,1.48,2.03,0.29,0.13,0.16,0.24,-0.05
17,Gain (Loss) on Sale of Assets,-,0.08,-0.08,-,-,0.04,-0.04,-,-,0.08,-0.08,-,0.07,0.29,-0.09,-,-0.71,0,-0.02,-
18,Asset Writedown,1.4,-1.4,0.22,-0.22,0.32,-0.51,-0.14,0.14,0.35,-0.52,0.03,-0.03,-0.17,-0.05,0.03,-0.03,0.07,-0.07,0.02,-0.02
19,Other Unusual Items,-,-0.79,0.79,-,1.23,-0.01,0.01,-,5.1,-,-,-,6.7,-,-,-,7.28,-,-,-
20,Pretax Income,14.95,22.69,23.78,10.83,10.22,11.21,15,6.4,11.88,19.79,18.24,10.94,15.17,17.72,16.41,8.04,16.87,19.92,28.85,15.22
21,Income Tax Expense,0.5,-0.41,2.13,0.5,-0.09,0.61,1.21,-0.14,-1.71,1.8,1.74,0.58,1.7,1.56,1.35,0.45,1.88,2.36,3.81,1.92
22,Earnings From Continuing Operations,14.45,23.1,21.65,10.32,10.31,10.6,13.79,6.54,13.59,17.99,16.49,10.36,13.47,16.16,15.06,7.6,14.99,17.56,25.04,13.31
23,Minority Interest in Earnings,-0.41,-0.44,-0.08,0.93,0.15,0.19,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,14.04,22.66,21.57,11.25,10.47,10.8,13.85,6.54,13.59,17.99,16.49,10.36,13.47,16.16,15.06,7.6,14.99,17.56,25.04,13.31
25,Net Income to Common,14.04,22.66,21.57,11.25,10.47,10.8,13.85,6.54,13.59,17.99,16.49,10.36,13.47,16.16,15.06,7.6,14.99,17.56,25.04,13.31
26,Net Income Growth,34.10%,109.86%,55.74%,72.07%,-22.98%,-40.00%,-16.03%,-36.85%,0.94%,11.33%,9.54%,36.34%,-10.15%,-7.96%,-39.86%,-42.92%,-,-,-,-
27,Shares Outstanding (Basic),128,124,138,125,131,135,124,131,135,129,126,129,133,126,132,95,99,97,97,95
28,Shares Outstanding (Diluted),128,124,138,125,131,135,124,131,135,129,126,129,133,126,132,95,99,97,97,95
29,Shares Change (YoY),-2.28%,-7.76%,10.86%,-4.41%,-3.11%,4.90%,-1.74%,1.05%,1.19%,1.84%,-4.05%,36.34%,34.43%,29.66%,36.12%,-0.11%,-,-,-,-
30,EPS (Basic),0.11,0.18,0.16,0.09,0.08,0.08,0.11,0.05,0.10,0.14,0.13,0.08,0.10,0.13,0.11,0.08,0.15,0.18,0.26,0.14
