,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,150.32,168.12,144.1,128.07,118.98,85.5,122.86,104.09,38.2,23.06,78.77,12.66,132.48,100.54,445.7,65.31,-,20.11,-
1,Short-Term Investments,-,-,60.78,-,30.04,-,70.26,-,-,-,30.66,-,30.13,-,10,-,-,-,50,-
2,Trading Asset Securities,-,59.95,66.64,110.55,144.22,57.09,215.41,178.04,195.62,265.46,282.28,266.68,351.71,261.75,332.8,62.29,55.13,-,51.74,-
3,Cash & Short-Term Investments,210.27,210.27,295.53,254.66,302.33,176.06,371.17,300.9,299.71,303.66,335.99,345.45,394.5,394.23,443.35,507.99,120.43,-,121.85,-
4,Cash Growth,-30.45%,19.43%,-20.38%,-15.37%,0.88%,-42.02%,10.47%,-12.90%,-24.03%,-22.98%,-24.21%,-32.00%,227.57%,-,263.85%,-,-,-,-,-
5,Accounts Receivable,-,195.68,182.15,173.08,144.24,144.32,136.33,139.43,151.04,153.37,142.51,120.98,129.11,130.63,137.4,106.12,118.09,-,104.08,-
6,Other Receivables,-,1.17,1.01,1.04,0.8,0.8,0.8,0.58,0.54,0.55,0.61,0.51,0.5,0.43,3.89,1.01,2.15,-,1.58,-
7,Receivables,-,196.86,183.16,174.12,145.05,145.12,137.13,140.01,151.58,153.92,143.13,121.49,129.6,131.06,141.29,107.13,120.24,-,105.67,-
8,Inventory,-,88.9,83.44,76.35,66.3,67.72,67.06,67.96,72.28,71.59,68.55,59.7,54.33,51.67,44.3,42.27,39.84,-,33.46,-
9,Other Current Assets,-,88.94,18.25,80.86,34.06,133.87,14.18,63.93,15.79,47.62,8.84,40.39,14.23,13.79,6.35,8,15.8,-,9.04,-
10,Total Current Assets,-,584.97,580.39,585.99,547.74,522.77,589.55,572.79,539.35,576.8,556.51,567.03,592.66,590.75,635.29,665.39,296.31,-,270.01,-
11,"Property, Plant & Equipment",-,465.75,455.91,442.27,415.7,414.33,399.68,384.84,388.58,381.48,370.07,369.23,362.29,355.64,337.08,336.21,302.4,-,194.43,-
12,Long-Term Investments,-,-,103.91,-,-,-,15.02,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Goodwill,-,55.23,55.1,54.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,37.35,37.95,38.42,28.74,28.97,29.22,29.39,29.38,29.61,29.86,29.78,29.96,29.9,30.01,30.2,30.41,-,30.13,-
15,Long-Term Deferred Tax Assets,-,8.54,4.94,4.78,5.17,1.44,1.51,1.47,3.92,1.84,1.79,1.68,1.75,1.68,1.18,1.12,1.24,-,1.26,-
16,Long-Term Deferred Charges,-,11.75,10.73,10.7,9.84,8.41,8.45,8.86,8.87,8.56,9.06,9.43,8.92,7.63,7.29,1.54,2.32,-,2,-
17,Other Long-Term Assets,-,111.74,2.41,68.42,79.53,58.33,28.72,47.72,45.98,19.62,24.56,17.64,13.72,10.99,9.57,9.08,2.92,-,6.31,-
18,Total Assets,-,1275,1251,1205,1087,1034,1072,1045,1016,1018,991.85,994.8,1009,996.6,1020,1044,635.61,-,504.15,-
19,Accounts Payable,-,96.36,91.12,81.89,71.53,72.65,73.96,75.95,79.89,94.57,91.03,93.3,73.69,67.03,64.9,75.13,59.07,-,55.21,-
20,Accrued Expenses,-,16.19,17.84,11.13,14.99,10.93,12.84,9.64,18.04,13.31,17.23,10.01,15.43,11.87,9.96,7.91,10.99,-,9.08,-
21,Short-Term Debt,-,95.9,98.9,102.9,29.44,13.3,52.97,50,4.91,4.69,3.01,2.24,0.46,-,20.02,20.02,20.02,-,-,-
22,Current Portion of Long-Term Debt,-,17.3,10.03,10.12,5,-,-,-,-,3.56,-,3.21,14.99,2.61,0.1,-,0.13,-,-,-
23,Current Portion of Leases,-,-,6.12,-,5.17,4.69,4.63,3.75,3.63,-,3.51,-,3.14,-,2.39,-,-,-,-,-
24,Current Income Taxes Payable,-,6.16,2.3,3.65,0.77,1.24,0.04,-0.64,-,9.02,3,5.55,2.26,3.22,0.5,2.33,3.38,-,4.39,-
25,Current Unearned Revenue,-,0.38,0.83,1.05,0.47,0.19,0.28,0.58,0.69,0.57,0.35,0.44,0.88,0.37,0.21,0.2,0.39,-,0.33,-
26,Other Current Liabilities,-,29.13,44.34,22.53,10.37,4.87,18.02,5.49,11.81,11.2,9.63,6.73,15.41,12.91,10.24,2.97,29.69,-,5.65,-
27,Total Current Liabilities,-,261.41,271.47,233.28,137.74,107.87,162.74,144.76,118.96,136.92,127.76,121.48,126.26,98.01,108.33,108.56,123.67,-,74.66,-
28,Long-Term Debt,-,32.36,22.36,22.56,17.78,8.36,-,-,-,-,-,9.42,28.96,58.89,92.89,94,94,-,43.61,-
29,Long-Term Leases,-,11.26,12.28,14.9,12.25,11.7,12.92,8.98,9.94,10.93,11.77,11.6,12.33,10.62,8.45,15.58,-,-,-,-
30,Long-Term Unearned Revenue,-,2.4,2.5,0.83,1.29,1.75,2.21,2.67,3.13,3.98,4.36,4.73,4.6,4.95,2.62,2.83,3.05,-,3.48,-
31,Long-Term Deferred Tax Liabilities,-,7.71,6.96,7.19,5.41,2.73,3.04,3.03,4.81,0.51,0.43,0.37,0.31,0.11,0.27,0.04,0.02,-,0.07,-
32,Total Liabilities,-,315.14,315.58,278.75,174.46,132.41,180.9,159.45,136.85,152.35,144.32,147.6,172.46,172.58,212.55,221.02,220.73,-,121.82,-
33,Common Stock,-,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,97,-,97,-
34,Additional Paid-In Capital,-,591.97,591.97,591.97,591.97,591.97,591.97,591.97,591.97,591.97,591.97,591.97,591.97,591.97,591.97,599.69,232,-,232,-
35,Retained Earnings,-,223.96,201.3,191.92,181.42,170.82,160.02,164.28,157.87,144.2,126.2,125.88,115.52,102.7,86.54,93.47,85.87,-,53.33,-
36,Treasury Stock,-,-10.34,-10.34,-10.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-,1.18,-0.41,-0.34,0.03,0.05,0.06,0.02,0.03,0.04,0,-,-,-,-,-,-,-,-0,-
38,Total Common Equity,936.12,936.12,911.87,902.56,902.77,892.19,881.4,885.62,879.22,865.56,847.53,847.2,836.85,824.03,807.86,822.51,414.88,-,382.33,-
39,Minority Interest,-,24.07,23.88,23.7,9.49,9.65,9.84,-,-,-,-,-,-,-,-,-,-,-,-,-
40,Shareholders' Equity,960.2,960.2,935.75,926.26,912.27,901.84,891.24,885.62,879.22,865.56,847.53,847.2,836.85,824.03,807.86,822.51,414.88,-,382.33,-
41,Total Liabilities & Equity,-,1275,1251,1205,1087,1034,1072,1045,1016,1018,991.85,994.8,1009,996.6,1020,1044,635.61,-,504.15,-
42,Total Debt,156.82,156.82,149.69,150.48,69.64,38.05,70.52,62.73,18.48,19.18,18.29,26.47,59.87,72.12,123.85,129.61,114.15,-,43.61,-
43,Net Cash (Debt),53.45,53.45,145.85,104.18,232.69,138.02,300.65,238.17,281.22,284.47,317.7,318.98,334.63,322.11,319.49,378.38,6.28,-,78.24,-
44,Net Cash Growth,-77.03%,-61.27%,-51.49%,-56.26%,-17.26%,-51.48%,-5.37%,-25.33%,-15.96%,-11.69%,-0.56%,-15.70%,5228.11%,-,308.37%,-,-,-,-,-
45,Net Cash Per Share,0.42,0.43,1.06,0.83,1.78,1.02,2.42,1.82,2.08,2.21,2.52,2.46,2.51,2.55,2.43,3.98,0.06,-,0.81,-
46,Filing Date Shares Outstanding,127.88,124.49,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,97,97.43,97,95.06
47,Total Common Shares Outstanding,127.88,124.49,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,129.35,97,97.43,97,95.06
48,Working Capital,-,323.56,308.92,352.72,410,414.9,426.81,428.03,420.38,439.88,428.75,445.55,466.41,492.75,526.96,556.82,172.64,-,195.35,-
49,Book Value Per Share,7.52,7.52,7.05,6.98,6.98,6.90,6.81,6.85,6.80,6.69,6.55,6.55,6.47,6.37,6.25,6.36,4.28,-,3.94,-
50,Tangible Book Value,843.55,843.55,818.83,809.72,874.03,863.22,852.17,856.23,849.84,835.95,817.67,817.42,806.88,794.12,777.85,792.32,384.47,-,352.2,-
51,Tangible Book Value Per Share,6.78,6.78,6.33,6.26,6.76,6.67,6.59,6.62,6.57,6.46,6.32,6.32,6.24,6.14,6.01,6.13,3.96,-,3.63,-
52,Buildings,-,-,173.25,-,165.11,-,165.02,-,165.02,-,164.85,-,164.85,-,152.12,-,-,-,-,-
53,Machinery,-,-,435.96,-,376.11,-,326.74,-,302.16,-,272.63,-,252.98,-,210.8,-,195.98,-,136.95,-
54,Construction In Progress,-,-,11.46,-,4.19,-,16.18,-,14.31,-,5.59,-,0.04,-,17.5,-,149.69,-,93.51,-
