,Fiscal Quarter,Current,H1 2025,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,122,69,74,307,681,75,189,355,151,72,136,Upgrade
1,Market Cap Growth,-40.74%,-77.54%,-89.10%,306.10%,260.78%,-78.71%,25.03%,392.63%,10.67%,-74.32%,10.37%,Upgrade
2,Enterprise Value,162,105,124,297,902,295,411,562,332,246,310,Upgrade
3,Last Close Price,0.11,0.06,0.07,0.28,0.66,0.08,0.20,0.39,0.17,0.10,0.18,Upgrade
4,PE Ratio,-,-,-2.39,-,-,-,-,-,-,-,-,Upgrade
5,PS Ratio,-,0.73,1.19,4.45,4.66,0.24,0.58,1.63,1.01,0.48,1.00,Upgrade
6,PB Ratio,19.11,1.84,3.54,17.03,15.86,-0.45,-1.29,-3.21,2.06,0.68,1.06,Upgrade
7,P/FCF Ratio,-,-,-,-,-,-,-21.94,-,-,-,-,Upgrade
8,P/OCF Ratio,-,-,-,-,-,-,-28.32,-,-,-,-,Upgrade
9,EV/Sales Ratio,-,1.12,1.99,4.31,6.17,0.94,1.26,2.59,2.21,1.64,2.26,Upgrade
10,EV/EBITDA Ratio,-,-,-3.00,-,-,-,-,-,-,-,-,Upgrade
11,EV/EBIT Ratio,-,-,-2.68,-,-,-,-,-,-,-,-,Upgrade
12,EV/FCF Ratio,-,-,-,-,-,-,-47.81,-,-,-,-,Upgrade
13,Debt / Equity Ratio,0.35,0.35,0.50,2.60,0.52,-1.39,-1.64,-2.18,3.14,1.87,1.47,Upgrade
14,Debt / FCF Ratio,-,-,-,-,-,-,-27.97,-,-,-,-,Upgrade
15,Return on Capital Employed (ROCE),-,-,-139.63%,-,-,-,-,-,-,-,-,Upgrade
16,Earnings Yield,-5.95%,-41.80%,-60.41%,-28.20%,-89.90%,-121.96%,-72.12%,-58.06%,-177.29%,-114.16%,Upgrade,
17,FCF Yield,-,-53.23%,-13.58%,-2.11%,-11.11%,-4.56%,-4.39%,-5.83%,-6.84%,-45.53%,Upgrade,
18,Buyback Yield / Dilution,-0.36%,-0.87%,2.88%,-12.52%,-16.43%,-3.78%,-4.06%,-20.00%,-18.82%,-23.54%,-32.46%,Upgrade
19,Total Shareholder Return,-0.36%,-0.87%,2.88%,-12.52%,-16.43%,-3.78%,-4.06%,-20.00%,-18.82%,-23.54%,-32.46%,Upgrade
