,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,2134648,2238331,2714053,2768944,2396905,1665026,1738214,1448511,1067324,945344,1500353,1533897,2189539,2543281,2018767,1604036,1640630,1539996,1088671,945344,920948,Upgrade
1,Market Cap Growth,34.43%,34.43%,56.14%,91.16%,124.57%,76.13%,15.85%,-5.57%,-51.25%,-62.83%,-25.68%,-4.37%,33.46%,65.15%,85.43%,69.68%,78.15%,6.54%,-20.31%,-34.46%,-13.71%,Upgrade
2,Enterprise Value,622674,550686,1110291,2308362,1767286,1777182,1731112,1426869,984540,824824,1283299,1320798,1818418,2335073,1789530,1554776,1475371,1582009,1230390,970289,945893,Upgrade
3,Last Close Price,17500.00,18350.00,21073.79,21500.00,17599.75,12225.78,11722.14,9768.45,7197.80,6375.20,10118.06,10344.27,14150.54,15845.45,12577.56,9993.65,9835.92,8708.02,6155.97,5345.52,4930.57,Upgrade
4,PE Ratio,3.51,-,2.74,2.80,7.02,4.92,-747.17,147.49,16.33,-,7.99,6.17,8.97,11.49,7.33,5.63,5.94,5.61,5.14,6.25,4.76,Upgrade
5,Forward PE,-,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,Upgrade
6,PS Ratio,1.48,1.55,1.25,1.25,2.72,1.82,7.37,4.77,2.85,2.42,2.57,2.45,3.56,4.41,3.09,2.40,2.48,2.36,1.97,1.80,1.24,Upgrade
7,PB Ratio,1.22,1.28,1.40,1.43,1.63,1.14,1.58,1.16,0.85,0.75,1.19,1.23,1.73,2.07,1.65,1.40,1.39,1.32,0.99,0.93,0.86,Upgrade
8,P/TBV Ratio,1.28,1.28,1.40,1.43,1.63,1.14,1.58,1.16,0.85,0.75,1.19,1.23,1.73,2.07,1.65,1.40,1.39,1.32,0.99,0.93,0.86,Upgrade
9,P/FCF Ratio,4.05,4.25,-,1.46,-,2.39,-,-,-,-6.68,-,13.29,-,7.79,-,3.49,-,4.59,6.23,22.86,10.06,Upgrade
10,P/OCF Ratio,4.23,4.23,-,1.47,-,2.36,-,-,-,-6.90,-,11.25,-,7.76,-,3.48,-,4.59,5.83,17.74,8.90,Upgrade
11,EV/Sales Ratio,0.43,0.38,0.51,1.04,2.01,1.94,7.34,4.70,2.63,2.11,2.20,2.11,2.96,4.05,2.74,2.32,2.23,2.42,2.22,1.85,1.28,Upgrade
12,EV/EBITDA Ratio,0.75,-,-,1.74,3.53,3.65,156.24,66.03,11.23,6.25,4.94,3.95,5.54,7.81,4.89,4.10,4.01,4.32,4.16,4.26,3.32,Upgrade
13,EV/EBIT Ratio,0.75,-,-,1.74,3.56,3.68,331.44,86.16,11.72,6.42,4.96,3.97,5.58,7.89,4.93,4.13,4.04,4.35,4.20,4.31,3.35,Upgrade
14,EV/FCF Ratio,1.18,1.05,-,1.22,-,2.55,-,-,-,-5.83,-,11.45,-,7.15,-,3.39,-,4.72,7.04,23.46,10.34,Upgrade
15,Debt / Equity Ratio,-,-,-,-,-,0.10,0.14,0.07,-,-,-,-,-,-,-,-,0.11,0.11,0.27,0.21,0.16,Upgrade
16,Debt / EBITDA Ratio,-,-,-,-,-,0.08,8.60,9.54,-,-,-,-,-,-,-,-,1.96,0.16,0.72,1.05,2.95,Upgrade
17,Debt / FCF Ratio,-,-,-,-,-,0.21,-,-,-,-,-,-,-,-,-,-,-,0.37,1.70,5.20,1.84,Upgrade
18,Asset Turnover,0.04,0.01,2.66,0.08,1.62,0.12,0.12,0.17,0.16,0.26,0.27,0.19,0.57,0.35,0.25,0.11,0.74,0.40,-,-,Upgrade,
19,Inventory Turnover,0.74,0.07,0.02,2.88,0.06,0.92,0.12,0.14,0.21,0.19,0.29,0.14,0.12,0.40,0.20,0.13,0.10,0.40,0.19,-,-,Upgrade
20,Quick Ratio,3.70,3.67,4.26,3.58,2.76,1.66,0.09,0.31,0.13,0.70,0.34,0.45,0.49,0.65,0.46,0.42,0.40,0.55,0.43,0.22,-,Upgrade
21,Current Ratio,5.02,5.02,5.62,4.65,7.71,3.49,2.92,4.26,4.94,3.86,3.74,3.09,3.36,2.87,3.04,2.63,2.94,2.72,2.45,2.51,-,Upgrade
22,Return on Equity (ROE),-10.41%,0.74%,151.99%,1.44%,112.45%,0.35%,0.12%,0.76%,0.43%,4.22%,17.83%,11.57%,32.42%,25.02%,17.64%,4.55%,55.65%,31.64%,16.27%,4.52%,Upgrade,
23,Return on Assets (ROA),-0.29%,-1.16%,99.83%,1.85%,64.94%,0.52%,0.13%,0.14%,0.01%,2.09%,9.44%,6.17%,17.74%,12.28%,8.62%,2.15%,27.19%,14.77%,-,-,Upgrade,
