,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,11074,14429,13234,10656,9101,8597,8381,9101,8899,10886,12360,12804,8880,13140,5868,4764,5652,4680,4356,4812,5868,Upgrade
1,Market Cap Growth,67.84%,67.84%,57.90%,17.09%,2.27%,-21.03%,-32.19%,-28.92%,0.22%,-17.15%,110.63%,168.77%,57.11%,180.77%,34.71%,-1.00%,-3.68%,-28.31%,-41.55%,-42.71%,-18.64%,Upgrade
2,Enterprise Value,16177,20751,19747,16731,15176,15162,14427,15320,15118,17939,19614,20862,16938,22258,15363,16982,17870,16858,16628,15363,16419,Upgrade
3,Last Close Price,7.69,10.02,9.19,7.13,6.09,5.75,5.60,5.75,5.62,6.88,7.39,7.66,5.31,7.86,3.49,2.83,3.36,2.78,2.55,2.81,3.43,Upgrade
4,PE Ratio,9.67,12.89,11.39,10.32,-,10.41,7.43,6.24,-,4.83,5.36,5.94,4.41,10.67,10.03,24.48,-,-22.54,-70.84,49.54,-,Upgrade
5,Forward PE,8.18,9.16,9.64,7.59,7.48,7.00,2.77,2.77,2.77,3.29,3.90,4.43,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,Upgrade
6,PS Ratio,1.21,2.11,1.97,1.69,-,1.00,0.91,0.93,0.96,1.13,1.31,1.47,1.06,1.92,1.08,0.99,1.30,1.06,0.90,0.95,1.06,Upgrade
7,PB Ratio,0.92,0.95,0.86,0.69,-,-,0.59,0.63,0.65,0.78,0.94,0.98,0.64,1.02,0.49,0.42,0.50,0.45,0.42,0.48,0.52,Upgrade
8,P/TBV Ratio,4.40,4.40,4.62,3.65,-,-,4.11,4.24,5.68,6.09,10.74,10.87,-,-,-,-,-,-,-,-,-,Upgrade
9,P/FCF Ratio,5.85,5.58,4.71,5.57,-,5.22,4.81,3.00,-,3.76,3.70,4.65,3.15,5.50,4.99,5.27,-,4.28,3.20,3.88,-,Upgrade
10,P/OCF Ratio,3.55,4.15,3.42,3.41,-,2.49,2.34,1.96,2.12,2.33,2.47,2.88,2.08,3.50,2.54,2.44,3.21,2.73,2.22,2.42,3.07,Upgrade
11,EV/Sales Ratio,1.77,3.03,2.94,2.66,-,1.76,1.56,1.57,1.63,1.87,2.07,2.39,2.02,3.25,2.82,3.52,4.10,3.82,3.42,3.04,2.97,Upgrade
12,EV/EBITDA Ratio,4.15,7.47,6.99,6.56,-,4.71,3.85,3.54,3.66,3.67,3.90,4.40,3.72,6.92,7.25,11.13,14.59,15.15,14.75,12.23,10.98,Upgrade
13,EV/EBIT Ratio,5.53,9.57,8.66,8.24,-,5.77,4.56,4.05,4.21,4.11,4.39,4.95,4.24,8.43,9.96,18.00,-,31.85,28.97,21.58,-,Upgrade
14,EV/FCF Ratio,8.55,8.03,7.02,8.74,-,9.22,8.29,5.05,-,6.19,5.87,7.57,6.01,9.32,13.08,18.80,-,15.43,12.20,12.38,-,Upgrade
15,Debt / Equity Ratio,0.48,0.48,0.51,0.51,-,-,0.60,0.57,0.65,0.64,0.53,0.52,0.59,0.62,0.72,0.77,0.80,0.94,0.99,1.15,0.86,Upgrade
16,Debt / EBITDA Ratio,1.84,2.43,1.94,1.89,-,-,2.88,2.08,3.18,1.70,1.32,2.10,1.40,1.37,2.10,3.65,16.89,6.93,5.90,9.41,122.43,Upgrade
17,Debt / FCF Ratio,3.80,2.78,2.78,4.07,-,-,4.85,2.74,-,3.09,2.08,2.44,2.90,3.34,7.37,9.79,-,8.98,7.51,9.26,-,Upgrade
18,Asset Turnover,0.28,0.31,-,-,-,0.25,0.30,0.33,0.36,0.37,0.25,0.40,0.38,0.28,0.22,0.21,0.19,0.19,0.15,0.22,Upgrade,
19,Inventory Turnover,-,20.54,35.19,-,-,-,38.02,38.45,59.64,33.95,26.62,24.91,33.73,19.26,13.43,15.89,20.40,12.49,9.53,7.01,7.73,Upgrade
20,Quick Ratio,0.98,0.98,1.06,1.08,-,-,1.72,1.87,1.64,1.54,0.91,0.94,1.01,0.82,0.75,0.65,0.40,0.39,0.40,0.46,0.48,Upgrade
21,Current Ratio,1.06,1.06,1.12,1.11,-,-,1.80,1.95,1.67,1.60,0.98,1.02,1.05,0.88,0.82,0.73,0.46,0.49,0.49,0.55,0.57,Upgrade
22,Return on Equity (ROE),10.36%,15.59%,-,-,-,11.58%,18.36%,-1.98%,26.36%,27.10%,13.93%,32.79%,30.12%,21.59%,8.32%,-4.26%,1.24%,4.72%,0.94%,-10.66%,Upgrade,
23,Return on Assets (ROA),4.60%,6.61%,-,-,-,4.46%,7.22%,4.68%,10.32%,10.82%,6.15%,12.12%,12.45%,8.87%,4.55%,-0.20%,2.25%,3.27%,1.58%,-1.36%,Upgrade,
24,Return on Capital (ROIC),6.01%,8.50%,-,-,-,5.91%,9.56%,6.21%,13.91%,14.54%,8.07%,15.57%,15.64%,11.01%,5.64%,-0.23%,2.48%,3.61%,1.81%,-1.55%,Upgrade,
25,Return on Capital Employed (ROCE),12.21%,9.04%,9.35%,8.38%,-,-,12.00%,14.17%,13.80%,16.78%,19.79%,18.77%,16.97%,12.39%,7.41%,4.69%,-,2.92%,3.24%,4.11%,-,Upgrade
26,Earnings Yield,10.37%,7.76%,8.78%,9.69%,-,9.61%,13.46%,16.04%,15.10%,20.72%,18.67%,16.84%,22.69%,9.38%,9.97%,4.08%,0.85%,-4.44%,-1.41%,2.02%,4.96%,Upgrade
27,FCF Yield,17.08%,17.91%,21.25%,17.96%,-,19.14%,20.78%,33.34%,27.94%,26.61%,27.06%,21.52%,31.73%,18.18%,20.02%,18.96%,13.22%,23.35%,31.29%,25.79%,18.70%,Upgrade
28,Dividend Yield,4.81%,-,-,-,-,-,-,-,6.05%,-,-,-,8.63%,-,-,-,0.74%,-,-,-,1.70%,Upgrade
29,Payout Ratio,66.72%,21.80%,138.45%,16.21%,-,24.67%,167.33%,46.68%,-,39.74%,120.69%,56.11%,10.10%,9.15%,31.88%,141.22%,-,1822.83%,107.44%,1065.13%,-,Upgrade
30,Buyback Yield / Dilution,-,3.60%,-1.73%,-,-,-1.95%,1.11%,-2.06%,1.86%,-3.14%,1.51%,12.10%,-12.56%,-4.46%,1.69%,-9.20%,8.68%,7.74%,-2.66%,-1.68%,Upgrade,
31,Total Shareholder Return,4.81%,-,3.60%,-1.73%,-,-,-1.95%,1.11%,3.99%,1.86%,-3.14%,1.51%,20.73%,-12.56%,-4.46%,1.69%,-8.46%,8.68%,7.74%,-2.66%,0.02%,Upgrade
