,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,5146,5072,4916,-,-,5187,5693,5458,5988,3036,2520,4027,3823,3312,2946,1499,1221,1713,2462,2576,Upgrade
1,Cash & Short-Term Investments,5146,5072,4916,-,-,5187,5693,5458,5988,3036,2520,4027,3823,3312,2946,1499,1221,1713,2462,2576,Upgrade
2,Cash Growth,-,-2.21%,-13.65%,-,-,70.81%,125.96%,35.53%,56.62%,-8.31%,-14.48%,168.59%,213.20%,93.30%,19.64%,-41.79%,-49.44%,-37.54%,1.34%,-4.36%,Upgrade
3,Accounts Receivable,135.2,38.1,14.13,-,-,70,304.69,109.3,362.87,342.35,381.92,329.56,326.43,241.34,223.82,255.88,296.45,198.04,385.95,396.76,Upgrade
4,Other Receivables,131.13,703.96,930.44,-,-,717.93,647.89,627.85,697.43,793.96,773.66,713.9,114.72,121.67,131.44,123.85,116.96,110.14,105.59,99.89,Upgrade
5,Receivables,266.34,742.05,944.57,-,-,787.93,952.58,737.15,1060,1136,1156,1043,441.15,363.01,355.26,379.73,413.42,308.17,491.54,496.65,Upgrade
6,Inventory,295.46,180.3,81.7,-,-,90.6,124.18,85.76,103.14,146.01,144.46,108.41,129.4,175.01,163.7,180.6,187.84,204.23,325.39,331.44,Upgrade
7,Other Current Assets,138.34,108.49,75.36,-,-,164.23,168.28,46.05,172.86,139.52,188.34,95.38,190,152.49,236.17,99.05,242.76,232.39,237.69,295.51,Upgrade
8,Total Current Assets,5846,6103,6018,-,-,6229,6938,6327,7325,4458,4008,5274,4584,4002,3701,2159,2065,2458,3517,3700,Upgrade
9,"Property, Plant & Equipment",12583,12568,12532,-,-,12576,12339,12360,12185,11515,11203,11114,10676,10478,10288,10234,10111,10110,10048,10086,Upgrade
10,Long-Term Investments,1890,1890,1904,-,-,1810,1826,1827,1934,1934,1938,619.53,612.68,612.68,631.94,631.94,616.6,616.6,629.76,629.76,Upgrade
11,Other Intangible Assets,8778,8861,8821,-,-,8846,8868,8893,8818,8816,8835,11134,10283,10296,10309,10321,9311,9319,9338,9346,Upgrade
