,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,2134,2297,2413,-,1998,1880,2243,2444,2609,2459,1744,2756,2466,1741,1373,1232,1073,1108,916.85,1276,Upgrade
1,Other Revenue,-24.88,24.88,-,-,-25.87,25.87,-,30.81,-12.24,12.24,-,33.06,-11.95,11.95,-,32.75,-22.53,22.53,-,35.84,Upgrade
2,Revenue,2109,2322,2413,-,1972,1906,2243,2475,2597,2471,1744,2789,2454,1753,1373,1264,1051,1131,916.85,1312,Upgrade
3,Revenue Growth (YoY),6.95%,21.85%,7.58%,-,-24.07%,-22.88%,28.61%,-11.26%,5.83%,40.95%,27.02%,120.60%,133.57%,55.05%,49.73%,-3.61%,-29.86%,-15.22%,-34.00%,-9.90%,Upgrade
4,Cost of Revenue,1222,1152,1184,-,904.91,1021,1009,1408,1057,966.45,787.43,1003,732.72,568.76,683.87,939.42,612.29,631.03,575.31,552.58,Upgrade
5,Gross Profit,887.51,1169,1229,-,1067,884.87,1234,1067,1540,1504,956.25,1786,1721,1184,688.93,324.85,438.42,499.6,341.54,759.09,Upgrade
6,"Selling, General & Admin",183.15,189.79,184.68,-,225.84,171.63,170.66,302.39,133.26,130.38,126.49,164.86,187.17,128.82,126.79,113.2,199.04,182.02,157.33,559.98,Upgrade
7,Research & Development,1.09,4.66,-,-,0.22,0.69,-,5.91,0.9,0.38,-,3.52,0.56,-,-,3.45,1.28,0.34,-,13.3,Upgrade
8,Other Operating Expenses,180.73,187.02,209.16,-,179.85,179.51,194.99,207.94,212.7,215.81,153.93,286.76,220.73,153.68,106.36,226.26,30.93,17.25,29.99,213.12,Upgrade
9,Operating Expenses,341.38,382.35,393.84,-,408.31,348.7,365.63,502.05,347.8,345.74,280.42,449.94,420.02,280.84,233.15,343.63,235.67,195.83,187.31,890.52,Upgrade
10,Operating Income,546.13,787.05,835.03,-,658.82,536.16,868.04,564.81,1192,1159,675.83,1336,1301,903.42,455.78,-18.78,202.74,303.77,154.23,-131.43,Upgrade
11,Interest Expense,-77.29,-102.33,-87.8,-,-97.04,-98.49,-94.55,-55.1,-65.82,-106.42,-51.21,-75.97,-72.72,-78.23,-77.92,-115.14,-69.5,-73.75,-78.97,-100.19,Upgrade
12,Interest & Investment Income,54.72,9.5,31.61,-,7.88,22.68,7.38,10.97,8.03,5.06,9.19,51.76,8.99,6.44,12.72,41.42,2.61,3.54,7.16,47.23,Upgrade
13,Earnings From Equity Investments,-0.35,-,-,-,-0.36,-,-,-,-,-,-,-,-,-,-,18.33,-,-18.33,-,-41.52,Upgrade
14,Currency Exchange Gain (Loss),-0.17,0.17,-,-,-0.01,0.01,-,0.04,-0.06,0.06,-,0.01,-0,0,-,0.54,-1.76,1.76,-,7.21,Upgrade
15,Other Non Operating Income (Expenses),7.33,-11.12,-0.03,-,-15.41,-9.12,-6.48,-122.55,-35.99,26.83,-39.62,4.05,-43.59,-49.37,-42.58,-49.1,-48.9,-36.19,-10.27,-161.99,Upgrade
16,EBT Excluding Unusual Items,530.38,683.27,778.81,-,553.88,451.25,774.4,398.18,1098,1084,594.19,1316,1194,782.27,348,-122.72,85.19,180.8,72.14,-380.68,Upgrade
17,Gain (Loss) on Sale of Investments,0.35,-0.35,-,-,0.36,-0.36,-,-356.49,-,2.03,-7.99,16.51,-,-16.51,-,-9.51,-,-,-,-,Upgrade
18,Gain (Loss) on Sale of Assets,-1.6,0.01,1.67,-,0.32,51.94,0.16,-9.13,-0.19,-2.36,-,-11.18,11.4,-11.4,-,-7.64,7.1,-7.06,-0.08,108.08,Upgrade
19,Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-103.39,-,-,-,-192.3,Upgrade
20,Legal Settlements,-,-,-,-,0,-0,-,-18.57,-,-,-,-60.14,-,-,-,-,-,-,-,-34.8,Upgrade
21,Other Unusual Items,3.83,-4.29,0.46,-,-,-,-,47.15,-9.01,-,-,-6.05,-,-,-,228.38,-,-,-,186.21,Upgrade
22,Pretax Income,532.96,678.63,780.94,-,554.57,502.83,774.56,61.15,1089,1084,586.2,1255,1205,754.36,348,-14.89,92.29,173.74,72.07,-313.5,Upgrade
23,Income Tax Expense,139.02,80.27,133.68,-,101,88.04,127.67,129.44,200.4,197.6,116.64,157.49,265.56,119.14,112.21,100.01,60.2,53.61,47.03,15.24,Upgrade
24,Earnings From Continuing Operations,393.94,598.36,647.26,-,453.57,414.79,646.89,-68.28,888.74,886.2,469.56,1098,939.87,635.22,235.79,-114.89,32.09,120.12,25.03,-328.73,Upgrade
25,Minority Interest in Earnings,-133.57,-191.29,-195.41,-,-151.04,-136.4,-217.06,-116.51,-284.08,-276.46,-155.59,-371.01,-283.48,-175.8,-64.11,59.46,-22.93,-50.94,-0.04,17.77,Upgrade
26,Net Income,260.37,407.07,451.85,-,302.52,278.39,429.83,-184.79,604.66,609.75,313.98,726.97,656.4,459.42,171.67,-55.43,9.16,69.18,24.99,-310.96,Upgrade
27,Net Income to Common,260.37,407.07,451.85,-,302.52,278.39,429.83,-184.79,604.66,609.75,313.98,726.97,656.4,459.42,171.67,-55.43,9.16,69.18,24.99,-310.96,Upgrade
28,Net Income Growth,-13.93%,46.22%,5.12%,-,-49.97%,-54.34%,36.90%,-,-7.88%,32.72%,82.89%,-,7065.46%,564.09%,586.98%,-,-94.10%,-69.63%,-88.57%,-,Upgrade
29,Shares Outstanding (Basic),1440,1405,1458,-,-,1458,1433,1453,1447,1430,1449,1424,1474,1387,1471,1620,1310,1327,1496,1484,Upgrade
30,Shares Outstanding (Diluted),1440,1405,1458,-,-,1458,1433,1453,1447,1430,1449,1424,1474,1387,1471,1620,1310,1327,1496,1484,Upgrade
31,Shares Change (YoY),-,-3.60%,1.73%,-,-,1.95%,-1.11%,2.06%,-1.86%,3.14%,-1.51%,-12.10%,12.56%,4.46%,-1.69%,9.20%,-8.68%,-7.74%,2.66%,1.68%,Upgrade
32,EPS (Basic),0.18,0.29,0.31,-,-,0.19,0.30,-0.13,0.42,0.43,0.22,0.51,0.45,0.33,0.12,-0.03,0.01,0.05,0.02,-0.21,Upgrade
33,EPS (Diluted),0.18,0.29,0.31,-,-,0.19,0.30,-0.13,0.42,0.43,0.22,0.51,0.45,0.33,0.12,-0.03,0.01,0.05,0.02,-0.21,Upgrade
34,EPS Growth,-,51.68%,3.33%,-,-,-55.22%,38.44%,-,-6.14%,28.68%,85.69%,-,6266.13%,535.74%,598.80%,-,-93.54%,-67.09%,-88.87%,-,Upgrade
35,Free Cash Flow,713,952.36,918.56,-,940.78,54.04,983.24,-332.73,1037,1347,435.53,78.5,1483,757.81,498.01,-350.32,269.28,486.48,341.91,-5.05,Upgrade
36,Free Cash Flow Per Share,0.50,0.68,0.63,-,-,0.04,0.69,-0.23,0.72,0.94,0.30,0.06,1.01,0.55,0.34,-0.22,0.21,0.37,0.23,-0.00,Upgrade
37,Dividend Per Share,-,-,-,-,-,-,-,0.340,-,-,-,0.458,-,-,-,0.025,-,-,-,0.058,Upgrade
38,Dividend Growth,-,-,-,-,-,-,-,-25.81%,-,-,-,1733.20%,-,-,-,-57.12%,-,-,-,-63.17%,Upgrade
39,Gross Margin,42.08%,50.36%,50.93%,-,54.11%,46.44%,55.01%,43.10%,59.29%,60.89%,54.84%,64.05%,70.14%,67.56%,50.18%,25.69%,41.73%,44.19%,37.25%,57.87%,Upgrade
40,Operating Margin,25.89%,33.90%,34.61%,-,33.41%,28.14%,38.71%,22.82%,45.90%,46.89%,38.76%,47.92%,53.03%,51.54%,33.20%,-1.49%,19.30%,26.87%,16.82%,-10.02%,Upgrade
41,Profit Margin,12.35%,17.53%,18.73%,-,15.34%,14.61%,19.17%,-7.47%,23.28%,24.68%,18.01%,26.07%,26.75%,26.21%,12.51%,-4.38%,0.87%,6.12%,2.73%,-23.71%,Upgrade
42,Free Cash Flow Margin,33.81%,41.02%,38.07%,-,47.71%,2.84%,43.84%,-13.44%,39.91%,54.50%,24.98%,2.81%,60.45%,43.23%,36.28%,-27.71%,25.63%,43.03%,37.29%,-0.38%,Upgrade
