,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021"
0,Market Capitalization,206,243,359,391,496,616,637,-
1,Market Cap Growth,-37.74%,-37.74%,-27.66%,-36.52%,-22.08%,-,-,-
2,Enterprise Value,103,127,227,231,300,395,575,-
3,Last Close Price,0.39,0.46,0.68,0.74,0.94,1.18,1.25,-
4,PE Ratio,-,-,-,-,-,56.38,47.23,-
5,PS Ratio,1.16,1.38,1.88,1.88,2.32,2.86,2.83,-
6,PB Ratio,1.19,1.40,1.89,1.62,1.91,2.28,2.49,-
7,P/TBV Ratio,1.40,1.40,1.89,1.62,1.91,2.28,2.49,-
8,P/FCF Ratio,-,-,-,-,-,77.56,23.30,-
9,P/OCF Ratio,-,-40.16,-,-,-,31.07,23.13,-
10,EV/Sales Ratio,0.58,0.72,1.19,1.11,1.40,1.83,2.55,-
11,EV/EBITDA Ratio,-,-,-,-,-,14.79,13.31,-
12,EV/EBIT Ratio,-,-,-,-,-,19.35,16.20,-
13,EV/FCF Ratio,-6.34,-,-,-,-,49.71,21.02,-
14,Debt / Equity Ratio,0.11,0.11,0.13,0.15,0.18,0.14,0.08,-
15,Debt / FCF Ratio,-,-,-,-,-,4.71,0.74,-
16,Return on Capital Employed (ROCE),-,-,-,-,-,6.99%,13.34%,-
17,Earnings Yield,-36.04%,-30.56%,-21.10%,-7.96%,-0.64%,1.77%,2.12%,-
18,FCF Yield,-7.84%,-6.65%,-13.47%,-14.74%,-2.82%,1.29%,4.29%,-
19,Buyback Yield / Dilution,-0.25%,-0.36%,-0.14%,-0.09%,-29.11%,-39.88%,-,-
20,Total Shareholder Return,-0.25%,-0.36%,-0.14%,-0.09%,-29.11%,-39.88%,-,-
