,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021"
0,Revenue,87.2,89.32,101.61,106.16,107.69,107.73,117.51
1,Revenue Growth (YoY),-14.18%,-15.86%,-5.65%,-1.46%,-8.36%,-,-
2,Cost of Revenue,43.96,51.4,49.89,48.27,44.82,43.68,39.35
3,Gross Profit,43.24,37.92,51.72,57.89,62.87,64.05,78.16
4,"Selling, General & Admin",32.96,39.19,49.93,48.62,34.56,32.92,36.69
5,Other Operating Expenses,10.8,9.28,10.09,9.75,10.64,8.26,6.76
6,Operating Expenses,54.93,68.81,77.05,73.49,54.99,51.54,55.19
7,Operating Income,-11.69,-30.89,-25.34,-15.6,7.88,12.52,22.97
8,Interest Expense,-0.64,-0.81,-1.21,-1.11,-0.42,-0.44,-0.34
9,Interest & Investment Income,2.46,3.23,2.99,3.18,0.67,0.04,0.01
10,Currency Exchange Gain (Loss),0.08,-,-,-,-,-,-
11,Other Non Operating Income (Expenses),0.01,-0.08,0.26,0.31,0.01,-8.01,-9.24
12,EBT Excluding Unusual Items,-9.79,-28.55,-23.3,-13.21,8.14,4.11,13.4
13,Gain (Loss) on Sale of Assets,-0.59,-,-,-,-,-,-
14,Asset Writedown,-7.3,-30.05,-,-0.15,-,-,-
15,Other Unusual Items,-,-,-,0.23,2.07,0.61,0.92
16,Pretax Income,-17.67,-58.6,-23.3,-13.13,10.21,4.72,14.32
17,Income Tax Expense,0.9,-2.83,-3.28,-2.03,2.3,1.71,3.84
18,Net Income,-18.57,-55.77,-20.02,-11.1,7.91,3.01,10.48
19,Net Income to Common,-18.57,-55.77,-20.02,-11.1,7.91,3.01,10.48
20,Net Income Growth,-,-,-,-,-24.52%,-,-
21,Shares Outstanding (Basic),527,525,525,524,521,406,375
22,Shares Outstanding (Diluted),527,525,525,524,525,406,375
23,Shares Change (YoY),0.36%,0.14%,0.09%,29.11%,39.88%,-,-
24,EPS (Basic),-0.04,-0.11,-0.04,-0.02,0.02,0.01,0.03
25,EPS (Diluted),-0.04,-0.11,-0.04,-0.02,0.01,0.01,0.03
26,EPS Growth,-,-,-,-,-46.34%,-,-
27,Free Cash Flow,-5.57,-10.6,-37.79,-19.81,5.83,2.11,25.23
28,Free Cash Flow Per Share,-0.01,-0.02,-0.07,-0.04,0.01,0.01,0.07
29,Operating Margin,-13.41%,-34.59%,-24.94%,-14.69%,7.31%,11.62%,19.55%
30,Profit Margin,-21.29%,-62.44%,-19.70%,-10.46%,7.35%,2.79%,8.92%
31,Free Cash Flow Margin,-6.39%,-11.87%,-37.19%,-18.66%,5.41%,1.96%,21.47%
32,EBITDA,-5.97,-21.16,-19.18,-11.95,10.4,16.28,26.91
33,D&A For EBITDA,5.72,9.73,6.16,3.65,2.53,3.76,3.95
34,EBIT,-11.69,-30.89,-25.34,-15.6,7.88,12.52,22.97
