,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021"
0,Cash & Equivalents,122.39,141.43,160.83,207.5,233.63,241.27,-
1,Short-Term Investments,-,-,7.73,-,-,-,-
2,Cash & Short-Term Investments,122.39,141.43,168.55,207.5,233.63,241.27,-
3,Cash Growth,-27.39%,-31.84%,-27.86%,-14.00%,-,-,-
4,Accounts Receivable,2.81,2.65,1.93,1.96,2.82,1.11,-
5,Other Receivables,-,1.41,1.41,1.05,-,0.91,-
6,Receivables,17.23,18.5,17.53,17.43,17.02,2.01,-
7,Inventory,3.55,3.58,5.68,3.68,2.9,3.75,-
8,Prepaid Expenses,-,-,-,-,0.56,0.6,-
9,Other Current Assets,10.45,5.7,-,5.06,2.18,1.97,-
10,Total Current Assets,153.61,169.21,191.76,233.66,256.3,249.59,-
11,"Property, Plant & Equipment",54,52.63,97.21,78.25,55.87,37.81,-
12,Long-Term Investments,4.48,-,-,-,-,-,-
13,Long-Term Deferred Tax Assets,5.53,6.43,3.61,0.33,0.28,0.59,-
14,Other Long-Term Assets,0.89,7.89,4.32,15.02,12.44,2.14,-
15,Total Assets,218.51,236.16,296.9,327.26,324.89,290.14,-
16,Accounts Payable,6.67,4.77,4.62,7.17,6.34,5.88,-
17,Accrued Expenses,9,4.11,12.36,3.25,7.29,7.39,-
18,Current Portion of Leases,15.42,19.18,20.88,21.96,17.48,10.93,-
19,Current Income Taxes Payable,-,-,-,-,1.14,-,-
20,Other Current Liabilities,8.96,10.28,-,7.83,0.85,-,-
21,Total Current Liabilities,40.05,38.33,37.86,40.2,33.1,24.2,-
22,Long-Term Leases,3.24,6.23,15.72,25.3,19.92,9.25,-
23,Other Long-Term Liabilities,1.19,2.08,2.08,2.48,1.63,1.25,-
24,Total Liabilities,44.49,46.64,55.65,67.98,54.65,34.69,-
25,Common Stock,5.29,5.28,5.28,5.28,5.22,5.1,-
26,Additional Paid-In Capital,306.42,306.39,306.39,306.39,301.73,292.9,-
27,Retained Earnings,-131.79,-113.22,-57.45,-37.43,-26.33,-34.24,-
28,Comprehensive Income & Other,-5.89,-8.93,-12.97,-14.96,-10.39,-8.31,-
29,Shareholders' Equity,174.03,189.52,241.25,259.28,270.24,255.45,-
30,Total Liabilities & Equity,218.51,236.16,296.9,327.26,324.89,290.14,-
31,Total Debt,18.67,25.41,36.6,47.26,37.41,20.18,-
32,Net Cash (Debt),103.72,116.02,131.95,160.24,196.23,221.1,-
33,Net Cash Growth,-21.39%,-27.59%,-32.76%,-27.53%,-,-,-
34,Net Cash Per Share,0.20,0.22,0.25,0.31,0.37,0.54,-
35,Filing Date Shares Outstanding,528.92,528.13,528.13,528.13,521.78,509.72,375
36,Total Common Shares Outstanding,528.92,528.13,528.13,528.13,521.78,509.72,375
37,Working Capital,113.56,130.88,153.91,193.46,223.19,225.4,-
38,Book Value Per Share,0.33,0.36,0.46,0.49,0.52,0.50,-
39,Tangible Book Value,174.03,189.52,241.25,259.28,270.24,255.45,-
40,Tangible Book Value Per Share,0.33,0.36,0.46,0.49,0.52,0.50,-
41,Machinery,-,73.3,-,55.84,-,42.21,-
42,Leasehold Improvements,-,55.65,-,33.41,-,21.59,-
