,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,20577,8445,19987,23294,30483,29812,56126,-,-,-
1,Market Cap Growth,-63.74%,-63.74%,-34.43%,-21.86%,-45.69%,-,-,-,-,-
2,Enterprise Value,20902,8523,19851,22686,29012,27678,54994,-,-,-
3,Last Close Price,20.45,8.81,20.85,24.30,31.80,31.10,58.55,-,-,-
4,PS Ratio,116.78,50.31,173.46,316.29,1248.18,7958.28,21267.01,-,-,-
5,PB Ratio,66.37,30.50,36.16,22.98,19.15,12.82,19.13,-,-,-
6,P/TBV Ratio,29.54,29.54,35.68,22.79,19.14,12.81,19.14,-,-,-
7,EV/Sales Ratio,124.52,50.77,172.28,308.04,1187.92,7388.53,20838.20,-,-,-
8,Debt / Equity Ratio,2.10,2.10,1.19,0.63,0.16,0.11,0.09,0.04,0.01,-
9,Earnings Yield,-3.92%,-9.55%,-5.58%,-5.66%,-4.23%,-3.14%,-1.27%,-,-,-
10,FCF Yield,-2.17%,-5.28%,-3.49%,-5.33%,-4.03%,-3.11%,-1.47%,-,-,-
11,Buyback Yield / Dilution,-,-,-,-3.04%,-5.41%,-15.41%,-28.97%,-,-,
12,Total Shareholder Return,-,-,-,-3.04%,-5.41%,-15.41%,-28.97%,-,-,
