,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,99.24,56.99,47.6,20.56,1.05,2.15,-,-,-
1,Revenue Growth (YoY),108.47%,177.25%,4442.27%,856.05%,-,-,-,-,-
2,Cost of Revenue,52.22,64.36,25.54,14.68,0.36,1.23,-,-,-
3,Gross Profit,47.01,-7.37,22.07,5.87,0.69,0.92,-,-,-
4,"Selling, General & Admin",122.3,160.29,204.5,225.22,129.3,119.54,67.13,20.54,9.04
5,Research & Development,164.15,257.48,311.7,419.39,336.41,232.58,160.07,94.84,40.54
6,Other Operating Expenses,-6.29,-8.52,-9.52,-6.88,0.09,-8.34,-0.41,-1.62,-0.74
7,Operating Expenses,280.15,409.24,506.68,637.73,465.8,343.78,226.79,113.75,48.84
8,Operating Income,-233.14,-416.62,-484.62,-631.86,-465.11,-342.86,-226.79,-113.75,-48.84
9,Interest Expense,-9.75,-9.91,-8.5,-5.72,-5.4,-4.64,-0.65,-48.94,-0.19
10,Interest & Investment Income,0.65,4.67,4.21,10.42,16.24,9.71,12.37,8.02,0.07
11,Earnings From Equity Investments,-9.84,-12.96,-16.85,-21.53,-18.12,-16.93,-10.44,-1.68,-
12,Currency Exchange Gain (Loss),-1.5,-3.32,3.52,2.54,-0.5,-12.1,2.98,-0.69,0.01
13,Other Non Operating Income (Expenses),-10.53,-40.66,-2.04,-36.6,9.37,50.63,-5.25,-3.3,-0.01
14,EBT Excluding Unusual Items,-264.11,-478.8,-504.28,-682.76,-463.53,-316.2,-227.79,-160.32,-48.97
15,Gain (Loss) on Sale of Investments,-15.7,-,-,-,-,-,-,-,-
16,Other Unusual Items,-0.14,-,-40.45,-0.03,0.03,-25.75,-14.77,-,-
17,Pretax Income,-279.95,-478.8,-544.73,-682.78,-463.5,-341.95,-242.56,-160.32,-48.97
18,Earnings From Continuing Operations,-279.95,-478.8,-544.73,-682.78,-463.5,-341.95,-242.56,-160.32,-48.97
19,Minority Interest in Earnings,2.79,5.64,5.72,2.03,4.45,0.99,0.6,0.42,-
20,Net Income,-277.16,-473.16,-539.01,-680.75,-459.05,-340.96,-241.97,-159.91,-48.97
21,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-5.98,-
22,Net Income to Common,-277.16,-473.16,-539.01,-680.75,-459.05,-340.96,-241.97,-153.93,-48.97
23,Shares Outstanding (Basic),959,959,959,959,959,930,909,806,705
24,Shares Outstanding (Diluted),959,959,959,959,959,930,909,806,705
25,Shares Change (YoY),-,-,-,3.04%,5.41%,15.41%,28.97%,-,-
26,EPS (Basic),-0.29,-0.49,-0.56,-0.71,-0.48,-0.37,-0.27,-0.19,-0.07
27,EPS (Diluted),-0.29,-0.49,-0.56,-0.71,-0.48,-0.37,-0.27,-0.19,-0.07
28,Free Cash Flow,-221.34,-193.89,-438.94,-709.03,-377.72,-414.18,-257.3,-82.17,-35.43
29,Free Cash Flow Per Share,-0.23,-0.20,-0.46,-0.74,-0.39,-0.45,-0.28,-0.10,-0.05
30,Operating Margin,-234.93%,-731.05%,-1018.04%,-3074.00%,-44380.82%,-15946.93%,-,-,-
31,Profit Margin,-279.29%,-830.27%,-1132.31%,-3311.87%,-43802.67%,-15858.42%,-,-,-
32,Free Cash Flow Margin,-223.04%,-340.21%,-922.09%,-3449.42%,-36041.60%,-19264.09%,-,-,-
33,EBITDA,-191.78,-390.63,-449.57,-607.82,-446.67,-337.65,-224.85,-112.71,-48.21
34,D&A For EBITDA,41.36,25.99,35.05,24.04,18.45,5.21,1.94,1.04,0.63
35,EBIT,-233.14,-416.62,-484.62,-631.86,-465.11,-342.86,-226.79,-113.75,-48.84
