,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,48,104,126,531,2565,1188,1710,1521,387,333,342
1,Market Cap Growth,-80.51%,-80.51%,-95.09%,-55.30%,50.00%,-21.89%,341.86%,356.76%,13.16%,-16.85%,-20.00%
2,Enterprise Value,13,55,64,462,2452,1070,1591,1400,271,220,237
3,Last Close Price,0.11,0.23,0.28,1.18,5.70,2.64,3.80,3.38,0.86,0.74,0.76
4,PE Ratio,-,-,-,-,-,-,-,502.89,381.39,-,26.37
5,PS Ratio,3.27,7.04,2.35,4.60,26.99,20.98,30.45,34.88,10.67,5.44,3.58
6,PB Ratio,0.71,1.54,1.61,5.80,18.51,8.42,11.50,10.20,2.58,2.37,2.32
7,P/TBV Ratio,1.60,1.60,1.66,5.83,18.58,8.45,11.55,10.20,2.58,2.37,2.32
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,25.96,19.76
9,P/OCF Ratio,-,-,-,-,-,18866.66,-,-,-,25.76,19.68
10,EV/Sales Ratio,0.86,3.71,1.20,4.00,25.81,18.90,28.34,32.11,7.46,3.60,2.48
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,325.86,317.87,-,8.92
12,EV/EBIT Ratio,-,-,-,-,-,-,-,423.81,-795.43,-,9.47
13,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,17.18,13.69
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,0.03,0.03
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,2.21%,-0.23%,-,16.98%
17,Earnings Yield,-49.24%,-22.91%,-49.71%,-10.03%,-0.42%,-0.39%,0.04%,0.20%,0.26%,1.72%,3.79%
18,FCF Yield,-23.33%,-23.33%,-15.94%,-3.31%,-0.49%,-0.26%,-0.04%,-0.18%,1.56%,3.85%,5.06%
