,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,1.38,1.17,7.9,12.04,4.3,5.74,3.97,3.58,2.6,8.4
1,Revenue Growth (YoY),-82.50%,-90.28%,83.93%,109.76%,8.25%,60.23%,52.53%,-57.35%,-67.83%,-10.55%
2,Cost of Revenue,0.97,1.06,7.59,11.55,3.87,5.34,2.8,2.34,1.98,5.18
3,Gross Profit,0.41,0.11,0.31,0.5,0.43,0.4,1.16,1.24,0.62,3.22
4,"Selling, General & Admin",2.15,3.03,2.1,2.09,1.34,1.36,0.99,0.84,1.08,0.36
5,Operating Expenses,2.15,3.03,2.1,2.09,1.34,1.36,0.99,0.84,1.08,0.36
6,Operating Income,-1.74,-2.92,-1.79,-1.59,-0.92,-0.95,0.17,0.4,-0.46,2.86
7,Interest Expense,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
8,Interest & Investment Income,0.03,0.05,0.07,0.02,0,0,0,0,0.06,0.09
9,Currency Exchange Gain (Loss),0.07,-0.07,0.01,-0.11,0.09,-0,0.02,-0.06,0.04,0.02
10,Other Non Operating Income (Expenses),0.08,0.1,0.08,0,0.14,0.68,0.07,0.06,0.06,0.07
11,EBT Excluding Unusual Items,-1.56,-2.84,-1.63,-1.68,-0.68,-0.28,0.26,0.41,-0.3,3.05
12,Gain (Loss) on Sale of Investments,-,-,-6.42,-,-,-,-,-,-,-
13,Gain (Loss) on Sale of Assets,-,-,-,-,-0.01,-,-,0,-,-
14,Asset Writedown,-,0.44,-,0.3,-,-,-,-0.15,-,-
15,Other Unusual Items,0.01,0,0.03,0.01,0.01,0.02,0.09,0.11,0.21,-1.52
16,Pretax Income,-1.55,-2.39,-8.02,-1.37,-0.69,-0.26,0.35,0.37,-0.1,1.53
17,Income Tax Expense,-,0.17,-,-0.19,-,-0.12,0.09,0.1,-,0.4
18,Net Income,-1.55,-2.56,-8.02,-1.18,-0.69,-0.14,0.26,0.27,-0.1,1.13
19,Net Income to Common,-1.55,-2.56,-8.02,-1.18,-0.69,-0.14,0.26,0.27,-0.1,1.13
20,Net Income Growth,-,-,-,-,-,-,-,-76.16%,-,-50.63%
21,Shares Outstanding (Basic),450,450,450,450,450,450,450,450,450,450
22,Shares Outstanding (Diluted),450,450,450,450,450,450,450,450,450,450
23,EPS (Basic),-0.00,-0.01,-0.02,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00
24,EPS (Diluted),-0.00,-0.01,-0.02,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00
25,EPS Growth,-,-,-,-,-,-,-,-76.17%,-,-50.63%
26,Free Cash Flow,-2.14,-2.06,-1.34,-1.69,-0.47,-0.08,-0.05,-0.43,1.46,0.85
27,Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00
28,Operating Margin,-125.96%,-249.18%,-22.64%,-13.19%,-21.31%,-16.61%,4.29%,11.22%,-17.69%,34.09%
29,Profit Margin,-112.29%,-218.99%,-101.49%,-9.81%,-16.01%,-2.39%,6.43%,7.50%,-3.68%,13.42%
30,Free Cash Flow Margin,-154.56%,-175.60%,-16.93%,-14.06%,-10.95%,-1.38%,-1.30%,-11.96%,56.13%,10.08%
31,EBITDA,-1.66,-2.84,-1.72,-1.52,-0.84,-0.88,0.25,0.49,-0.35,2.99
32,D&A For EBITDA,0.08,0.08,0.07,0.07,0.07,0.08,0.08,0.09,0.11,0.13
33,EBIT,-1.74,-2.92,-1.79,-1.59,-0.92,-0.95,0.17,0.4,-0.46,2.86
34,Advertising Expenses,0.01,-,0.01,-,0.01,-,0,-,0.01,-
