,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+13 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+13 Quarters
0,Cash & Equivalents,291.99,291.99,510.04,510.04,4933,29610,13260,-,622.17,3308,872.18,3502,25054,5513,4791,25175,26214,3466,3225,1460,Upgrade
1,Short-Term Investments,-,-,-,-,8645,18780,34380,-,44700,42048,38137,34900,13600,32100,61700,41700,12000,42100,-,-,Upgrade
2,Cash & Short-Term Investments,291.99,291.99,510.04,510.04,13578,48390,47640,45322,45322,45356,39009,38402,38654,37613,66491,66875,38214,45566,3225,1460,Upgrade
3,Cash Growth,-97.85%,-99.40%,-98.93%,-98.87%,-70.04%,6.69%,22.13%,18.02%,17.25%,20.59%,-41.33%,-42.58%,1.15%,-17.45%,1961.70%,4479.72%,-23.84%,-27.22%,-93.41%,-97.98%,Upgrade
4,Accounts Receivable,-,-,-,-,-,451.34,2402,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
5,Other Receivables,1138,1138,13577,13577,328.67,923.78,759.12,-,746.85,349.24,97.5,555.51,92.85,10147,599.47,126.8,8108,125.1,49354,52054,Upgrade
6,Receivables,13999,13999,13577,13577,328.67,1375,3161,-,746.85,349.24,97.5,555.51,92.85,10147,599.47,126.8,8108,125.1,49354,52054,Upgrade
7,Inventory,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
8,Prepaid Expenses,1.1,1.1,1.1,1.1,1.68,18.2,19.62,-,33.39,40.02,44.66,-,-,-,0.35,-,-,-,-,-,Upgrade
