,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+13 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+13 Quarters
0,Revenue,-,-,-,-,-,3733,2183,1092,-,-,-,-,-,-,-,5323,-,-,-,-,Upgrade
1,Cost of Revenue,-,-,-,-,-,3650,2138,1069,-,-,-,-,-,-,-,3747,-,-,-,-,Upgrade
2,Gross Profit,-,-,-,-,-,82.22,45.81,22.9,-,-,-,-,-,-,-,1576,-,-,-,-,Upgrade
3,"Selling, General & Admin",130.14,201.81,161.5,161.5,115.79,147.85,261.04,206.93,165.89,164.04,187.5,224.49,199.53,268.69,267.45,204.1,469.21,457.61,561.59,669.43,Upgrade
4,Operating Expenses,130.14,201.81,161.5,161.5,115.79,147.85,261.04,206.93,165.89,164.04,187.5,224.49,199.53,268.69,267.45,204.1,469.21,457.61,561.59,669.43,Upgrade
5,Operating Income,-130.14,-201.81,-161.5,-161.5,-115.79,-65.64,-215.23,-184.02,-165.89,-164.04,-187.5,-224.49,-199.53,-268.69,-267.45,1372,-469.21,-457.61,-561.59,-669.43,Upgrade
6,Interest Expense,-69.41,-,-55.43,-55.43,-,-,-,-,-,-61.15,-139.62,-155.18,-100.82,-23.01,-,-,-,-,-,-,Upgrade
7,Interest & Investment Income,293.18,293.5,340.26,340.26,403.2,927.86,1071,1022,882.1,3683,611.31,764.24,1700,942.78,787.16,2807,412.34,866.87,36.11,1472,Upgrade
8,Earnings From Equity Investments,174.96,87.48,-86.77,-86.77,414.13,-,-,-,-,-,-459.83,-,-,-,-3900,-1.65,-7.62,34.77,-,-,Upgrade
9,Other Non Operating Income (Expenses),-,-34.72,-79.07,-79.07,-2146,-0,3700,1593,-1493,-9.18,55.64,-64.33,-3332,-5.01,323.99,424.09,-111.98,-105.73,-,-186.82,Upgrade
10,Pretax Income,268.59,144.45,-42.51,-42.51,-1444,862.22,4557,2431,-776.67,3449,-119.99,320.24,-1932,646.07,-3057,4601,-176.47,338.29,-525.48,616.14,Upgrade
11,Income Tax Expense,58.89,29.45,47.85,47.85,-313.3,-,-34.33,-158.44,61.16,-,-,-,-,-,1195,-,-107.01,107.01,-,-,Upgrade
12,Net Income,209.7,115.01,-90.36,-90.36,-1131,862.22,4591,2589,-837.84,3449,-119.99,320.24,-1932,646.07,-4252,4601,-69.46,231.29,-525.48,616.14,Upgrade
13,Net Income to Common,209.7,115.01,-90.36,-90.36,-1131,862.22,4591,2589,-837.84,3449,-119.99,320.24,-1932,646.07,-4252,4601,-69.46,231.29,-525.48,616.14,Upgrade
14,Net Income Growth,-,-86.66%,-,-,-,-75.00%,-,708.44%,-,433.81%,-,-93.04%,-,179.34%,-,646.77%,-,-96.97%,-,-,Upgrade
15,Shares Outstanding (Basic),12,13,11,11,11,11,11,11,11,11,12,11,11,11,11,11,12,12,11,11,Upgrade
16,Shares Outstanding (Diluted),12,13,11,11,11,11,11,11,11,11,12,11,11,11,11,11,12,12,11,11,Upgrade
17,Shares Change (YoY),1.99%,17.70%,-0.85%,-0.97%,-0.47%,-0.33%,-5.06%,-0.28%,0.38%,0.42%,5.27%,0.42%,-1.24%,-1.99%,-0.22%,-0.18%,2.14%,1.51%,0.25%,0.10%,Upgrade
18,EPS (Basic),18.00,8.61,-8.00,-8.00,-99.00,76.00,403.00,227.00,-73.00,303.00,-10.00,28.00,-169.00,57.00,-373.00,404.00,-6.00,20.00,-46.00,54.00,Upgrade
19,EPS (Diluted),18.00,8.61,-8.00,-8.00,-99.00,76.00,403.00,227.00,-73.00,303.00,-10.00,28.00,-169.00,57.00,-373.00,404.00,-6.00,20.00,-46.00,54.00,Upgrade
20,EPS Growth,-,-88.67%,-,-,-,-74.92%,-,710.71%,-,431.58%,-,-93.07%,-,185.00%,-,648.15%,-,-97.02%,-,-,Upgrade
21,Free Cash Flow,-4168,-4168,4074,4074,-,14532,722.59,722.59,-2866,3453,-700.03,415.56,19541,-290.91,-688.26,-275.51,42335,6691,1757,-,Upgrade
22,Free Cash Flow Per Share,-357.76,-312.14,360.67,360.67,-,1280.90,63.43,63.36,-249.70,303.41,-58.34,36.33,1709.05,-25.67,-60.38,-24.19,3656.85,578.59,153.85,-,Upgrade
23,Gross Margin,-,-,-,-,-,2.20%,2.10%,2.10%,-,-,-,-,-,-,-,29.61%,-,-,-,-,Upgrade
24,Operating Margin,-,-,-,-,-,-1.76%,-9.86%,-16.86%,-,-,-,-,-,-,-,25.77%,-,-,-,-,Upgrade
25,Profit Margin,-,-,-,-,-,23.10%,210.26%,237.15%,-,-,-,-,-,-,-,86.44%,-,-,-,-,Upgrade
26,Free Cash Flow Margin,-,-,-,-,-,389.32%,33.09%,66.19%,-,-,-,-,-,-,-,-5.18%,-,-,-,-,Upgrade
27,EBITDA,-130.14,-201.81,-156.82,-156.82,-95.56,-45.41,-209.62,-178.42,-154.67,-164.04,-181.89,-202.06,-199.53,-263.08,-261.84,1377,-428.97,-370.57,-458.85,-,Upgrade
28,EBITDA Margin,-,-,-,-,-,-1.22%,-9.60%,-16.34%,-,-,-,-,-,-,-,25.88%,-,-,-,-,Upgrade
29,D&A For EBITDA,-,-,4.67,4.67,20.23,20.23,5.61,5.61,11.21,-,5.61,22.43,-,5.61,5.61,5.61,40.24,87.04,102.74,-,Upgrade
30,EBIT,-130.14,-201.81,-161.5,-161.5,-115.79,-65.64,-215.23,-184.02,-165.89,-164.04,-187.5,-224.49,-199.53,-268.69,-267.45,1372,-469.21,-457.61,-561.59,-669.43,Upgrade
31,EBIT Margin,-,-,-,-,-,-1.76%,-9.86%,-16.86%,-,-,-,-,-,-,-,25.77%,-,-,-,-,Upgrade
32,Effective Tax Rate,21.93%,20.38%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.63%,-,-,Upgrade
33,Revenue as Reported,-,-,-,-,-,3733,2183,1092,-,-,-,-,-,-,-,5323,-,-,-,-,Upgrade
