,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,114.38,119.95,125.11,147.89,151.83,133.24,126.39,113.45,170.41,94.78,126.4,115.44,118.89,126.08,106.25
1,Other Revenue,-3.25,3.25,-,11.6,-4.24,4.24,-,12.79,-4.85,4.85,-,12.06,-6.97,6.97,-
2,Revenue,111.13,123.2,125.11,159.49,147.6,137.47,126.39,126.24,165.56,99.64,126.4,127.5,111.92,133.06,106.25
3,Revenue Growth (YoY),-24.70%,-10.38%,-1.02%,26.34%,-10.85%,37.97%,-0.01%,-0.99%,47.93%,-25.12%,18.97%,-,-,-,-
4,Cost of Revenue,73.45,85.31,81.56,110.23,91.46,88.53,81.89,83.43,110.8,68,85.93,87.54,77.39,91.47,72.05
5,Gross Profit,37.68,37.89,43.55,49.26,56.14,48.95,44.5,42.81,54.76,31.63,40.47,39.95,34.53,41.59,34.2
6,"Selling, General & Admin",8.68,8.86,7.54,9.93,7.93,7.93,6.62,7.97,6.24,5.08,5.82,3.59,4.07,5.38,3.37
7,Research & Development,6.22,7.02,7.35,4.99,7.73,5.67,5.63,6.53,5.3,5.15,6.02,4.5,4.97,6.13,4.9
8,Other Operating Expenses,-1.83,2.07,-1.8,-1.45,0.28,0.66,-0.59,0.64,0.99,0.14,0.62,2.93,-0.5,0.61,-0.27
9,Operating Expenses,12.78,18.2,11.83,14.06,15.63,14.12,12.85,14.48,12.51,10.49,12.74,11.24,9.17,11.34,7
10,Operating Income,24.91,19.68,31.72,35.2,40.51,34.82,31.65,28.33,42.25,21.15,27.73,28.71,25.36,30.25,27.19
11,Interest Expense,-0.03,-0.03,-0.01,-0,-,-,-,-,-,-,-,-,-,-0.05,-0.11
12,Interest & Investment Income,9.24,10.56,4.68,4.78,6.29,10.94,3.66,5.58,4.52,4.1,1.46,0.6,0.61,0.58,0.26
13,Currency Exchange Gain (Loss),0.22,-0.22,-,0.87,-1.22,1.22,-,1.35,-0.83,0.83,-,1.59,-0.87,0.87,-
14,Other Non Operating Income (Expenses),-0.61,0.04,-0.11,-1.29,1.23,0.18,-0.24,-1.34,1.55,-0.49,0.19,-0.84,0.89,-0.98,0.81
15,EBT Excluding Unusual Items,33.72,30.04,36.28,39.56,46.82,47.17,35.07,33.93,47.49,25.58,29.38,30.07,25.99,30.67,28.15
16,Gain (Loss) on Sale of Investments,-0.73,0.1,2.32,2.78,0.67,-1.08,1.59,1.97,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-0.13,-,-,-,-,-,-,0.03,-,-,-,-,-,-
18,Asset Writedown,-0.39,0.05,-0.06,-0.29,0.17,-0.4,-0.02,0.17,-0.17,-0.02,0.02,0.09,-0.15,0.14,-0.29
19,Other Unusual Items,-2.01,1.88,-0.01,0.85,-0.45,-0,-,0.16,-,-,-,2.82,-,-,-
20,Pretax Income,30.59,31.93,38.54,42.89,47.2,45.69,36.63,36.22,47.34,25.56,29.41,32.98,25.85,30.82,27.86
21,Income Tax Expense,3.09,3.32,5.87,5.84,6.43,5.85,5.5,3.2,5.91,3.83,4.41,4.34,2.94,4.66,4.2
22,Earnings From Continuing Operations,27.5,28.61,32.67,37.05,40.78,39.84,31.13,33.02,41.43,21.73,25,28.64,22.9,26.16,23.65
23,Minority Interest in Earnings,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,27.51,28.61,32.67,37.05,40.78,39.84,31.13,33.02,41.43,21.73,25,28.64,22.9,26.16,23.65
25,Net Income to Common,27.51,28.61,32.67,37.05,40.78,39.84,31.13,33.02,41.43,21.73,25,28.64,22.9,26.16,23.65
26,Net Income Growth,-32.53%,-28.17%,4.95%,12.20%,-1.58%,83.36%,24.54%,15.31%,80.90%,-16.95%,5.67%,-,-,-,-
27,Shares Outstanding (Basic),115,119,117,119,117,117,115,118,118,114,98,89,88,87,88
28,Shares Outstanding (Diluted),115,119,117,119,117,117,115,118,118,114,98,89,88,87,88
29,Shares Change (YoY),-1.48%,1.40%,1.20%,1.03%,-1.43%,3.07%,17.07%,33.14%,35.01%,30.66%,12.08%,-,-,-,-
30,EPS (Basic),0.24,0.24,0.28,0.31,0.35,0.34,0.27,0.28,0.35,0.19,0.25,0.32,0.26,0.30,0.27
31,EPS (Diluted),0.24,0.24,0.28,0.31,0.35,0.34,0.27,0.28,0.35,0.19,0.25,0.32,0.26,0.30,0.27
32,EPS Growth,-31.52%,-29.17%,3.70%,11.05%,-0.16%,77.90%,6.38%,-13.39%,33.99%,-36.44%,-5.72%,-,-,-,-
33,Free Cash Flow,4.42,19.35,26.71,44.14,18.83,30.81,19.44,69.75,20.46,4.31,5.85,31.35,9.26,16.65,14.72
