,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2882,2662,2654,2734,3303,3641,3521,3639,3218,3226,2890,2924,-,-,-,-
1,Market Cap Growth,-26.89%,-26.89%,-24.63%,-24.86%,2.63%,12.88%,21.82%,24.44%,-,-,-,-,-,-,-,-
2,Enterprise Value,2350,1522,1871,1762,2331,2578,2493,2652,2232,2258,1882,2771,-,-,-,-
3,Last Close Price,24.79,22.78,22.50,22.62,27.33,30.13,29.13,29.63,26.21,26.27,23.53,23.35,-,-,-,-
4,PE Ratio,23.14,21.15,19.08,18.19,22.20,25.15,24.21,28.58,26.56,27.62,29.41,28.47,-,-,-,-
5,Forward PE,-,14.33,14.26,15.08,18.82,20.75,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,5.61,5.13,4.78,4.80,5.78,6.77,6.34,7.03,6.22,6.21,6.21,5.86,-,-,-,-
7,PB Ratio,2.05,1.89,1.89,1.90,2.35,2.66,2.65,2.71,2.45,2.52,2.33,2.30,-,-,-,-
8,P/TBV Ratio,1.91,1.91,1.90,1.91,2.37,2.68,2.67,2.73,2.47,2.54,2.36,2.32,-,-,-,-
9,P/FCF Ratio,30.46,28.13,24.34,22.69,29.17,26.23,25.06,31.93,32.07,52.05,56.92,46.33,-,-,-,-
10,P/OCF Ratio,20.41,20.41,17.66,15.86,20.19,18.33,18.17,23.55,22.46,34.01,34.62,30.01,-,-,-,-
11,EV/Sales Ratio,4.53,2.93,3.37,3.09,4.08,4.80,4.49,5.12,4.31,4.35,4.04,5.55,-,-,-,-
12,EV/EBITDA Ratio,18.06,11.70,12.92,11.05,14.70,17.09,16.39,19.28,16.76,16.97,16.23,22.23,-,-,-,-
13,EV/EBIT Ratio,21.51,13.65,14.72,12.39,16.39,19.05,18.19,21.49,18.68,18.84,18.28,24.72,-,-,-,-
14,EV/FCF Ratio,24.83,16.09,17.17,14.62,20.59,18.57,17.75,23.27,22.23,36.43,37.06,43.90,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,0.03
16,Debt / EBITDA Ratio,0.04,0.04,0.05,0.01,0.00,-,-,-,-,-,-,-,-,-,-,0.08
17,Debt / FCF Ratio,0.05,0.05,0.05,0.01,0.01,-,-,-,-,-,-,-,-,-,-,0.68
18,Asset Turnover,0.28,0.31,0.31,0.41,0.39,0.37,0.34,0.35,0.48,0.29,0.53,-,-,-,-,
19,Inventory Turnover,3.39,2.84,3.30,3.13,4.39,3.67,3.57,3.14,2.96,3.79,2.38,3.14,-,-,-,-
20,Quick Ratio,4.57,4.57,8.21,5.86,7.41,7.68,7.91,8.46,8.55,9.16,9.35,9.84,2.44,-,1.96,-
21,Current Ratio,9.34,9.34,8.87,9.05,8.03,9.20,8.61,9.69,9.37,10.12,10.37,10.84,3.39,-,2.89,-
22,Return on Equity (ROE),7.81%,8.04%,9.18%,10.67%,12.08%,11.92%,9.38%,10.19%,13.16%,6.93%,11.92%,-,-,31.62%,-,
23,Return on Assets (ROA),3.97%,3.10%,4.97%,5.66%,6.73%,5.86%,5.38%,4.95%,7.64%,3.85%,7.25%,-,-,-,-,
24,Return on Capital (ROIC),4.41%,3.45%,5.57%,6.33%,7.50%,6.51%,5.96%,5.46%,8.39%,4.21%,8.26%,-,-,22.51%,-,
25,Return on Capital Employed (ROCE),7.71%,7.87%,8.98%,9.84%,10.07%,9.85%,10.28%,9.16%,9.08%,9.36%,8.31%,8.81%,27.30%,-,16.09%,-
26,Earnings Yield,4.37%,4.73%,5.24%,5.50%,4.50%,3.98%,4.13%,3.50%,3.77%,3.62%,3.40%,3.51%,-,-,-,-
27,FCF Yield,3.28%,3.55%,4.11%,4.41%,3.43%,3.81%,3.99%,3.13%,3.12%,1.92%,1.76%,2.16%,-,-,-,-
28,Dividend Yield,1.18%,-,2.89%,-,1.83%,-,-,-,1.76%,-,-,-,-,-,-,-
29,Payout Ratio,59.97%,61.75%,204.36%,-,-,-,135.55%,-,-,-,248.55%,-,-,0.76%,-,-
30,Buyback Yield / Dilution,-0.54%,1.48%,-1.40%,-1.20%,-1.03%,1.43%,-3.07%,-17.07%,-33.14%,-35.01%,-30.66%,-12.08%,-,-,-,-
31,Total Shareholder Return,0.64%,1.48%,1.48%,-1.20%,0.80%,1.43%,-3.07%,-17.07%,-31.38%,-35.01%,-30.66%,-12.08%,-,-,-,-
