,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,130.31,177.33,207.01,131.32,239.17,341.84,324.04,259.38,390.81,536.81,748.24,153.58,-,126.52,-
1,Short-Term Investments,-,631.79,-,408.85,-,93.32,-,61.92,-,-,-,-,-,-,-
2,Trading Asset Securities,409.42,335.74,575.86,603.96,733.15,627.48,703.56,731.97,596,431,260,-,-,-,-
3,Cash & Short-Term Investments,539.73,1145,782.87,1144,972.31,1063,1028,1053,986.81,967.81,1008,153.58,-,126.52,92.81
4,Cash Growth,-44.49%,7.74%,-23.82%,8.63%,-1.47%,9.80%,1.92%,585.80%,-,664.95%,986.37%,-,-,-,-
5,Accounts Receivable,139.5,147.34,144.35,163.55,157.72,156.26,133.62,139.82,163.23,138.48,131.75,133.74,-,120.68,-
6,Other Receivables,0.74,0.75,0.32,0.33,0.25,0.24,0.28,0.26,0.25,0.21,0.21,0.2,-,0.06,-
7,Receivables,140.24,148.09,144.67,163.88,157.97,156.51,133.9,140.09,163.48,138.69,131.96,133.94,-,120.73,-
8,Inventory,107.42,99.61,106.92,101.46,99.34,100,98.47,110.44,115.24,118.8,109.76,109.17,-,112.16,-
9,Other Current Assets,600.4,4.35,397.17,7.01,124.24,8.06,70.02,4.13,5.56,2.45,5.22,3.57,-,5.55,-
10,Total Current Assets,1388,1397,1432,1416,1354,1327,1330,1308,1271,1228,1255,400.27,-,364.97,-
11,"Property, Plant & Equipment",148.21,151.3,148.34,146.79,142.73,134.53,130.33,120.82,106.74,105.59,106.87,101.79,-,93.12,-
12,Other Intangible Assets,11.98,12.1,11.61,11.85,11.61,11.81,12.01,11.77,11.95,12.16,11.5,11.66,-,11.83,-
13,Long-Term Deferred Tax Assets,1.75,1.86,1.16,1.36,1.06,1.28,1.27,1.12,1.18,1.22,1.32,1.29,-,1.36,-
14,Long-Term Deferred Charges,11.88,9.6,9.43,9.68,8.46,7.58,8.1,7.54,8.34,8.42,9.16,9.45,-,7.01,-
15,Other Long-Term Assets,3.44,1.23,0.98,2.24,3.06,4.64,2.7,6.18,6.92,2.4,3.26,1.9,-,4.76,-
16,Total Assets,1565,1573,1603,1588,1521,1487,1484,1455,1406,1358,1387,526.36,-,483.06,-
17,Accounts Payable,131.01,141.1,143.45,154.54,128.95,138.16,123.09,127,108.04,104.88,105.65,103.72,-,110.78,-
18,Accrued Expenses,9.85,9.65,8.27,14.35,7.69,7.66,5.39,9.87,7.84,7.33,4.06,9.29,-,7.57,-
19,Current Portion of Leases,1.8,1.78,0.28,0.27,-,-,-,-,-,-,-,-,-,-,-
20,Current Income Taxes Payable,3.92,2.98,4.37,5.22,8.75,6.03,7.09,0.9,8.23,3.77,4.57,3.75,-,4.33,-
21,Current Unearned Revenue,1.99,1.86,1.56,1.55,1.61,2.04,1.52,1.51,1.35,2.11,1.27,0.88,-,1.12,-
22,Other Current Liabilities,0.09,0.19,0.3,0.52,0.16,0.31,0.14,0.24,0.13,0.26,0.26,0.26,-,2.3,-
23,Total Current Liabilities,148.65,157.57,158.22,176.45,147.16,154.21,137.23,139.52,125.6,118.36,115.82,117.91,-,126.09,-
24,Long-Term Leases,2.76,3.21,0.5,0.5,-,-,-,-,-,-,-,-,-,-,-
25,Long-Term Deferred Tax Liabilities,3.63,3.72,3.22,2.89,2.17,2.11,2.32,2.13,-,-,-,-,-,-,-
26,Other Long-Term Liabilities,1.16,1.13,1.14,1.16,1.12,1.17,1.11,1.1,1.03,1.04,1.05,1.07,-,1.14,-
27,Total Liabilities,156.2,165.64,163.08,181.01,150.45,157.49,140.66,142.75,126.63,119.4,116.86,118.98,-,127.22,-
28,Common Stock,117,117,117,117,117,117,90,90,90,90,90,67.5,-,67.5,-
29,Additional Paid-In Capital,867.59,867.59,867.59,867.59,867.59,867.59,894.59,894.59,894.59,894.59,894.59,79.04,-,79.04,-
30,Retained Earnings,435.62,425.61,455.47,422.8,385.75,344.98,359.14,328.01,294.99,253.56,285.83,260.83,-,209.29,-
31,Treasury Stock,-14.34,-2.83,-,-,-,-,-,-,-,-,-,-,-,-,-
32,Total Common Equity,1406,1407,1440,1407,1370,1330,1344,1313,1280,1238,1270,407.38,-,355.84,306.02
33,Minority Interest,2.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Shareholders' Equity,1409,1407,1440,1407,1370,1330,1344,1313,1280,1238,1270,407.38,-,355.84,306.02
35,Total Liabilities & Equity,1565,1573,1603,1588,1521,1487,1484,1455,1406,1358,1387,526.36,-,483.06,-
36,Total Debt,4.56,4.99,0.77,0.77,-,-,-,-,-,-,-,-,-,-,10.01
37,Net Cash (Debt),535.17,1140,782.09,1143,972.31,1063,1028,1053,986.81,967.81,1008,153.58,-,126.52,82.8
38,Net Cash Growth,-44.96%,7.27%,-23.89%,8.55%,-1.47%,9.80%,1.92%,585.80%,-,664.95%,1117.75%,-,-,-,-
39,Net Cash Per Share,4.66,9.58,6.70,9.57,8.34,9.05,8.91,8.91,8.35,8.50,10.24,1.73,-,1.45,0.94
40,Filing Date Shares Outstanding,116.25,116.85,117,117,117,117,117,117,117,117,117,87.75,87.55,87.75,87.87
41,Total Common Shares Outstanding,116.25,116.85,117,117,117,117,117,117,117,117,117,87.75,87.55,87.75,87.87
42,Working Capital,1239,1239,1273,1240,1207,1173,1193,1168,1145,1109,1139,282.36,-,238.88,-
43,Book Value Per Share,12.09,12.04,12.31,12.03,11.71,11.36,11.48,11.22,10.94,10.58,10.86,4.64,-,4.06,3.49
44,Tangible Book Value,1394,1395,1428,1396,1359,1318,1332,1301,1268,1226,1259,395.72,-,344,293.87
45,Tangible Book Value Per Share,11.99,11.94,12.21,11.93,11.61,11.26,11.38,11.12,10.83,10.48,10.76,4.51,-,3.92,3.35
46,Buildings,-,37.83,-,37.83,-,37.83,-,37.83,-,37.23,-,37.23,-,37.23,-
47,Machinery,-,182.71,-,174.85,-,156.05,-,139.68,-,120.16,-,112.55,-,98.07,-
48,Construction In Progress,-,17.47,-,15.62,-,14.95,-,9.58,-,8.03,-,5.02,-,4.69,-
