,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+14 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+14 Quarters
0,Cash & Equivalents,1167,1167,1016,-,436.04,421.53,891.84,1113,375.3,-,1714,-,4244,4244,2195,-,924.66,239.55,8692,2462,Upgrade
1,Short-Term Investments,26107,26107,27417,-,24837,23006,21526,17964,17849,-,19897,-,22124,22124,23568,-,23034,20930,20999,22734,Upgrade
2,Cash & Short-Term Investments,27274,27274,28433,25273,25273,23427,22418,19077,18224,-,21611,-,26368,26368,25763,23958,23958,21169,29690,25196,Upgrade
3,Cash Growth,7.92%,16.42%,26.83%,32.47%,38.68%,-,3.73%,-,-30.89%,-,-16.12%,-,10.06%,24.56%,-13.23%,-4.91%,120.98%,-3.99%,-,67.65%,Upgrade
4,Accounts Receivable,5408,5408,1847,-,-,633,2350,4466,12621,-,8908,-,14004,14004,12110,-,18220,1556,10,1623,Upgrade
5,Other Receivables,2709,2709,153.23,-,1798,1740,3525,1025,725.46,-,6504,-,1639,1639,5611,-,504.21,452.48,656.52,322.93,Upgrade
6,Receivables,8117,8117,2000,-,1798,2373,5875,5491,13347,-,15411,-,15643,15643,17721,-,18724,2008,666.52,1945,Upgrade
7,Inventory,61529,61529,62845,-,50651,60059,58326,56267,62969,-,57802,-,30064,30064,27749,-,30008,64334,35045,29945,Upgrade
8,Other Current Assets,15685,15685,9124,-,9718,4565,5190,4972,6293,-,12310,-,11636,11636,6855,-,4917,4890,7110,3449,Upgrade
9,Total Current Assets,112606,112606,102402,-,87440,90424,91809,85807,100833,-,107134,-,83711,83711,78088,-,77609,92402,72512,60534,Upgrade
10,"Property, Plant & Equipment",6817,6817,7262,-,7707,7355,7564,7772,7698,-,137.51,-,282.02,282.02,498.92,-,715.83,824.29,932.74,1041,Upgrade
11,Long-Term Investments,39523,39523,48397,-,48397,48397,48397,48397,48397,-,48397,-,49670,49670,51556,-,54655,54655,54655,54655,Upgrade
12,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,-,3500,3500,2000,-,-,-,-,-,Upgrade
13,Other Long-Term Assets,-,-,4086,-,4086,4086,4086,4086,1156,-,1153,-,179.95,179.95,216.84,-,4042,4695,625.47,533.35,Upgrade
14,Total Assets,158945,158945,162147,-,147630,150263,151856,146062,158083,-,156821,-,137342,137342,132360,-,137022,152577,128725,116764,Upgrade
15,Accounts Payable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,781.01,-,1535,601.67,-,-,Upgrade
16,Accrued Expenses,558.16,558.16,450.19,-,460.48,315.19,434.41,315.19,449.74,-,440.34,-,471.91,471.91,446.04,-,454.46,315.19,439.85,440.89,Upgrade
17,Short-Term Debt,94848,94848,84200,-,73049,72848,72736,71810,86292,-,83453,-,64060,64060,59882,-,65239,72518,60710,47447,Upgrade
18,Current Income Taxes Payable,258.22,258.22,561.5,-,-,307.79,307.79,82.37,82.37,-,82.37,-,82.37,82.37,82.37,-,82.37,82.37,82.37,82.37,Upgrade
19,Current Unearned Revenue,1023,1023,1103,-,795.85,856.3,1103,1164,795.85,-,1090,-,707.36,707.36,1015,-,707.36,458.6,707.36,51.92,Upgrade
20,Other Current Liabilities,1177,1177,2595,-,1717,2672,4635,3453,1081,-,1810,-,853.24,853.24,1321,-,1193,11448,1458,1173,Upgrade
21,Total Current Liabilities,97865,97865,88910,-,76022,77000,79216,76824,88701,-,86876,-,66175,66175,63527,-,69211,85424,63398,49195,Upgrade
22,Long-Term Debt,126,126,210,-,294,294,294,294,378,-,-,-,-,-,-,-,-,-,-,-,Upgrade
23,Other Long-Term Liabilities,180,180,9423,-,9423,9423,9423,9423,9423,-,9423,-,9423,9423,9423,-,9423,9423,9423,9423,Upgrade
24,Total Liabilities,98171,98171,98543,-,85739,86716,88932,86541,98501,-,96298,-,75597,75597,72950,-,78634,94847,72820,58618,Upgrade
25,Common Stock,45611,45611,45611,-,45611,45611,45611,45611,45611,-,45611,-,45611,45611,45611,-,45611,45611,45611,45611,Upgrade
26,Additional Paid-In Capital,2.1,2.1,2.1,-,2.1,2.1,2.1,2.1,2.1,-,2.1,-,2.1,2.1,2.1,-,2.1,2.1,2.1,2.1,Upgrade
27,Retained Earnings,15068,15068,17898,-,16184,17840,17217,13815,13875,-,14817,-,16038,16038,13704,-,12681,12024,10198,12440,Upgrade
28,Comprehensive Income & Other,93.93,93.93,93.93,-,93.93,93.93,93.93,93.93,93.93,-,93.93,-,93.93,93.93,93.93,-,93.93,93.93,93.93,93.93,Upgrade
29,Shareholders' Equity,60774,60774,63604,61891,61891,63546,62923,59521,59582,-,60523,-,61745,61745,59410,58387,58388,57730,55905,58146,Upgrade
30,Total Liabilities & Equity,158945,158945,162147,-,147630,150263,151856,146062,158083,-,156821,-,137342,137342,132360,-,137022,152577,128725,116764,Upgrade
31,Total Debt,94974,94974,84410,73343,73343,73142,73030,72104,86670,-,83453,-,64060,64060,59882,65239,65239,72518,60710,47447,Upgrade
32,Net Cash (Debt),-67700,-67700,-55976,-48070,-48070,-49715,-50612,-53027,-68446,-,-61842,-,-37692,-37692,-34119,-41280,-41280,-51349,-31020,-22251,Upgrade
33,Net Cash Per Share,-24959.87,-24959.97,-12272.72,-10539.90,-10539.14,-10959.96,-11097.09,-,-,-,-13888.76,-,-8249.35,-8271.35,-7414.14,-9039.20,-9290.20,-11255.81,-6601.69,-4861.98,Upgrade
34,Filing Date Shares Outstanding,2.71,2.71,4.56,4.56,4.56,4.54,4.56,-,-,4.53,4.45,4.56,4.57,4.56,4.6,4.57,4.44,4.56,4.7,4.58,Upgrade
35,Total Common Shares Outstanding,2.71,2.71,4.56,4.56,4.56,4.54,4.56,-,-,4.53,4.45,4.56,4.57,4.56,4.6,4.57,4.44,4.56,4.7,4.58,Upgrade
36,Working Capital,14741,14741,13492,-,11417,13425,12593,8983,12132,-,20258,-,17536,17536,14561,-,8397,6978,9114,11339,Upgrade
37,Book Value Per Share,22406.51,22406.60,13945.07,13569.21,13569.21,14009.16,13796.54,-,-,-,13592.53,-,13513.68,13549.73,12909.94,13140.10,13140.19,12654.47,11897.82,12705.03,Upgrade
38,Tangible Book Value,60774,60774,63604,61891,61891,63546,62923,59521,59582,-,60523,-,61745,61745,59410,58387,58388,57730,55905,58146,Upgrade
39,Tangible Book Value Per Share,22406.51,22406.60,13945.07,13569.21,13569.21,14009.16,13796.54,-,-,-,13592.53,-,13513.68,13549.73,12909.94,13140.10,13140.19,12654.47,11897.82,12705.03,Upgrade
