,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,null null,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,2960,2353,2318,1810,3008,5998,4042,1396,1841,3042,-,1594,-,1768,1768
1,Short-Term Investments,-,-,-,200.62,-,500,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,102.95,100.98,106.77,505.86,1484,865.38,-,-,-,-,-,-,-,5.02,5.02
3,Cash & Short-Term Investments,3063,2454,2425,2516,4491,7364,4042,1396,1841,3042,1594,1594,-,1773,1773
4,Cash Growth,-31.81%,-66.67%,-40.00%,80.27%,143.96%,142.06%,153.59%,-12.42%,-,71.59%,-10.10%,-,-,-,-
5,Accounts Receivable,1520,1335,1370,1064,584.08,659.07,659.12,375.1,385.54,316.05,-,272.13,-,315.57,315.57
6,Other Receivables,34,3,20.49,1.03,20.81,2.95,17.22,0.94,33.83,35.22,-,31.2,-,2.28,2.28
7,Receivables,1554,1338,1391,1065,604.9,662.02,676.33,376.04,419.37,351.27,-,303.33,-,317.84,317.84
8,Inventory,1459,1678,2409,769.65,3,3.79,1.3,1.53,1.1,0.14,-,-,-,-,-
9,Prepaid Expenses,-,53.36,-,159.29,-,130.53,-,107.08,-,-,-,-,-,-,-
10,Other Current Assets,980.87,974.75,1060,514.1,907.1,504.45,1719,831,511.2,645.78,-,373.55,-,364.81,364.81
11,Total Current Assets,7057,6499,7285,5024,6006,8664,6439,2711,2773,4039,-,2271,-,2455,2455
12,"Property, Plant & Equipment",19296,18923,16859,16347,14578,13640,12845,11653,10449,9500,-,7454,-,6156,6156
13,Long-Term Investments,162.39,162.39,162.59,162.59,163.07,163.07,163.48,163.48,163.96,96.04,-,96.04,-,96.52,96.52
14,Goodwill,384.65,384.65,384.65,384.65,384.65,384.65,384.65,384.65,384.65,-,-,-,-,-,-
15,Other Intangible Assets,1269,1289,1297,1127,868.58,872.74,823.34,828.02,829.01,837.3,-,702.2,-,711.96,711.96
16,Long-Term Deferred Tax Assets,13.21,12.28,5.61,4.54,2.25,1.49,5.39,19.63,0.31,0.24,-,15.21,-,48.2,48.2
17,Long-Term Deferred Charges,0.02,0.03,0.04,0.05,0.07,0.08,0.09,0.1,-,-,-,-,-,-,-
18,Other Long-Term Assets,467.05,425.02,259.28,259.81,426.06,514.34,282.47,248.42,197.26,109.82,-,230.12,-,139.33,139.33
19,Total Assets,28649,27695,26254,23311,22429,24240,20943,16008,14797,14583,-,10768,-,9608,9608
20,Accounts Payable,1611,1808,1753,1969,1778,1474,1092,1098,885.2,1192,-,1368,-,198.11,198.11
21,Accrued Expenses,15.51,35.8,14.2,56.26,14.76,18.15,12.71,34.24,11.13,10.5,-,15.8,-,33.44,33.44
22,Short-Term Debt,200.19,200.19,200.22,100.11,200.21,200,-,-,-,-,-,-,-,-,-
23,Current Portion of Long-Term Debt,2214,1313,2029,1151,1514,1303,1353,1045,734.72,715.58,-,369.69,-,307.05,307.05
24,Current Portion of Leases,-,952.21,-,684.94,-,473.29,-,370.53,-,-,-,183.25,-,115.13,115.13
25,Current Income Taxes Payable,33.42,15.48,22.93,5,10.08,1.25,4.8,1.41,18.01,6.52,-,-,-,0,0
26,Current Unearned Revenue,-,-,-,17.88,-,-,-,-,-,-,-,-,-,-,-
27,Other Current Liabilities,158.76,461.66,242.56,317.29,941.72,263.87,256.07,257.39,350.46,15.44,-,4.84,-,870.03,870.03
28,Total Current Liabilities,4233,4786,4262,4302,4459,3734,2718,2807,2000,1940,-,1942,-,1524,1524
29,Long-Term Debt,11216,9393,8775,7601,7869,10049,8419,8117,7138,7316,-,4910,-,4600,4600
30,Long-Term Leases,3122,3319,3839,2526,1883,1979,1689,1783,1941,1966,-,1032,-,1029,1029
31,Long-Term Unearned Revenue,110.84,110.98,111.11,100.16,99.04,99.15,97.75,96.66,91.08,88.05,-,86.97,-,76.07,76.07
32,Long-Term Deferred Tax Liabilities,232.42,233.43,235.42,236.11,220.98,228.61,241.46,241.46,220.52,210.33,-,210.33,-,179.27,179.27
33,Total Liabilities,18914,17843,17222,14765,14530,16089,13164,13045,11390,11521,-,8181,-,7408,7408
34,Common Stock,1540,1540,1540,1540,1340,1340,744.28,640.16,640.17,562.13,-,562.13,-,562.13,562.13
35,Additional Paid-In Capital,5159,5148,4901,4889,5030,5030,5625,1244,1244,1322,-,1322,-,1322,1322
36,Retained Earnings,2752,2892,2618,2144,1502,1754,1382,1052,1495,1149,-,673.96,-,299.52,299.52
37,Treasury Stock,-52,-52,-52,-52,-,-,-,-,-,-,-,-,-,-,-
38,Total Common Equity,9399,9529,9007,8522,7872,8123,7751,2936,3378,3033,2558,2558,-,2183,2183
39,Minority Interest,335.51,323.66,24.86,23.87,26.61,27.79,28.23,27.97,28.38,28.81,-,29.21,-,16.8,16.8
40,Shareholders' Equity,9735,9852,9032,8546,7898,8151,7779,2964,3407,3062,2587,2587,-,2200,2200
41,Total Liabilities & Equity,28649,27695,26254,23311,22429,24240,20943,16008,14797,14583,-,10768,-,9608,9608
42,Total Debt,16752,15178,14843,12063,11466,14004,11460,11315,9814,9998,6495,6495,-,6051,6051
43,Net Cash (Debt),-13690,-12724,-12418,-9547,-6975,-6641,-7418,-9919,-7973,-6956,-4901,-4901,-,-4278,-4278
44,Net Cash Per Share,-8.01,-7.24,-7.33,-5.45,-4.19,-3.74,-4.50,-6.80,-5.43,-5.47,-3.78,-3.72,-,-4.23,-4.23
45,Filing Date Shares Outstanding,1709,1758,1694,1750,1666,1717,1649,1717,1152,1012,1295,1012,-,1012,1012
46,Total Common Shares Outstanding,1709,1758,1694,1750,1666,1717,1649,1152,1152,1012,1295,1012,-,1012,1012
47,Working Capital,2824,1713,3023,722.38,1548,4931,3721,-95.52,773.11,2099,-,329.02,-,931.68,931.68
48,Book Value Per Share,5.50,5.42,5.32,4.87,4.72,4.73,4.70,2.55,2.93,3.00,2.53,2.53,-,2.16,2.16
49,Tangible Book Value,7746,7855,7325,7010,6619,6866,6543,1723,2165,2195,1856,1856,-,1471,1471
50,Tangible Book Value Per Share,4.53,4.47,4.32,4.00,3.97,4.00,3.97,1.50,1.88,2.17,1.83,1.83,-,1.45,1.45
51,Buildings,-,6774,-,6401,-,4853,-,4357,-,-,-,3449,-,3292,3292
52,Machinery,-,5795,-,4265,-,3010,-,2663,-,-,-,2356,-,2193,2193
53,Construction In Progress,-,7908,-,6926,-,6864,-,5590,-,-,-,2352,-,1258,1258
