,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,null null,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,2835,2333,1242,1670,998.18,874.23,808.5,725.29,717.51,657.26,614.67,559.07,-,480.07,480.07
1,Revenue Growth (YoY),184.03%,166.86%,53.65%,130.23%,39.12%,33.01%,31.53%,29.73%,-,36.91%,28.04%,-,-,-,-
2,Cost of Revenue,2101,1685,654.21,900.08,523.47,441.47,372.49,344.13,336.59,307.42,284.75,251.3,-,215.49,215.49
3,Gross Profit,733.91,647.99,588.05,769.79,474.71,432.76,436.01,381.16,380.93,349.84,329.93,307.77,-,264.58,264.58
4,"Selling, General & Admin",52.03,41.59,40.11,48.29,39.3,40.32,42.8,37.42,29.4,29.94,28.31,24.74,-,21.85,21.85
5,Research & Development,42.4,25.22,37.64,38.98,21.64,10.47,30.14,26.92,23.74,23.94,22.2,21.15,-,12.77,12.77
6,Other Operating Expenses,-3.99,33.5,-12.95,13.1,-0.03,-14.92,2.62,-34.63,3.83,5.14,4.79,9.81,-,3.87,3.87
7,Operating Expenses,92.43,99.56,67.07,106.11,57.67,36.35,76.54,29.85,57.38,58.68,55.63,62.1,-,39.12,39.12
8,Operating Income,641.48,548.43,520.98,663.68,417.04,396.41,359.47,351.31,323.55,291.16,274.3,245.67,-,225.46,225.46
9,Interest Expense,-51.13,-50.81,-52.23,-69.19,-28.07,-27.67,-35.05,-33.27,-25.03,-26.39,-32.96,-23.57,-,-35.03,-35.03
10,Interest & Investment Income,4.28,15.71,6.59,0.44,51.76,23.12,19.14,3.09,80.79,11.79,9.74,4.63,-,9.69,9.69
11,Other Non Operating Income (Expenses),0.27,-0.39,-0.04,-0.58,0.08,-4.11,3.9,1.81,-0.98,-1.08,-0.42,10.06,-,4.23,4.23
12,EBT Excluding Unusual Items,594.9,512.95,475.3,594.35,440.81,387.75,347.46,322.93,378.33,275.46,250.66,236.79,-,204.35,204.35
13,Gain (Loss) on Sale of Investments,1.97,-6.45,1.58,25.33,-24.85,5.38,-,-,-,-,-,-,-,0.01,0.01
14,Gain (Loss) on Sale of Assets,0.44,-,-,2.52,2.8,-3.88,-1.43,-,-0.98,-0.27,-,-,-,-0.5,-0.5
15,Asset Writedown,-,-,-,1.48,-4.02,4.02,-,-0,-,-,-,-0,-,-,-
16,Other Unusual Items,-18.64,16.61,1.77,-0.42,-,-,-,-0.02,-,-,-,-0.51,-,0.27,0.27
17,Pretax Income,578.67,523.1,478.65,623.26,414.74,393.27,346.03,322.91,377.35,275.2,250.66,236.27,-,204.13,204.13
18,Income Tax Expense,29.82,25.6,3.42,-15.64,-2.05,21.26,16.02,-54.34,32.2,16.29,34.95,32.38,-,30.61,30.61
19,Earnings From Continuing Operations,548.85,497.5,475.23,638.9,416.79,372.01,330.02,377.24,345.15,258.91,215.71,203.89,-,173.52,173.52
20,Minority Interest in Earnings,-1.63,-5.21,-0.99,2.75,1.18,0.44,-0.26,0.4,0.44,0.2,0.2,0.66,-,0.23,0.23
21,Net Income,547.21,492.29,474.23,641.64,417.97,372.45,329.76,377.65,345.59,259.11,215.91,204.55,-,173.75,173.75
22,Net Income to Common,547.21,492.29,474.23,641.64,417.97,372.45,329.76,377.65,345.59,259.11,215.91,204.55,-,173.75,173.75
23,Net Income Growth,30.92%,32.18%,43.81%,69.91%,20.94%,43.74%,52.73%,84.62%,-,49.12%,24.26%,-,-,-,-
24,Shares Outstanding (Basic),1709,1758,1694,1750,1666,1777,1649,1460,1468,1272,1295,1317,-,1012,1012
25,Shares Outstanding (Diluted),1709,1758,1694,1750,1666,1777,1649,1460,1468,1272,1295,1317,-,1012,1012
26,Shares Change (YoY),2.54%,-1.04%,2.72%,19.92%,13.50%,39.62%,27.30%,10.81%,-,25.76%,28.01%,-,-,-,-
27,EPS (Basic),0.32,0.28,0.28,0.37,0.25,0.21,0.20,0.26,0.24,0.20,0.17,0.16,-,0.17,0.17
28,EPS (Diluted),0.32,0.28,0.28,0.37,0.25,0.21,0.20,0.26,0.24,0.20,0.17,0.16,-,0.17,0.17
29,EPS Growth,27.68%,33.56%,40.00%,41.68%,6.56%,2.95%,19.98%,66.61%,-,18.58%,-2.92%,-,-,-,-
30,Free Cash Flow,179.45,-572.27,-2669,-2182,44.62,-284.33,-1128,-844.35,-846.79,-224.1,-1130,-421.38,-,-392.98,-392.98
31,Free Cash Flow Per Share,0.11,-0.33,-1.58,-1.25,0.03,-0.16,-0.68,-0.58,-0.58,-0.18,-0.87,-0.32,-,-0.39,-0.39
32,Dividend Per Share,-,0.400,-,0.127,-,0.390,-,-,0.556,-,-,-,-,-,-
33,Dividend Growth,-,2.44%,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,25.89%,27.77%,47.34%,46.10%,47.56%,49.50%,53.93%,52.55%,53.09%,53.23%,53.68%,55.05%,-,55.11%,55.11%
35,Operating Margin,22.63%,23.51%,41.94%,39.74%,41.78%,45.34%,44.46%,48.44%,45.09%,44.30%,44.62%,43.94%,-,46.96%,46.96%
36,Profit Margin,19.30%,21.10%,38.18%,38.42%,41.87%,42.60%,40.79%,52.07%,48.16%,39.42%,35.13%,36.59%,-,36.19%,36.19%
37,Free Cash Flow Margin,6.33%,-24.53%,-214.83%,-130.66%,4.47%,-32.52%,-139.55%,-116.42%,-118.02%,-34.10%,-183.81%,-75.37%,-,-81.86%,-81.86%
38,EBITDA,729.47,703.75,608.97,751.67,483.82,472.38,426.25,418.08,381.28,355.65,332.03,303.4,-,280.72,280.72
39,EBITDA Margin,25.73%,30.16%,49.02%,45.01%,48.47%,54.03%,52.72%,57.64%,53.14%,54.11%,54.02%,54.27%,-,58.47%,58.47%
40,D&A For EBITDA,87.99,155.32,87.99,87.99,66.78,75.97,66.78,66.78,57.73,64.5,57.73,57.73,-,55.26,55.26
41,EBIT,641.48,548.43,520.98,663.68,417.04,396.41,359.47,351.31,323.55,291.16,274.3,245.67,-,225.46,225.46
42,EBIT Margin,22.63%,23.51%,41.94%,39.74%,41.78%,45.34%,44.46%,48.44%,45.09%,44.30%,44.62%,43.94%,-,46.96%,46.96%
43,Effective Tax Rate,5.15%,4.89%,0.71%,-,-,5.41%,4.63%,-,8.53%,5.92%,13.94%,13.71%,-,14.99%,14.99%
44,Revenue as Reported,2835,2333,1242,1670,998.18,874.23,808.5,725.29,717.51,657.26,614.67,559.07,-,480.07,480.07
