,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,null null,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,110863,55145,41208,53355,43651,41808,52814,64796,27117,34343,-,-,-,-,-,-
1,Market Cap Growth,31.90%,31.90%,-21.98%,-17.66%,60.97%,21.74%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,124889,68192,53651,60357,50653,48477,60260,72797,35118,41328,-,-,-,-,-,-
3,Last Close Price,64.40,31.67,23.54,30.48,24.93,23.55,29.75,36.50,22.76,22.00,-,-,-,-,-,-
4,PE Ratio,51.62,25.58,20.34,27.99,24.78,27.91,37.05,49.38,22.63,33.50,-,-,-,-,-,-
5,Forward PE,49.41,24.26,17.99,24.53,22.19,21.59,28.47,35.61,-,-,-,-,-,-,-,-
6,PS Ratio,13.77,6.82,6.60,11.15,10.03,12.27,16.90,22.28,9.99,13.48,-,-,-,-,-,-
7,PB Ratio,11.71,5.66,4.18,5.91,5.11,5.29,6.48,8.33,9.15,10.08,-,-,-,-,-,-
8,P/TBV Ratio,7.12,7.12,5.25,7.28,6.23,6.32,7.69,9.90,15.74,15.86,-,-,-,-,-,-
9,P/FCF Ratio,-,-10.52,-,-,-,-18.90,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,96.76,96.76,92.51,-,-,18.23,30.47,37.89,15.17,20.70,-,-,-,-,-,-
11,EV/Sales Ratio,15.46,8.44,8.59,12.61,11.64,14.23,19.28,25.03,12.94,16.22,-,-,-,-,-,-
12,EV/EBITDA Ratio,44.57,24.41,21.05,26.05,23.73,26.92,35.49,46.04,23.62,30.11,-,-,-,-,-,-
13,EV/EBIT Ratio,52.59,28.72,24.95,30.21,27.58,31.80,42.12,54.92,28.31,36.42,-,-,-,-,-,-
14,EV/FCF Ratio,-23.82,-13.01,-,-,-,-21.91,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,1.72,1.72,1.54,1.64,1.41,1.45,1.72,1.47,3.82,2.88,3.27,2.51,2.51,-,2.75,2.75
16,Debt / EBITDA Ratio,5.98,5.74,5.34,6.09,3.95,5.92,7.36,6.72,6.69,6.43,7.00,4.89,5.31,-,5.38,5.38
17,Debt / FCF Ratio,-,-3.19,-,-,-,-5.18,-,-,-,-,-,-,-,-,-,-
18,Asset Turnover,0.40,0.35,0.20,0.29,0.17,0.15,0.18,0.19,0.20,-,-,-,-,0.20,-,
19,Inventory Turnover,7.30,5.36,3.30,1.65,9.32,616.81,694.35,1052.11,1047.47,2179.30,-,-,-,-,-,-
20,Quick Ratio,1.09,1.09,0.79,0.90,0.83,1.14,2.15,1.74,0.63,1.13,1.75,-,0.98,-,1.37,1.37
21,Current Ratio,1.67,1.67,1.36,1.71,1.17,1.35,2.32,2.37,0.97,1.39,2.08,-,1.17,-,1.61,1.61
22,Return on Equity (ROE),22.42%,21.08%,21.63%,31.08%,20.77%,18.68%,24.58%,47.38%,42.69%,36.67%,33.35%,-,-,31.55%,-,
23,Return on Assets (ROA),5.69%,5.08%,5.26%,7.25%,4.47%,4.39%,4.86%,5.70%,5.51%,-,-,-,-,5.87%,-,
24,Return on Capital (ROIC),6.23%,5.61%,5.86%,8.30%,5.02%,4.79%,5.36%,6.39%,6.16%,6.57%,7.55%,-,-,6.83%,-,
25,Return on Capital Employed (ROCE),9.73%,9.73%,9.39%,9.09%,9.66%,8.48%,6.98%,7.27%,9.40%,8.87%,6.42%,-,7.89%,-,5.58%,2.79%
26,Earnings Yield,1.94%,3.91%,4.92%,3.57%,4.04%,3.58%,2.70%,2.02%,4.42%,2.99%,-,-,-,-,-,-
27,FCF Yield,-4.73%,-9.51%,-13.05%,-9.54%,-8.13%,-5.29%,-5.88%,-4.70%,-11.23%,-7.64%,-,-,-,-,-,-
28,Dividend Yield,0.79%,-,2.24%,-,2.07%,-,3.18%,-,-,2.53%,-,-,-,-,-,-
29,Payout Ratio,100.05%,197.88%,28.18%,30.28%,123.34%,26.82%,29.36%,42.00%,236.15%,54.12%,46.14%,39.62%,37.21%,-,48.84%,48.84%
30,Buyback Yield / Dilution,-5.49%,-2.54%,1.04%,-2.72%,-19.92%,-13.50%,-39.62%,-27.30%,-10.81%,-,-25.76%,-28.01%,-,-,-,-
31,Total Shareholder Return,-4.70%,-2.54%,3.27%,-2.72%,-17.85%,-13.50%,-36.44%,-27.30%,-10.81%,2.53%,-25.76%,-28.01%,-,-,-,-
