,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,279,275,403,510,702,1185,1422,1932,1148,893,1476,Upgrade
1,Market Cap Growth,-46.07%,-46.07%,-42.60%,-56.92%,-50.64%,-38.68%,23.81%,116.33%,-22.22%,-48.96%,26.56%,Upgrade
2,Enterprise Value,594,592,792,904,1205,1716,1895,8231,7142,7172,8169,Upgrade
3,Last Close Price,0.15,0.15,0.22,0.28,0.39,0.65,0.78,1.06,0.63,0.49,0.81,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,1.15,-,-,-,Upgrade
5,PS Ratio,0.24,0.23,0.29,0.26,0.32,0.53,0.17,0.13,0.08,0.06,0.10,Upgrade
6,PB Ratio,-0.37,-0.37,-0.58,-1.02,-1.42,-2.41,-3.03,-8.11,-0.35,-0.48,-1.12,Upgrade
7,P/FCF Ratio,21.36,-,61.66,-,-,-12.83,-,-,-,16.84,-57.58,Upgrade
8,P/OCF Ratio,9.90,-,19.70,-,-,-30.99,-,-,6.08,3.56,18.00,Upgrade
9,PEG Ratio,76.03,76.03,76.03,76.03,76.03,76.03,76.03,76.03,76.03,76.03,76.03,Upgrade
10,EV/Sales Ratio,0.50,0.50,0.56,0.46,0.56,0.77,0.22,0.55,0.47,0.47,0.54,Upgrade
11,EV/EBITDA Ratio,-,-4.85,-,35.05,37.63,-14.93,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-4.03,-,-4473.27,-,-9.13,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,45.46,-,121.26,-,-,-18.58,-,-,-,135.25,-318.57,Upgrade
14,Debt / Equity Ratio,-0.71,-0.71,-0.77,-1.06,-1.11,-1.17,-1.31,-2.56,-2.19,-3.56,-5.07,Upgrade
15,Debt / FCF Ratio,40.34,-,81.28,-,-,-6.22,-,-,-,124.79,-260.37,Upgrade
16,Earnings Yield,-49.31%,-49.96%,-36.65%,-4.82%,-2.14%,-20.11%,215.26%,86.78%,-175.84%,-436.69%,-266.89%,Upgrade
17,FCF Yield,4.68%,4.74%,1.62%,-6.56%,-2.30%,-7.80%,-14.84%,-11.97%,-6.37%,5.94%,-1.74%,Upgrade
