,Fiscal Quarter,Q3 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q4 2019,Q3 2019,Q4 2018,Q3 2018
,Period Ending,"Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018"
0,Revenue,320740,307722,287220,292922,319079,366450,389785,367283,402210,493416,322672
1,Revenue Growth (YoY),0.52%,-16.03%,-26.31%,-20.25%,-20.67%,-25.73%,20.80%,-,-,-,-
2,Cost of Revenue,295165,283816,-,215498,270292,-,379673,319978,375360,417150,301242
3,Gross Profit,25575,23906,287220,77423,48787,366450,10112,47306,26850,76266,21429
4,"Selling, General & Admin",7497,7527,-,5131,5100,-,3637,5778,4651,5624,4204
5,Other Operating Expenses,-,-,240480,-,-,246950,-,-,-,-,-
6,Operating Expenses,7497,7527,240480,5131,5100,246950,3637,5778,4651,5624,4204
7,Operating Income,18078,16379,46740,72292,43687,119500,6474,41528,22200,70642,17226
8,Interest Expense,-4438,-3471,-,-3906,-4228,-,-,-1670,-13442,-,-13537
9,Interest & Investment Income,7598,5467,-,7018,4118,-,29612,31935,12875,35437,11600
10,Other Non Operating Income (Expenses),199187,-5.63,-10,-166.54,-300.29,-10,9677,-3607,-320.83,4195,-14506
11,Pretax Income,220426,18369,46730,75238,43278,119490,45763,68186,21311,110275,781.79
12,Income Tax Expense,44123,3675,9340,15703,12420,23930,9201,13886,4304,25604,-2890
13,Net Income,176303,14694,37390,59535,30858,95560,36562,54301,17008,84670,3672
14,Net Income to Common,176303,14694,37390,59535,30858,95560,36562,54301,17008,84670,3672
15,Net Income Growth,471.35%,-84.62%,2.26%,9.64%,81.43%,12.86%,895.68%,-,-,-,-
16,Shares Outstanding (Basic),94,94,-,-,94,-,-,107,94,115,94
17,Shares Outstanding (Diluted),94,94,-,-,94,-,-,107,94,115,94
18,Shares Change (YoY),-0.09%,-,-,-,-0.13%,-,-,-,-,-,-
19,EPS (Basic),1870.00,156.00,-,-,327.00,-,-,506.59,180.00,734.99,39.00
20,EPS (Diluted),1870.00,156.00,-,-,327.00,-,-,506.59,180.00,734.99,39.00
21,EPS Growth,471.87%,-,-,-,81.67%,-,-,-,-,-,-
22,Free Cash Flow,-,157682,-,-,-42752,-,103081,-,-,-,-
23,Free Cash Flow Per Share,-,1673.99,-,-,-453.05,-,-,-,-,-,-
24,Gross Margin,7.97%,7.77%,100.00%,26.43%,15.29%,100.00%,2.59%,12.88%,6.68%,15.46%,6.64%
25,Operating Margin,5.64%,5.32%,16.27%,24.68%,13.69%,32.61%,1.66%,11.31%,5.52%,14.32%,5.34%
26,Profit Margin,54.97%,4.78%,13.02%,20.32%,9.67%,26.08%,9.38%,14.78%,4.23%,17.16%,1.14%
27,Free Cash Flow Margin,-,51.24%,-,-,-13.40%,-,26.45%,-,-,-,-
28,EBITDA,68173,66472,-,-,93133,196619,83593,118646,-,117880,64464
29,EBITDA Margin,21.25%,21.60%,-,-,29.19%,53.65%,21.45%,32.30%,-,23.89%,19.98%
30,D&A For EBITDA,50094,50094,-,-,49446,77119,77119,77119,-,47238,47238
31,EBIT,18078,16379,46740,72292,43687,119500,6474,41528,22200,70642,17226
32,EBIT Margin,5.64%,5.32%,16.27%,24.68%,13.69%,32.61%,1.66%,11.31%,5.52%,14.32%,5.34%
33,Effective Tax Rate,20.02%,20.01%,19.99%,20.87%,28.70%,20.03%,20.10%,20.36%,20.19%,23.22%,-
34,Revenue as Reported,320740,307722,-,292922,319079,-,389785,367283,402210,493416,322672
