,Fiscal Quarter,Current,Q3 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q4 2019,Q3 2019,Q4 2018,Q3 2018
,Period Ending,"Mar '25 Mar 12, 2025","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018"
0,Debt / Equity Ratio,0.86,0.28,0.32,0.39,0.39,-,-,-,0.86,0.99,0.94,-
1,Debt / EBITDA Ratio,2.57,1.68,1.90,-,-,-,-,-,2.39,-,2.52,-
2,Debt / FCF Ratio,-,-,4.39,-,-,-,-,-,-,-,-,-
3,Asset Turnover,-,-,-,-,-,-,-,0.54,-,-,-,
4,Inventory Turnover,138.63,-,-,-,-,-,-,-,135.69,-,-,-
5,Quick Ratio,1.11,2.22,2.30,-,2.13,-,-,-,1.11,1.47,1.67,-
6,Current Ratio,1.14,2.24,2.35,-,2.23,-,-,-,1.14,1.49,1.69,-
7,Return on Equity (ROE),-,-,10.41%,-,-,-,-,16.80%,-,-,-,
8,Return on Assets (ROA),-,-,-,-,-,-,-,3.85%,-,-,-,
9,Return on Capital (ROIC),-,-,5.85%,-,-,-,-,4.17%,-,-,-,
10,Return on Capital Employed (ROCE),6.95%,7.77%,9.36%,-,12.45%,-,-,-,7.93%,5.02%,4.08%,-
11,Payout Ratio,61.71%,-,0.50%,-,-,1.04%,-,0.07%,-,-,-,-
12,Buyback Yield / Dilution,-3.41%,0.09%,-,-,-,0.13%,-,-,-,-,-,-
13,Total Shareholder Return,1.41%,0.09%,-,-,-,0.13%,-,-,-,-,-,-
