,Fiscal Quarter,Q3 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q4 2019,Q3 2019,Q4 2018,Q3 2018
,Period Ending,"Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018"
0,Cash & Equivalents,661086,528692,-,483577,-,-,-,192056,364152,634347,-
1,Short-Term Investments,81100,51100,-,21100,-,-,-,408190,276600,141500,-
2,Cash & Short-Term Investments,742186,579792,504677,504677,-,-,-,600246,640752,775847,-
3,Cash Growth,-,-,-,-15.92%,-,-,-,-,-,-,-
4,Accounts Receivable,578950,374438,-,277626,-,-,-,160420,236059,350624,-
5,Other Receivables,95010,100664,-,86783,-,-,-,4496,8295,41247,-
6,Receivables,673960,475102,-,364408,-,-,-,164915,244354,391872,-
7,Inventory,7157,20601,-,27163,-,-,-,12457,6409,8456,-
8,Prepaid Expenses,971.37,806.87,-,1782,-,-,-,4484,6484,1001,-
9,Other Current Assets,2594,371.21,-,8891,-,-,-,36,80.77,5099,-
10,Total Current Assets,1426868,1076673,-,906920,-,-,-,782139,898079,1182274,-
11,"Property, Plant & Equipment",1158728,1258849,-,1398831,-,-,-,1780441,1867606,1652124,-
12,Other Intangible Assets,-,25,-,70,-,-,-,-,-,-,-
13,Long-Term Deferred Tax Assets,15998,25614,-,27306,-,-,-,32772,28676,16388,-
14,Other Long-Term Assets,10804,10804,-,17018,-,-,-,1906,2106,2706,-
15,Total Assets,2612399,2371965,-,2350145,-,-,-,2597258,2796467,2853492,-
16,Accounts Payable,225778,202841,-,99292,-,-,-,75371,114474,258967,-
17,Accrued Expenses,28546,31751,-,17222,-,-,-,23944,43876,86756,-
18,Short-Term Debt,205920,197946,-,148024,-,-,-,552260,340329,310182,-
19,Current Income Taxes Payable,72317,5433,-,10134,-,-,-,20623,8557,34081,-
20,Other Current Liabilities,104603,21034,-,132517,-,-,-,14324,96663,8007,-
21,Total Current Liabilities,637164,459005,-,407189,-,-,-,686523,603899,697994,-
22,Long-Term Debt,253176,306619,-,413928,-,-,-,583986,918205,877391,-
23,Other Long-Term Liabilities,79992,52976,-,92920,-,-,-,6453,8367,8367,-
24,Total Liabilities,970331,818600,-,914037,-,-,-,1276962,1530471,1583752,-
25,Common Stock,942750,942750,-,942750,-,-,-,942750,942750,942750,-
26,Retained Earnings,697443,608740,-,491484,-,-,-,375671,321371,325115,-
27,Comprehensive Income & Other,1875,1875,-,1875,-,-,-,1875,1875,1875,-
28,Shareholders' Equity,1642068,1553365,1436109,1436109,-,-,-,1320296,1265996,1269740,-
29,Total Liabilities & Equity,2612399,2371965,-,2350145,-,-,-,2597258,2796467,2853492,-
30,Total Debt,459095,504565,561952,561952,-,-,-,1136246,1258534,1187573,-
31,Net Cash (Debt),283091,75227,-57275,-57275,-,-,-,-536000,-617782,-411726,-
32,Net Cash Per Share,3002.67,798.63,-,-,-,-,-,-5000.56,-6538.25,-3574.05,-
33,Filing Date Shares Outstanding,94.28,94.2,-,-,94.37,-,-,107.19,94.49,115.2,94.16
34,Total Common Shares Outstanding,94.28,94.2,-,-,94.37,-,-,107.19,94.49,115.2,94.16
35,Working Capital,789705,617668,-,499732,-,-,-,95616,294180,484280,-
36,Book Value Per Share,17416.96,16490.89,-,-,-,-,-,12317.59,13398.58,11022.16,-
37,Tangible Book Value,1642068,1553340,1436039,1436039,-,-,-,1320296,1265996,1269740,-
38,Tangible Book Value Per Share,17416.96,16490.62,-,-,-,-,-,12317.59,13398.58,11022.16,-
39,Construction In Progress,-,-,-,115.7,-,-,-,-,-,-,-
