,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,314766,297279,341968,359455,357512,330310,285621,369170,308937,355569,528496,582900,380828,326424,281735,291450,374999,287564,291450,262305,297279,Upgrade
1,Market Cap Growth,-10.00%,-10.00%,19.73%,-2.63%,15.72%,-7.10%,-45.96%,-36.67%,-18.88%,8.93%,87.59%,100.00%,1.55%,13.51%,-3.33%,11.11%,26.14%,-10.30%,1.35%,-14.01%,-11.05%,Upgrade
2,Enterprise Value,952454,950599,894544,953306,958721,943498,820725,944391,893200,915527,985083,971570,852293,810171,678160,734083,826142,738707,796991,768190,863475,Upgrade
3,Last Close Price,16200.00,15300.00,17600.00,18399.46,18300.00,16907.61,14620.11,18309.79,15322.41,17635.22,26211.92,28367.10,18533.17,15885.58,13227.99,13684.13,17606.92,13501.68,13684.13,12315.72,13527.02,Upgrade
4,PE Ratio,78.03,73.66,137.93,191.33,174.79,130.45,27.07,31.84,20.42,23.51,88.79,78.22,105.15,20.83,15.86,17.76,22.25,20.38,17.36,14.05,13.25,Upgrade
5,PS Ratio,0.19,0.18,0.23,0.31,0.35,0.29,0.23,0.26,0.21,0.24,0.47,0.57,0.43,0.29,0.26,0.27,0.35,0.25,0.23,0.21,0.22,Upgrade
6,PB Ratio,1.02,0.97,1.11,1.16,1.15,1.06,0.92,1.14,0.96,1.08,1.65,1.82,1.21,1.03,0.89,0.93,1.13,-,0.93,0.81,0.92,Upgrade
7,P/TBV Ratio,0.97,0.97,1.11,1.16,1.16,1.07,0.92,1.15,0.96,1.08,1.66,1.83,1.21,1.03,0.89,0.93,1.13,-,0.94,0.81,0.92,Upgrade
8,P/FCF Ratio,-,-3.23,-,-5.20,-6.24,-,-,-4.34,-1.49,-,-,-,21.71,-,-,2.38,-,4.22,6.08,-,-,Upgrade
9,P/OCF Ratio,-,-3.24,-,-5.24,-6.31,-,-,-4.42,-1.50,-,-,-,20.60,-,-,1.93,-,2.99,4.59,-,-,Upgrade
10,EV/Sales Ratio,0.59,0.59,0.60,0.81,0.95,0.82,0.66,0.65,0.60,0.62,0.88,0.96,0.96,0.72,0.63,0.67,0.76,0.65,0.63,0.61,0.64,Upgrade
11,EV/EBITDA Ratio,13.28,13.24,11.92,14.52,12.82,11.68,8.78,9.22,8.62,9.06,12.53,11.91,11.74,9.22,7.44,8.18,9.06,8.40,8.42,8.25,9.38,Upgrade
12,EV/EBIT Ratio,21.08,21.00,18.58,24.68,20.21,17.73,14.56,13.80,12.88,13.79,20.59,20.65,22.44,15.21,12.13,13.44,14.81,12.82,12.18,11.24,11.88,Upgrade
13,EV/FCF Ratio,-10.35,-10.33,-,-13.80,-16.74,-,-,-11.10,-4.31,-,-,-,48.58,-,-,5.99,-,10.84,16.63,-,-,Upgrade
14,Debt / Equity Ratio,2.43,2.43,2.26,1.93,2.15,2.14,2.19,1.95,2.25,2.38,2.05,1.82,1.91,1.63,1.75,2.07,1.89,-,1.70,1.69,1.77,Upgrade
15,Debt / EBITDA Ratio,10.44,8.02,9.35,9.59,11.80,6.24,18.26,6.36,8.97,5.01,9.00,5.60,8.60,7.70,6.52,9.62,4.81,-,6.69,7.48,4.86,Upgrade
16,Debt / FCF Ratio,-,-8.14,-,-8.66,-11.67,-,-,-7.38,-3.50,-,-,-,34.41,-,-,5.33,-,-,11.07,-,-,Upgrade
17,Asset Turnover,1.15,0.81,0.78,0.17,0.97,0.20,0.41,0.41,1.14,0.55,0.49,-,0.61,0.41,0.30,-,-,0.42,0.25,-,Upgrade,
18,Inventory Turnover,3.89,5.81,3.99,3.93,0.89,5.25,0.98,2.20,2.30,6.91,3.30,3.38,-,3.94,2.73,2.55,-,-,3.80,2.04,-,Upgrade
19,Quick Ratio,0.80,0.80,0.58,0.57,0.54,0.72,0.53,0.66,0.63,0.73,0.63,0.70,0.73,0.59,0.57,0.69,0.79,-,0.80,0.85,0.83,Upgrade
20,Current Ratio,1.19,1.19,1.09,1.11,1.11,1.07,1.06,1.07,1.06,1.10,1.07,1.07,1.05,0.99,1.02,0.98,1.02,-,1.12,1.15,1.13,Upgrade
21,Return on Equity (ROE),4.01%,0.81%,0.31%,0.09%,1.98%,0.03%,0.50%,0.69%,11.74%,1.34%,4.96%,-,0.48%,3.25%,0.14%,-,-,1.53%,0.68%,-,Upgrade,
22,Return on Assets (ROA),2.20%,1.24%,0.91%,0.68%,2.57%,0.13%,1.75%,1.26%,2.95%,1.45%,1.85%,-,1.09%,1.55%,0.97%,-,-,1.24%,1.03%,-,Upgrade,
23,Return on Capital (ROIC),5.06%,2.80%,2.00%,1.55%,6.05%,0.31%,4.10%,2.74%,6.43%,3.53%,4.75%,-,2.46%,3.39%,2.12%,-,-,3.26%,2.64%,-,Upgrade,
