,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Revenue,684538,435019,402528,95610,562833,114794,240531,237931,652593,311817,288588,227591,292572,206521,158377,471283,232268,234245,143042,526208,Upgrade
1,Revenue Growth (YoY),21.62%,278.95%,67.35%,-59.82%,-13.75%,-63.19%,-16.65%,4.54%,123.05%,50.99%,82.22%,-51.71%,25.96%,-11.84%,10.72%,-10.44%,-35.64%,-1.15%,-37.82%,3.05%,Upgrade
2,Cost of Revenue,623350,408369,369461,80398,521126,100554,214399,211597,591292,275474,248003,201831,261984,173915,132019,411855,202049,201827,115644,463835,Upgrade
3,Gross Profit,61188,26649,33067,15212,41707,14240,26132,26334,61301,36343,40585,25760,30587,32606,26358,59428,30219,32417,27398,62374,Upgrade
4,"Selling, General & Admin",40284,15919,25500,9149,17920,13025,9749,14490,34359,23062,23314,16877,22181,20121,18148,35247,19172,21225,18024,36376,Upgrade
5,Operating Expenses,40284,15919,25500,9149,17920,13025,9749,14490,34359,23062,23314,16877,22181,20121,18148,35247,19172,21225,18024,36376,Upgrade
6,Operating Income,20904,10731,7567,6063,23787,1216,16383,11844,26942,13281,17272,8883,8406,12485,8210,24181,11046,11192,9375,25998,Upgrade
7,Interest Expense,-8155,-10126,-14517,-5769,-11402,-11748,-16115,-10960,-13906,-9328,-9834,-8905,-8070,-9291,-7496,-8508,-9272,-10810,-8353,-10824,Upgrade
8,Interest & Investment Income,162.68,134.14,809.7,160.62,-,287.92,244.37,158.33,467.02,74.54,853.71,84.18,216.12,386.37,206.34,36.44,25.54,1309,27.37,169.36,Upgrade
9,Other Non Operating Income (Expenses),-4511,61.8,6545,-366.71,-3802,10283,132.63,-304.43,1583,-2783,-3344,585.26,-106.17,-427.85,-784.89,1265,690.35,-227.23,40.16,-175.83,Upgrade
10,EBT Excluding Unusual Items,8401,800.92,404.72,88.63,8582,38.45,644.42,738,15085,1245,4947,648.03,446.49,3153,135.06,16974,2490,1465,1089,15168,Upgrade
11,Pretax Income,8401,800.92,404.72,88.63,8582,38.45,644.42,738,15085,1245,4947,648.03,446.49,3153,135.06,16974,2490,1465,1089,15168,Upgrade
12,Income Tax Expense,5305,172.91,165.84,15.21,7043,11.03,238.9,177.95,5528,175.5,1006,92.08,61.33,583.14,24.44,4372,10.02,250,534.81,5307,Upgrade
13,Net Income,3095,628.01,238.88,73.41,1539,27.42,405.51,560.06,9558,1070,3941,555.96,385.16,2570,110.62,12602,2480,1215,553.96,9861,Upgrade
14,Net Income to Common,3095,628.01,238.88,73.41,1539,27.42,405.51,560.06,9558,1070,3941,555.96,385.16,2570,110.62,12602,2480,1215,553.96,9861,Upgrade
