,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Feb '25 Feb 14, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,402,571,571,597,610,857,1039,1428,1947,1675,2389,Upgrade
1,Market Cap Growth,-4.35%,-4.35%,-6.38%,-30.30%,-41.25%,-40.00%,-46.67%,-14.73%,-18.48%,-28.33%,-4.17%,Upgrade
2,Enterprise Value,5044,5067,5332,5012,5872,6172,6439,6400,6683,6132,7386,Upgrade
3,Last Close Price,0.03,0.04,0.04,0.05,0.05,0.07,0.08,0.11,0.15,0.13,0.18,Upgrade
4,PE Ratio,-,-,-17.94,-,8.16,4.61,33.66,-,27.91,-,4.02,Upgrade
5,PS Ratio,0.14,0.20,0.20,0.22,0.16,0.17,0.22,0.33,0.48,0.39,0.54,Upgrade
6,PB Ratio,0.07,0.09,0.09,0.10,0.09,0.13,0.15,0.22,0.29,0.27,0.37,Upgrade
7,P/TBV Ratio,0.10,0.10,0.10,0.10,0.10,0.14,0.16,0.23,0.31,0.29,0.39,Upgrade
8,P/FCF Ratio,1.43,-,5.41,-,0.95,3.49,-23.68,-,36.85,-,5.72,Upgrade
9,P/OCF Ratio,1.86,-,4.59,-,0.90,3.02,254.07,-,21.35,-,5.12,Upgrade
10,EV/Sales Ratio,1.73,1.74,1.85,1.82,1.54,1.19,1.36,1.50,1.64,1.43,1.67,Upgrade
11,EV/EBITDA Ratio,16.78,21.62,32.62,-,21.04,23.72,45.30,32.32,37.32,-,41.17,Upgrade
12,EV/EBIT Ratio,25.36,25.34,42.24,-,24.89,28.64,66.11,-,53.71,-,56.69,Upgrade
13,EV/FCF Ratio,17.87,-,50.52,-,9.18,25.15,-146.85,-,126.46,-,17.67,Upgrade
14,Debt / Equity Ratio,0.80,0.80,0.75,0.80,0.70,0.85,0.81,0.85,0.78,0.84,0.79,Upgrade
15,Debt / FCF Ratio,17.18,-,44.96,-,7.09,22.85,-127.65,-,99.15,-,12.07,Upgrade
16,Return on Capital Employed (ROCE),2.04%,2.05%,1.26%,-,2.19%,1.93%,0.84%,-,1.12%,-,1.31%,Upgrade
17,Earnings Yield,-7.88%,-5.55%,-5.57%,-8.58%,12.25%,21.69%,2.97%,7.47%,3.58%,24.61%,24.87%,Upgrade
18,FCF Yield,70.14%,49.41%,18.48%,59.36%,104.87%,28.64%,-4.22%,-2.97%,2.71%,22.05%,17.50%,Upgrade
19,Buyback Yield / Dilution,-,3.18%,3.18%,3.22%,-3.28%,5.06%,-,-4.53%,7.07%,0.12%,Upgrade,
20,Total Shareholder Return,-,3.18%,3.18%,3.22%,-3.28%,5.06%,-,-4.53%,7.07%,0.12%,Upgrade,
