,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Feb '25 Feb 14, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,3518,3363,2486,2874,1951,2099,3809,4678,6055,3663,4773,Upgrade
1,Market Cap Growth,17.03%,17.03%,27.40%,36.94%,-48.77%,-55.14%,-37.09%,27.70%,26.85%,-38.57%,-16.00%,Upgrade
2,Enterprise Value,2612,2593,2106,2459,1644,1959,3447,4246,5709,3406,4400,Upgrade
3,Last Close Price,2.50,2.29,1.78,2.06,1.40,1.51,2.73,3.23,4.03,2.34,2.89,Upgrade
4,PE Ratio,12.16,12.07,9.24,12.38,9.46,8.62,10.89,11.73,14.87,10.39,12.65,Upgrade
5,Forward PE,12.60,11.74,9.54,12.80,6.10,6.84,8.41,11.49,13.00,10.24,10.64,Upgrade
6,PS Ratio,0.89,0.88,0.59,0.66,0.44,0.49,0.90,1.20,1.68,1.16,1.58,Upgrade
7,PB Ratio,1.06,1.00,0.78,0.96,0.66,0.73,1.28,1.58,2.05,1.36,1.74,Upgrade
8,P/TBV Ratio,1.03,1.03,0.79,0.99,0.67,0.75,1.33,1.65,2.13,1.42,1.82,Upgrade
9,P/FCF Ratio,7.97,7.97,6.65,-,6.70,6.90,67.65,-,11.57,7.80,13.07,Upgrade
10,P/OCF Ratio,5.65,5.65,5.10,-,5.00,5.74,23.19,-,9.80,11.24,12.05,Upgrade
11,PEG Ratio,176.66,176.66,176.66,176.66,176.66,176.66,176.66,176.66,176.66,176.66,176.66,Upgrade
12,EV/Sales Ratio,0.68,0.68,0.50,0.56,0.37,0.45,0.81,1.09,1.58,1.08,1.45,Upgrade
13,EV/EBITDA Ratio,4.99,5.10,4.28,5.85,4.05,4.45,5.82,6.19,8.02,5.61,7.20,Upgrade
14,EV/EBIT Ratio,7.20,7.14,6.14,8.79,6.34,6.78,8.05,8.15,10.58,7.67,9.58,Upgrade
15,EV/FCF Ratio,6.19,6.15,5.63,-,5.65,6.44,61.22,-,10.91,7.25,12.05,Upgrade
16,Debt / Equity Ratio,0.02,0.02,0.06,0.05,0.09,0.13,0.13,0.06,0.09,0.11,0.14,Upgrade
17,Debt / FCF Ratio,0.14,0.14,0.49,-,0.93,1.24,6.78,-,0.48,0.65,1.02,Upgrade
18,Return on Capital Employed (ROCE),10.52%,10.52%,10.42%,9.12%,8.52%,9.64%,13.85%,16.97%,17.47%,15.71%,15.94%,Upgrade
19,Earnings Yield,7.92%,8.28%,10.82%,8.08%,10.57%,11.60%,9.19%,8.53%,6.72%,9.62%,7.91%,Upgrade
20,FCF Yield,11.99%,12.55%,15.05%,3.47%,14.92%,14.50%,1.48%,7.45%,8.64%,12.83%,7.65%,Upgrade
21,Dividend Yield,2.40%,-,-,-,-,-,-,7.77%,6.71%,11.53%,9.33%,Upgrade
22,Buyback Yield / Dilution,-1.37%,-2.74%,-,-,-,-,0.01%,0.03%,0.02%,-,-,Upgrade
23,Total Shareholder Return,1.03%,-2.74%,-,-,-,-,0.01%,7.80%,6.72%,11.53%,9.33%,Upgrade
