,Fiscal Quarter,Current,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q4 2014
,Period Ending,"Mar '25 Mar 10, 2025","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014"
0,Market Capitalization,779202,122400,120600,124500,135000,127500,150000,219000,265500,205500,-
1,Market Cap Growth,-44.11%,-4.00%,-19.60%,-43.15%,-49.15%,-37.96%,-,-,-,-,-
2,Enterprise Value,126452,126452,121770,124514,134495,125574,147753,216753,263253,-,-
3,Last Close Price,6450.00,4401.81,4337.08,4477.33,4854.94,4585.22,5394.38,7875.79,9548.05,7390.30,-
4,PE Ratio,4.88,3.60,5.28,5.04,4.35,3.99,7.26,11.78,26.71,51.99,-
5,PS Ratio,0.77,0.64,1.00,1.06,1.06,0.96,1.47,2.79,7.09,84.07,-
6,PB Ratio,0.82,0.60,0.61,0.64,0.70,0.68,-,-,1.69,1.31,-
7,P/TBV Ratio,0.70,0.70,0.61,0.64,0.70,0.68,-,-,1.69,1.31,-
8,P/FCF Ratio,-,-6.54,-,-,-,10.00,-,-21.92,-,-,-
9,P/OCF Ratio,-,-6.54,-,-,-,10.00,-,-21.92,-,-,-
10,EV/Sales Ratio,0.66,0.66,1.01,1.06,1.05,0.94,1.45,2.76,7.03,-,-
11,EV/EBITDA Ratio,3.59,3.37,7.71,8.23,5.87,4.61,9.53,14.97,52.98,-,-
12,EV/EBIT Ratio,3.62,3.40,7.82,8.34,5.92,4.64,9.62,15.13,54.00,-,-
13,EV/FCF Ratio,-,-6.76,-,-,-,9.84,-,-21.69,-,-,-
14,Debt / Equity Ratio,0.13,0.13,0.02,0.01,0.03,0.00,-,-,0.01,0.01,-
15,Debt / EBITDA Ratio,0.75,0.20,0.65,0.42,1.95,0.01,-,-,0.04,-,-
16,Debt / FCF Ratio,-,-1.41,-,-,-,0.04,-,-,-,-,-
17,Asset Turnover,1.82,-,0.58,-,0.71,-,-,-,-,-,
18,Quick Ratio,2.41,2.41,8.69,6.89,3.71,6.15,-,-,-,23.70,-
19,Current Ratio,3.93,3.93,11.11,6.89,3.71,6.16,-,-,-,23.74,-
20,Return on Equity (ROE),56.29%,-,4.82%,-,31.14%,-,-,15.28%,-,-,
21,Return on Assets (ROA),36.07%,-,1.91%,-,15.14%,-,-,-,-,-,
22,Return on Capital (ROIC),38.37%,-,2.07%,-,15.78%,-,-,8.10%,-,-,
23,Return on Capital Employed (ROCE),15.68%,16.70%,7.89%,7.61%,11.73%,14.33%,-,-,-,-,-
24,Earnings Yield,3.86%,27.80%,18.96%,19.85%,22.97%,25.04%,13.77%,8.49%,3.74%,1.92%,-
25,FCF Yield,-25.83%,-15.29%,-,1.63%,19.58%,10.00%,-,-4.56%,-9.64%,-,-
26,Buyback Yield / Dilution,-9.64%,-0.03%,-10.88%,-0.42%,0.01%,-0.14%,-525.82%,-,-,-,-
27,Total Shareholder Return,-9.64%,-0.03%,-10.88%,-0.42%,0.01%,-0.14%,-525.82%,-,-,-,-
