,Fiscal Quarter,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q4 2014
,Period Ending,"Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014"
0,Cash & Equivalents,34262,365.08,1278,6461,1060,-,-,-,3118,-
1,Short-Term Investments,-,-,447.72,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,34262,365.08,1726,6461,1060,-,-,3118,3118,-
3,Cash Growth,3133.65%,-,-,107.20%,-66.02%,-,-,-,-,-
4,Accounts Receivable,11662,6414,20156,39317,20247,-,-,-,21000,-
5,Other Receivables,31848,53267,68498,56076,38693,-,-,-,24387,-
6,Receivables,43510,59681,88654,95393,58940,-,-,-,45387,-
7,Inventory,46737,-,-,-,-,-,-,-,-,-
8,Prepaid Expenses,82.13,9.59,25.18,54.04,60.85,-,-,-,78.78,-
9,Other Current Assets,2004,16688,-,10,-,-,-,-,-,-
10,Total Current Assets,126596,76743,90405,101918,60060,-,-,-,48584,-
11,"Property, Plant & Equipment",1392,945.69,1005,1064,1123,-,-,-,1359,-
12,Long-Term Investments,64821,85830,76830,76830,95778,-,-,-,69219,-
13,Goodwill,20451,-,-,-,-,-,-,-,-,-
14,Other Long-Term Assets,41563,40605,40993,41447,41740,-,-,-,40229,-
15,Total Assets,254822,204124,209233,221258,198701,-,-,-,159391,-
16,Accounts Payable,318.1,37.1,7371,15096,355.58,-,-,-,-,-
17,Accrued Expenses,373.87,28.08,516.7,249.84,199.51,-,-,-,1.16,-
18,Short-Term Debt,7258,4337,2658,6237,316.56,-,-,-,316.56,-
19,Current Income Taxes Payable,10338,2309,2331,5747,8686,-,-,-,1729,-
20,Current Unearned Revenue,13153,45,180,45,180,-,-,-,-,-
21,Other Current Liabilities,803.76,153.2,54.5,109.54,13.27,-,-,-,-,-
22,Total Current Liabilities,32245,6910,13112,27485,9751,-,-,-,2047,-
23,Long-Term Debt,19046,79.46,237.74,237.74,237.74,-,-,-,554.3,-
24,Total Liabilities,51291,6989,13350,27722,9988,-,-,-,2601,-
25,Common Stock,180000,180000,150000,150000,150000,-,-,-,150000,-
26,Retained Earnings,15191,17135,45883,43536,38712,-,-,-,6790,-
27,Total Common Equity,195191,197135,195883,193536,188712,-,-,156790,156790,-
28,Minority Interest,8340,-,-,-,-,-,-,-,-,-
29,Shareholders' Equity,203531,197135,195883,193536,188712,-,-,156790,156790,-
30,Total Liabilities & Equity,254822,204124,209233,221258,198701,-,-,-,159391,-
31,Total Debt,26305,4417,2896,6475,554.3,-,-,870.86,870.86,-
32,Net Cash (Debt),7958,-4052,-1170,-14.2,505.26,-,-,2247,2247,-
33,Net Cash Growth,1475.00%,-,-,-,-77.52%,-,-,-,-,-
34,Net Cash Per Share,319.26,-175.84,-56.15,-0.57,20.28,-,-,90.13,90.32,-
35,Filing Date Shares Outstanding,24.93,23.04,20.83,24.93,24.92,20.78,20.75,24.94,24.88,3.32
36,Total Common Shares Outstanding,24.93,23.04,20.83,24.93,24.92,20.78,20.75,24.94,24.88,3.32
37,Working Capital,94351,69834,77293,74433,50310,-,-,-,46537,-
38,Book Value Per Share,7830.80,8555.43,9401.70,7762.13,7573.26,-,-,6301.25,6301.25,-
39,Tangible Book Value,174740,197135,195883,193536,188712,-,-,156790,156790,-
40,Tangible Book Value Per Share,7010.33,8555.43,9401.70,7762.13,7573.26,-,-,6301.25,6301.25,-
