,Fiscal Quarter,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q4 2014
,Period Ending,"Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014"
0,Revenue,104376,26349,31081,29261,33782,23638,41012,34982,2444,-
1,Revenue Growth (YoY),208.97%,11.47%,-24.22%,-16.35%,1282.10%,-,-,-,-,-
2,Cost of Revenue,67418,23718,27970,26752,21417,21110,30394,28507,1561,-
3,Gross Profit,36958,2630,3110,2509,12366,2528,10618,6475,882.83,-
4,"Selling, General & Admin",3853,987.91,1462,1736,866.19,1519,1163,1369,1094,19.73
5,Operating Expenses,3853,987.91,1462,1736,866.19,1519,1163,1369,1094,19.73
6,Operating Income,33106,1643,1648,773.01,11500,1009,9454,5106,-211.19,-19.73
7,Interest Expense,-378.52,-38.98,-259.18,-14.74,-,-13.06,-16.58,-15.91,-35.24,-
8,Interest & Investment Income,-,20.95,-,5571,-,3001,-,2406,3933,1350
9,Other Non Operating Income (Expenses),2183,-1.51,1588,11.14,6226,-49.03,1331,-11.51,-,-
10,Pretax Income,34910,1623,2977,6340,17725,3948,10769,7485,3686,1330
11,Income Tax Expense,6717,325,629.52,1268,3583,796.58,2122,1497,810.98,253.11
12,Earnings From Continuing Operations,28194,1298,2347,5072,14142,3152,8646,5988,2875,1077
13,Minority Interest in Earnings,-2883,-,-,-,-,-,-,-,-,-
14,Net Income,25311,1298,2347,5072,14142,3152,8646,5988,2875,1077
15,Net Income to Common,25311,1298,2347,5072,14142,3152,8646,5988,2875,1077
16,Net Income Growth,78.97%,-58.81%,-72.85%,-15.30%,391.86%,192.59%,-,-,-,-
17,Shares Outstanding (Basic),25,23,21,25,25,21,21,25,25,3
18,Shares Outstanding (Diluted),25,23,21,25,25,21,21,25,25,3
19,Shares Change (YoY),0.03%,10.88%,0.42%,-0.01%,0.14%,525.82%,-,-,-,-
20,EPS (Basic),1015.45,56.33,112.67,203.43,567.55,151.67,416.72,240.14,115.56,324.40
21,EPS (Diluted),1015.45,56.33,112.67,203.43,567.55,151.67,416.72,240.14,115.56,324.40
22,EPS Growth,78.92%,-62.86%,-72.96%,-15.29%,391.15%,-53.25%,-,-,-,-
23,Free Cash Flow,2006,-,-8801,-11920,22747,-,15608,-25599,-,-
24,Free Cash Flow Per Share,80.48,-,-422.42,-478.08,912.87,-,752.24,-1026.63,-,-
25,Gross Margin,35.41%,9.98%,10.01%,8.57%,36.60%,10.70%,25.89%,18.51%,36.12%,-
26,Operating Margin,31.72%,6.23%,5.30%,2.64%,34.04%,4.27%,23.05%,14.60%,-8.64%,-
27,Profit Margin,24.25%,4.93%,7.55%,17.33%,41.86%,13.33%,21.08%,17.12%,117.63%,-
28,Free Cash Flow Margin,1.92%,-,-28.32%,-40.74%,67.33%,-,38.06%,-73.18%,-,-
29,EBITDA,33281,1702,1707,832.12,11559,1024,9514,5165,-196.41,-
30,EBITDA Margin,31.89%,6.46%,5.49%,2.84%,34.22%,4.33%,23.20%,14.77%,-8.04%,-
31,D&A For EBITDA,175.7,59.11,59.11,59.11,59.11,14.78,59.11,59.11,14.78,-
32,EBIT,33106,1643,1648,773.01,11500,1009,9454,5106,-211.19,-19.73
33,EBIT Margin,31.72%,6.23%,5.30%,2.64%,34.04%,4.27%,23.05%,14.60%,-8.64%,-
34,Effective Tax Rate,19.24%,20.02%,21.15%,20.00%,20.21%,20.18%,19.71%,20.00%,22.00%,19.03%
35,Revenue as Reported,104376,26349,31081,29261,-,23638,41012,34982,2444,-
